cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
98f8f065e8f129b5350b43692096f72b,Check for Codling Moth,start,2022-11-15 07:40:09.600000+01:00
98f8f065e8f129b5350b43692096f72b,Check for Codling Moth,complete,2022-11-15 07:44:21.600000+01:00
58563aee9c1349ab7a6c4b5eb39b9909,Warn of Break (1pm),start,2022-11-15 07:44:21.600000+01:00
195d8c3432f9e425bb0fb2189d557ca6,Start Picking,start,2022-11-15 07:44:21.600000+01:00
24874f19300fa86171217e491d56c32d,Trucks Arrive (3pm),start,2022-11-15 07:44:21.600000+01:00
195d8c3432f9e425bb0fb2189d557ca6,Start Picking,complete,2022-11-15 08:00:00+01:00
180e70bd28ccc8e6a860fe5b84f4a119,Picking ,start,2022-11-15 08:00:00+01:00
180e70bd28ccc8e6a860fe5b84f4a119,Picking ,complete,2022-11-15 12:33:46.790000+01:00
f44cd0d69c5e6b40b4b16acc255ce722,Break,start,2022-11-15 12:33:46.790000+01:00
f44cd0d69c5e6b40b4b16acc255ce722,Break,complete,2022-11-15 13:01:58.790000+01:00
23df03dd0e06fd442bbdc3c0c1fbf19e,Picking,start,2022-11-15 13:01:58.790000+01:00
58563aee9c1349ab7a6c4b5eb39b9909,Warn of Break (1pm),complete,2022-11-15 13:00:00+01:00
24874f19300fa86171217e491d56c32d,Trucks Arrive (3pm),complete,2022-11-15 15:10:00+01:00
1315d0c6c68fa42af3a4a926ec722ecf,Load Trucks,start,2022-11-15 15:10:00+01:00
1315d0c6c68fa42af3a4a926ec722ecf,Load Trucks,complete,2022-11-15 15:39:34.800000+01:00
3ab0c35549cf768e3264e83fd2295def,Load Trucks,start,2022-11-15 15:39:34.800000+01:00
3ab0c35549cf768e3264e83fd2295def,Load Trucks,complete,2022-11-15 15:57:20.400000+01:00
3b4c26bfafb6ff6f3d4ee6da0c6a4cb9,Load Trucks,start,2022-11-15 15:57:20.400000+01:00
3b4c26bfafb6ff6f3d4ee6da0c6a4cb9,Load Trucks,complete,2022-11-15 16:13:28.800000+01:00
f0c88e4a65a5e288d43e76eaf4d543b1,Load Trucks,start,2022-11-15 16:13:28.800000+01:00
f0c88e4a65a5e288d43e76eaf4d543b1,Load Trucks,complete,2022-11-15 16:22:18+01:00
12c83a849be1c6c914ac20923b270ae5,Load Trucks,start,2022-11-15 16:22:18+01:00
12c83a849be1c6c914ac20923b270ae5,Load Trucks,complete,2022-11-15 16:33:16.800000+01:00
e7a58e17dc7c05cbb2fab70fa525cae9,Load Trucks,start,2022-11-15 16:33:16.800000+01:00
e7a58e17dc7c05cbb2fab70fa525cae9,Load Trucks,complete,2022-11-15 16:47:33.600000+01:00
530f66a909c20e6867634851aa1635de,Load Trucks,start,2022-11-15 16:47:33.600000+01:00
530f66a909c20e6867634851aa1635de,Load Trucks,complete,2022-11-15 17:04:57.600000+01:00
3f90da19fb825061d831ffe798521c65,Load Trucks,start,2022-11-15 17:04:57.600000+01:00
3f90da19fb825061d831ffe798521c65,Load Trucks,complete,2022-11-15 17:23:40.800000+01:00
7c1183a7b4aa0c7bb42c1f2ed6e262c4,Load Trucks,start,2022-11-15 17:23:40.800000+01:00
7c1183a7b4aa0c7bb42c1f2ed6e262c4,Load Trucks,complete,2022-11-15 17:40:36+01:00
25cacd74c43512a98930d96cebb9f7ad,Load Trucks,start,2022-11-15 17:40:36+01:00
23df03dd0e06fd442bbdc3c0c1fbf19e,Picking,complete,2022-11-15 17:17:56.390000+01:00
25cacd74c43512a98930d96cebb9f7ad,Load Trucks,complete,2022-11-15 17:59:51.600000+01:00
d12e8b91a489a88f5a9b8f09b9eca646,Start Spoiled Fruit Data Collection,start,2022-11-15 17:59:51.600000+01:00
d12e8b91a489a88f5a9b8f09b9eca646,Start Spoiled Fruit Data Collection,complete,2022-11-15 18:17:51.600000+01:00
b86c3f8faf310a2bdc9b3c59015f924d,Collect Spoiled Fruit Data,start,2022-11-15 18:17:51.600000+01:00
b86c3f8faf310a2bdc9b3c59015f924d,Collect Spoiled Fruit Data,complete,2022-11-15 18:32:58.800000+01:00
673ce7e2cdf084bb638076c1d6cff2ac,Send Recorded Kilos and Hours,start,2022-11-15 18:32:58.800000+01:00
673ce7e2cdf084bb638076c1d6cff2ac,Send Recorded Kilos and Hours,complete,2022-11-15 18:41:04.800000+01:00
