cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
2a804fe25422ca5585f3d8c1550ce4bd,Check for Codling Moth,start,2022-11-13 07:44:15.740000+01:00
2a804fe25422ca5585f3d8c1550ce4bd,Check for Codling Moth,complete,2022-11-13 08:02:40.940000+01:00
272090e8cddc0661380f842c594e67f8,Start Picking,start,2022-11-13 08:02:40.940000+01:00
29e8b77ea79d4fdfd23f047621668dd4,Trucks Arrive (3pm),start,2022-11-13 08:02:40.940000+01:00
8f0d30e0ee2cfc148cc5d2484d3c9a99,Warn of Break (1pm),start,2022-11-13 08:02:40.940000+01:00
272090e8cddc0661380f842c594e67f8,Start Picking,complete,2022-11-13 08:05:00+01:00
f4c4bef29952dbf32212cc2ebf5b3ca0,Picking ,start,2022-11-13 08:05:00+01:00
f4c4bef29952dbf32212cc2ebf5b3ca0,Picking ,complete,2022-11-13 12:50:00+01:00
494bbd33da3d7da4e3541ffe02cf2281,Break,start,2022-11-13 12:50:00+01:00
8f0d30e0ee2cfc148cc5d2484d3c9a99,Warn of Break (1pm),complete,2022-11-13 12:59:59.990000+01:00
494bbd33da3d7da4e3541ffe02cf2281,Break,complete,2022-11-13 13:16:34.790000+01:00
c5d65d99c8305f6aa060c1d7142d095f,Picking,start,2022-11-13 13:16:34.790000+01:00
29e8b77ea79d4fdfd23f047621668dd4,Trucks Arrive (3pm),complete,2022-11-13 14:59:59.990000+01:00
5bcb48686308c30c43c40a3a9d68efd7,Load Trucks,start,2022-11-13 14:59:59.990000+01:00
5bcb48686308c30c43c40a3a9d68efd7,Load Trucks,complete,2022-11-13 15:17:05.990000+01:00
2fa5f760482eae6347071d9613279e0f,Load Trucks,start,2022-11-13 15:17:05.990000+01:00
2fa5f760482eae6347071d9613279e0f,Load Trucks,complete,2022-11-13 15:46:44.390000+01:00
3f7d5ccc0acd3ebc894d4300135f4429,Load Trucks,start,2022-11-13 15:46:44.390000+01:00
3f7d5ccc0acd3ebc894d4300135f4429,Load Trucks,complete,2022-11-13 15:56:05.990000+01:00
aea412ffc1caa30c9925c76d1163abf8,Load Trucks,start,2022-11-13 15:56:05.990000+01:00
aea412ffc1caa30c9925c76d1163abf8,Load Trucks,complete,2022-11-13 16:20:41.990000+01:00
be52d6290aa2291c387341fdbc669c54,Load Trucks,start,2022-11-13 16:20:41.990000+01:00
be52d6290aa2291c387341fdbc669c54,Load Trucks,complete,2022-11-13 16:29:27.590000+01:00
a4705acbee8a5799d67b5350cc0230e7,Load Trucks,start,2022-11-13 16:29:27.590000+01:00
a4705acbee8a5799d67b5350cc0230e7,Load Trucks,complete,2022-11-13 16:37:11.990000+01:00
b263a89109ee323aa81838db652d7fa8,Load Trucks,start,2022-11-13 16:37:11.990000+01:00
b263a89109ee323aa81838db652d7fa8,Load Trucks,complete,2022-11-13 16:51:17.990000+01:00
65d8f7c289805835d1d628f53297c42f,Load Trucks,start,2022-11-13 16:51:17.990000+01:00
65d8f7c289805835d1d628f53297c42f,Load Trucks,complete,2022-11-13 17:08:23.990000+01:00
516fa11c8e3f0eed315c0ea7b080272b,Load Trucks,start,2022-11-13 17:08:23.990000+01:00
516fa11c8e3f0eed315c0ea7b080272b,Load Trucks,complete,2022-11-13 17:26:52.790000+01:00
9d039d50bc02b986704a27dacf76adaa,Load Trucks,start,2022-11-13 17:26:52.790000+01:00
9d039d50bc02b986704a27dacf76adaa,Load Trucks,complete,2022-11-13 17:43:15.590000+01:00
9798238400717d2fdd35a6563dc83bc3,Load Trucks,start,2022-11-13 17:43:15.590000+01:00
9798238400717d2fdd35a6563dc83bc3,Load Trucks,complete,2022-11-13 18:02:52.790000+01:00
f7560511b7bb0131de5df9e4ac23ebc2,Load Trucks,start,2022-11-13 18:02:52.790000+01:00
c5d65d99c8305f6aa060c1d7142d095f,Picking,complete,2022-11-13 17:48:04.800000+01:00
f7560511b7bb0131de5df9e4ac23ebc2,Load Trucks,complete,2022-11-13 18:21:35.990000+01:00
51c7c954da337ab526f624075dbd2cae,Start Spoiled Fruit Data Collection,start,2022-11-13 18:21:35.990000+01:00
51c7c954da337ab526f624075dbd2cae,Start Spoiled Fruit Data Collection,complete,2022-11-13 18:38:23.990000+01:00
0494cd5d797bcb8f723ade80ed4ad1f2,Collect Spoiled Fruit Data,start,2022-11-13 18:38:23.990000+01:00
0494cd5d797bcb8f723ade80ed4ad1f2,Collect Spoiled Fruit Data,complete,2022-11-13 19:08:05.990000+01:00
fb474de0093967a5a1464ce05ba4d09d,Send Recorded Kilos and Hours,start,2022-11-13 19:08:05.990000+01:00
fb474de0093967a5a1464ce05ba4d09d,Send Recorded Kilos and Hours,complete,2022-11-13 19:12:32.390000+01:00
