cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
2e6095fb8e9934c49c520e9c084e6e92,Check for Codling Moth,start,2022-12-21 07:42:57.910000+01:00
2e6095fb8e9934c49c520e9c084e6e92,Check for Codling Moth,complete,2022-12-21 07:51:00.310000+01:00
b0a878130de718e1deb5ee26270f52b7,Trucks Arrive (3pm),start,2022-12-21 07:51:00.310000+01:00
208fb0c81e1be8a40998574b831a3034,Warn of Break (1pm),start,2022-12-21 07:51:00.310000+01:00
a2faeb48a0c78ed753e562123b907132,Start Picking,start,2022-12-21 07:51:00.310000+01:00
a2faeb48a0c78ed753e562123b907132,Start Picking,complete,2022-12-21 08:14:59.990000+01:00
d0c9e02aad3465c9074dd9fe6f0b8bbc,Picking ,start,2022-12-21 08:14:59.990000+01:00
d0c9e02aad3465c9074dd9fe6f0b8bbc,Picking ,complete,2022-12-21 12:57:32.390000+01:00
327b650583ba6b356ddc7182cdf7c458,Break,start,2022-12-21 12:57:32.390000+01:00
208fb0c81e1be8a40998574b831a3034,Warn of Break (1pm),complete,2022-12-21 13:00:00+01:00
327b650583ba6b356ddc7182cdf7c458,Break,complete,2022-12-21 13:26:38.390000+01:00
d2ecdadd502aff03cda1da50fe03bd1a,Picking,start,2022-12-21 13:26:38.390000+01:00
b0a878130de718e1deb5ee26270f52b7,Trucks Arrive (3pm),complete,2022-12-21 15:04:00+01:00
2b8bbaac13e8c6d842d5786464784692,Load Trucks,start,2022-12-21 15:04:00+01:00
2b8bbaac13e8c6d842d5786464784692,Load Trucks,complete,2022-12-21 15:20:04.800000+01:00
f3519e20445a529a49f99715dad1d92e,Load Trucks,start,2022-12-21 15:20:04.800000+01:00
f3519e20445a529a49f99715dad1d92e,Load Trucks,complete,2022-12-21 15:39:31.200000+01:00
76d4c21f2aa5e28ff73f86c9cf740c8e,Load Trucks,start,2022-12-21 15:39:31.200000+01:00
76d4c21f2aa5e28ff73f86c9cf740c8e,Load Trucks,complete,2022-12-21 15:55:10.800000+01:00
9b5ec17b1c46d7e80592fae338fcef32,Load Trucks,start,2022-12-21 15:55:10.800000+01:00
9b5ec17b1c46d7e80592fae338fcef32,Load Trucks,complete,2022-12-21 16:11:08.400000+01:00
acc45f7a0838c7cb235dcce29666f6cf,Load Trucks,start,2022-12-21 16:11:08.400000+01:00
acc45f7a0838c7cb235dcce29666f6cf,Load Trucks,complete,2022-12-21 16:28:18+01:00
5a52a7b940d8bd58490074be6d5c878b,Load Trucks,start,2022-12-21 16:28:18+01:00
5a52a7b940d8bd58490074be6d5c878b,Load Trucks,complete,2022-12-21 16:43:39.600000+01:00
96fcf1bf71303a328efa83fe94c5450d,Load Trucks,start,2022-12-21 16:43:39.600000+01:00
96fcf1bf71303a328efa83fe94c5450d,Load Trucks,complete,2022-12-21 17:01:25.200000+01:00
55ec9d44ca3c72a5498f4a877d5715f5,Load Trucks,start,2022-12-21 17:01:25.200000+01:00
55ec9d44ca3c72a5498f4a877d5715f5,Load Trucks,complete,2022-12-21 17:15:20.400000+01:00
7d08cf35d75531ea38397c90336085f6,Load Trucks,start,2022-12-21 17:15:20.400000+01:00
7d08cf35d75531ea38397c90336085f6,Load Trucks,complete,2022-12-21 17:30:27.600000+01:00
d1cffd84c16a39e99f60ffd5fee85bb6,Load Trucks,start,2022-12-21 17:30:27.600000+01:00
d1cffd84c16a39e99f60ffd5fee85bb6,Load Trucks,complete,2022-12-21 17:58:57.600000+01:00
adc2e6a19a51dc5781f4c3a14eb86dd3,Load Trucks,start,2022-12-21 17:58:57.600000+01:00
adc2e6a19a51dc5781f4c3a14eb86dd3,Load Trucks,complete,2022-12-21 18:14:04.800000+01:00
f2ae3d67c8faada878fa74a2d97e234f,Load Trucks,start,2022-12-21 18:14:04.800000+01:00
d2ecdadd502aff03cda1da50fe03bd1a,Picking,complete,2022-12-21 18:26:45.590000+01:00
f2ae3d67c8faada878fa74a2d97e234f,Load Trucks,complete,2022-12-21 18:53:15.600000+01:00
aec9fd593b486a139a2a0e7477286708,Start Spoiled Fruit Data Collection,start,2022-12-21 18:53:15.600000+01:00
aec9fd593b486a139a2a0e7477286708,Start Spoiled Fruit Data Collection,complete,2022-12-21 19:05:04.800000+01:00
cd67c6765e11a010d7e95bafaec13511,Collect Spoiled Fruit Data,start,2022-12-21 19:05:04.800000+01:00
cd67c6765e11a010d7e95bafaec13511,Collect Spoiled Fruit Data,complete,2022-12-21 19:19:21.600000+01:00
841c9f4167c68552a8f59fbccdd6534b,Send Recorded Kilos and Hours,start,2022-12-21 19:19:21.600000+01:00
841c9f4167c68552a8f59fbccdd6534b,Send Recorded Kilos and Hours,complete,2022-12-21 19:20:48+01:00
