cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
e72b1ad5ce57a1aadf33e201ca376e9b,Check for Codling Moth,start,2022-12-11 07:44:13.040000+01:00
e72b1ad5ce57a1aadf33e201ca376e9b,Check for Codling Moth,complete,2022-12-11 08:09:28.640000+01:00
e2b223605188263b12077bdbf465525b,Warn of Break (1pm),start,2022-12-11 08:09:28.640000+01:00
a83cbfe3243f1c08d306873b7a592c6b,Start Picking,start,2022-12-11 08:09:28.640000+01:00
c43fbafc1c1d18dc483b4c811d0c01b6,Trucks Arrive (3pm),start,2022-12-11 08:09:28.640000+01:00
a83cbfe3243f1c08d306873b7a592c6b,Start Picking,complete,2022-12-12 08:05:00+01:00
1956e813be57735d42db45f1dc85395d,Picking ,start,2022-12-12 08:05:00+01:00
1956e813be57735d42db45f1dc85395d,Picking ,complete,2022-12-12 13:26:00+01:00
39fd14218b19daa2d375a660c7e66ebc,Break,start,2022-12-12 13:26:00+01:00
e2b223605188263b12077bdbf465525b,Warn of Break (1pm),complete,2022-12-11 12:59:59.990000+01:00
39fd14218b19daa2d375a660c7e66ebc,Break,complete,2022-12-12 13:57:12+01:00
3b368d3b3e1aba0ed7150a7501f58786,Picking,start,2022-12-12 13:57:12+01:00
c43fbafc1c1d18dc483b4c811d0c01b6,Trucks Arrive (3pm),complete,2022-12-11 14:59:59.990000+01:00
3124ab20ba990c38e3257ebbfcd49732,Load Trucks,start,2022-12-11 14:59:59.990000+01:00
3124ab20ba990c38e3257ebbfcd49732,Load Trucks,complete,2022-12-11 15:15:14.390000+01:00
bd37bbe488a90b9757bde294bd6165d7,Load Trucks,start,2022-12-11 15:15:14.390000+01:00
bd37bbe488a90b9757bde294bd6165d7,Load Trucks,complete,2022-12-11 15:37:08.390000+01:00
0cb1d6b53fe571315b2c70b4110fe7c2,Load Trucks,start,2022-12-11 15:37:08.390000+01:00
0cb1d6b53fe571315b2c70b4110fe7c2,Load Trucks,complete,2022-12-11 15:51:10.790000+01:00
cdaa20c884cc0b518d68e6c67fc73317,Load Trucks,start,2022-12-11 15:51:10.790000+01:00
cdaa20c884cc0b518d68e6c67fc73317,Load Trucks,complete,2022-12-11 16:06:50.390000+01:00
1eca2efaa88a4c8ebd9d4ad66806d5ca,Load Trucks,start,2022-12-11 16:06:50.390000+01:00
1eca2efaa88a4c8ebd9d4ad66806d5ca,Load Trucks,complete,2022-12-11 16:40:15.590000+01:00
6d7b1d306130055887149be1f849db90,Load Trucks,start,2022-12-11 16:40:15.590000+01:00
6d7b1d306130055887149be1f849db90,Load Trucks,complete,2022-12-11 16:51:32.390000+01:00
c5669fe1a6fb0108d476e7a9e01eb499,Load Trucks,start,2022-12-11 16:51:32.390000+01:00
c5669fe1a6fb0108d476e7a9e01eb499,Load Trucks,complete,2022-12-11 17:18:50.390000+01:00
d52fc78fe754a5931120dcd3a68fd743,Load Trucks,start,2022-12-11 17:18:50.390000+01:00
d52fc78fe754a5931120dcd3a68fd743,Load Trucks,complete,2022-12-11 17:30:28.790000+01:00
bb36e85d7f3a82376685ec1b4ee23f74,Load Trucks,start,2022-12-11 17:30:28.790000+01:00
3b368d3b3e1aba0ed7150a7501f58786,Picking,complete,2022-12-12 17:53:07.200000+01:00
bb36e85d7f3a82376685ec1b4ee23f74,Load Trucks,complete,2022-12-11 17:48:21.590000+01:00
7c8cb197673fce1c436bd70c45a6e05b,Start Spoiled Fruit Data Collection,start,2022-12-12 17:53:07.200000+01:00
7c8cb197673fce1c436bd70c45a6e05b,Start Spoiled Fruit Data Collection,complete,2022-12-12 17:58:20.400000+01:00
d29bec3366c8fc87df7574a67a6c1494,Collect Spoiled Fruit Data,start,2022-12-12 17:58:20.400000+01:00
d29bec3366c8fc87df7574a67a6c1494,Collect Spoiled Fruit Data,complete,2022-12-12 18:08:07.200000+01:00
d99da5885495179b567c1b68d9736785,Send Recorded Kilos and Hours,start,2022-12-12 18:08:07.200000+01:00
d99da5885495179b567c1b68d9736785,Send Recorded Kilos and Hours,complete,2022-12-12 18:09:40.800000+01:00
