cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
e111875f6e85302da8c8f578761f1c91,Check for Codling Moth,start,2022-12-02 07:42:45.220000+01:00
e111875f6e85302da8c8f578761f1c91,Check for Codling Moth,complete,2022-12-02 08:04:50.020000+01:00
a069a98d83390e3065cf3a0c3cadb23a,Start Picking,start,2022-12-02 08:04:50.020000+01:00
6b3500b18e8abc92c6213ca28d74a69c,Trucks Arrive (3pm),start,2022-12-02 08:04:50.020000+01:00
76fd0229b4f26ca3691fe5b01ec941ba,Warn of Break (1pm),start,2022-12-02 08:04:50.020000+01:00
a069a98d83390e3065cf3a0c3cadb23a,Start Picking,complete,2022-12-02 08:05:00+01:00
b5081c227e8df8e17d5e865f023d5186,Picking ,start,2022-12-02 08:05:00+01:00
b5081c227e8df8e17d5e865f023d5186,Picking ,complete,2022-12-02 12:41:43.200000+01:00
130398ff3775042053ea134133ad91da,Break,start,2022-12-02 12:41:43.200000+01:00
130398ff3775042053ea134133ad91da,Break,complete,2022-12-02 13:08:36+01:00
365863881c66b163880450a7bca73574,Picking,start,2022-12-02 13:08:36+01:00
76fd0229b4f26ca3691fe5b01ec941ba,Warn of Break (1pm),complete,2022-12-02 12:59:59.990000+01:00
6b3500b18e8abc92c6213ca28d74a69c,Trucks Arrive (3pm),complete,2022-12-02 15:14:59.990000+01:00
a76fa969d1ddecc844182b477e92bed0,Load Trucks,start,2022-12-02 15:14:59.990000+01:00
a76fa969d1ddecc844182b477e92bed0,Load Trucks,complete,2022-12-02 15:31:47.990000+01:00
46de763d5fae708b56ca673a339490d7,Load Trucks,start,2022-12-02 15:31:47.990000+01:00
46de763d5fae708b56ca673a339490d7,Load Trucks,complete,2022-12-02 15:48:35.990000+01:00
648fe143acef2b0c4300a6fd28044441,Load Trucks,start,2022-12-02 15:48:35.990000+01:00
648fe143acef2b0c4300a6fd28044441,Load Trucks,complete,2022-12-02 16:09:07.190000+01:00
9c44a891e97450c8e92819aa52a2669e,Load Trucks,start,2022-12-02 16:09:07.190000+01:00
9c44a891e97450c8e92819aa52a2669e,Load Trucks,complete,2022-12-02 16:30:35.990000+01:00
0cf3a4a68670dbc34bdb1f95b0d8993d,Load Trucks,start,2022-12-02 16:30:35.990000+01:00
0cf3a4a68670dbc34bdb1f95b0d8993d,Load Trucks,complete,2022-12-02 16:53:16.790000+01:00
61e7facbf0b648b15bc7e9604674dbe0,Load Trucks,start,2022-12-02 16:53:16.790000+01:00
61e7facbf0b648b15bc7e9604674dbe0,Load Trucks,complete,2022-12-02 17:03:43.190000+01:00
5ec6d5efdfd9bb897c19c9bdceb5ead8,Load Trucks,start,2022-12-02 17:03:43.190000+01:00
5ec6d5efdfd9bb897c19c9bdceb5ead8,Load Trucks,complete,2022-12-02 17:45:32.390000+01:00
8997654048d29cfd63de723e56a164f9,Load Trucks,start,2022-12-02 17:45:32.390000+01:00
365863881c66b163880450a7bca73574,Picking,complete,2022-12-02 17:33:33.600000+01:00
8997654048d29cfd63de723e56a164f9,Load Trucks,complete,2022-12-02 17:59:59.990000+01:00
ec3c7fbd83c5ccf00117cec0e7c915b6,Start Spoiled Fruit Data Collection,start,2022-12-02 17:59:59.990000+01:00
ec3c7fbd83c5ccf00117cec0e7c915b6,Start Spoiled Fruit Data Collection,complete,2022-12-02 18:15:50.390000+01:00
bb22b0c79cec91c80cdca537370d7dcc,Collect Spoiled Fruit Data,start,2022-12-02 18:15:50.390000+01:00
bb22b0c79cec91c80cdca537370d7dcc,Collect Spoiled Fruit Data,complete,2022-12-02 18:29:13.190000+01:00
d3badc216e8e26d441e380b80a2eae9a,Send Recorded Kilos and Hours,start,2022-12-02 18:29:13.190000+01:00
d3badc216e8e26d441e380b80a2eae9a,Send Recorded Kilos and Hours,complete,2022-12-02 18:35:02.390000+01:00
