cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
fb93666aeeb6fd5d2b6b2de4fadcbf63,Check for Codling Moth,start,2022-12-01 07:40:52.130000+01:00
fb93666aeeb6fd5d2b6b2de4fadcbf63,Check for Codling Moth,complete,2022-12-01 08:01:16.130000+01:00
aa95275871853ab44f05890a2e0dcb55,Trucks Arrive (3pm),start,2022-12-01 08:01:16.130000+01:00
b8a60bf486e5e25c52fa3a67c3162d12,Warn of Break (1pm),start,2022-12-01 08:01:16.130000+01:00
07517a72cb6fc8e75d07744d9f0bdae0,Start Picking,start,2022-12-01 08:01:16.130000+01:00
07517a72cb6fc8e75d07744d9f0bdae0,Start Picking,complete,2022-12-01 08:05:00+01:00
a7cf343ce3dfffc98b0833992b846a41,Picking ,start,2022-12-01 08:05:00+01:00
a7cf343ce3dfffc98b0833992b846a41,Picking ,complete,2022-12-01 12:32:57.600000+01:00
09df05988db1cff3e1371f94a2a5d925,Break,start,2022-12-01 12:32:57.600000+01:00
09df05988db1cff3e1371f94a2a5d925,Break,complete,2022-12-01 13:03:26.400000+01:00
f30c1b71917c103ac15e30ec7741fbf4,Picking,start,2022-12-01 13:03:26.400000+01:00
b8a60bf486e5e25c52fa3a67c3162d12,Warn of Break (1pm),complete,2022-12-01 12:59:59.990000+01:00
aa95275871853ab44f05890a2e0dcb55,Trucks Arrive (3pm),complete,2022-12-01 15:11:59.990000+01:00
452fd89406c12a7037a9ece06419c29f,Load Trucks,start,2022-12-01 15:11:59.990000+01:00
452fd89406c12a7037a9ece06419c29f,Load Trucks,complete,2022-12-01 15:28:19.190000+01:00
ab9264428b1ad6675e7100417bf33522,Load Trucks,start,2022-12-01 15:28:19.190000+01:00
ab9264428b1ad6675e7100417bf33522,Load Trucks,complete,2022-12-01 15:45:14.390000+01:00
799d46268b956390923da5cd1ec4acf5,Load Trucks,start,2022-12-01 15:45:14.390000+01:00
799d46268b956390923da5cd1ec4acf5,Load Trucks,complete,2022-12-01 16:01:51.590000+01:00
a31073bd0847551b42684a443d4570ff,Load Trucks,start,2022-12-01 16:01:51.590000+01:00
a31073bd0847551b42684a443d4570ff,Load Trucks,complete,2022-12-01 16:17:27.590000+01:00
28fbf8591b62af87e0951c0ce028b026,Load Trucks,start,2022-12-01 16:17:27.590000+01:00
28fbf8591b62af87e0951c0ce028b026,Load Trucks,complete,2022-12-01 16:32:31.190000+01:00
8055e73800b0eb0bba6401243d23f731,Load Trucks,start,2022-12-01 16:32:31.190000+01:00
8055e73800b0eb0bba6401243d23f731,Load Trucks,complete,2022-12-01 16:49:11.990000+01:00
1784d982b8ecd8af2f2c3dc5337469ff,Load Trucks,start,2022-12-01 16:49:11.990000+01:00
1784d982b8ecd8af2f2c3dc5337469ff,Load Trucks,complete,2022-12-01 17:08:16.790000+01:00
74167875e2a995a5c6fe45b874656ade,Load Trucks,start,2022-12-01 17:08:16.790000+01:00
74167875e2a995a5c6fe45b874656ade,Load Trucks,complete,2022-12-01 17:31:33.590000+01:00
d1ee99f151c03e202ba0c6c01f096471,Load Trucks,start,2022-12-01 17:31:33.590000+01:00
f30c1b71917c103ac15e30ec7741fbf4,Picking,complete,2022-12-01 17:02:25.200000+01:00
d1ee99f151c03e202ba0c6c01f096471,Load Trucks,complete,2022-12-01 17:59:31.190000+01:00
df5bb69f54fedf7d03c025cee9b5753c,Start Spoiled Fruit Data Collection,start,2022-12-01 17:59:31.190000+01:00
df5bb69f54fedf7d03c025cee9b5753c,Start Spoiled Fruit Data Collection,complete,2022-12-01 18:38:05.990000+01:00
f65b79bb2336254be4d3a4b00a4c3ed0,Collect Spoiled Fruit Data,start,2022-12-01 18:38:05.990000+01:00
f65b79bb2336254be4d3a4b00a4c3ed0,Collect Spoiled Fruit Data,complete,2022-12-01 19:02:20.390000+01:00
5246596126d3f4ad6a066e1597294d5e,Send Recorded Kilos and Hours,start,2022-12-01 19:02:20.390000+01:00
5246596126d3f4ad6a066e1597294d5e,Send Recorded Kilos and Hours,complete,2022-12-01 19:10:19.190000+01:00
