cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
0c7062f82aaf4e3d5eb38cb7dc676ec6,Check for Codling Moth,start,2022-11-16 07:40:05.090000+01:00
0c7062f82aaf4e3d5eb38cb7dc676ec6,Check for Codling Moth,complete,2022-11-16 08:03:21.890000+01:00
5e63a6f4028f30a9db7c2d1af314d890,Trucks Arrive (3pm),start,2022-11-16 08:03:21.890000+01:00
2d87a8b3d5e00fe9e53d4467876a0435,Start Picking,start,2022-11-16 08:03:21.890000+01:00
91ad38360da6b0c04cadbd53d3197945,Warn of Break (1pm),start,2022-11-16 08:03:21.890000+01:00
2d87a8b3d5e00fe9e53d4467876a0435,Start Picking,complete,2022-11-16 08:08:00+01:00
f46cd46ee704c652e075ed2cf2af82e4,Picking ,start,2022-11-16 08:08:00+01:00
f46cd46ee704c652e075ed2cf2af82e4,Picking ,complete,2022-11-16 13:26:32.400000+01:00
b211784580e69146b79d79c894e8d4a2,Break,start,2022-11-16 13:26:32.400000+01:00
91ad38360da6b0c04cadbd53d3197945,Warn of Break (1pm),complete,2022-11-16 13:00:00+01:00
b211784580e69146b79d79c894e8d4a2,Break,complete,2022-11-16 14:01:45.600000+01:00
0f76939bb0f1a8d2f16e3845d64d790c,Picking,start,2022-11-16 14:01:45.600000+01:00
5e63a6f4028f30a9db7c2d1af314d890,Trucks Arrive (3pm),complete,2022-11-16 15:07:00+01:00
ea10eca9f6ca9e1bb2244a340b743c7b,Load Trucks,start,2022-11-16 15:07:00+01:00
ea10eca9f6ca9e1bb2244a340b743c7b,Load Trucks,complete,2022-11-16 15:21:13.200000+01:00
e7e5ddfbf462ec73f1393c6e0af7f56d,Load Trucks,start,2022-11-16 15:21:13.200000+01:00
e7e5ddfbf462ec73f1393c6e0af7f56d,Load Trucks,complete,2022-11-16 15:38:12+01:00
245c5b8de9ac8b9d6cade8827f68ecbc,Load Trucks,start,2022-11-16 15:38:12+01:00
245c5b8de9ac8b9d6cade8827f68ecbc,Load Trucks,complete,2022-11-16 15:57:42+01:00
fb0f4e199fc4bdf6762305042136c2b5,Load Trucks,start,2022-11-16 15:57:42+01:00
fb0f4e199fc4bdf6762305042136c2b5,Load Trucks,complete,2022-11-16 16:14:30+01:00
91146e01d2ecfcd5ab5ec55e927e6060,Load Trucks,start,2022-11-16 16:14:30+01:00
91146e01d2ecfcd5ab5ec55e927e6060,Load Trucks,complete,2022-11-16 16:33:06+01:00
72da70490dc328db28bf8ab128bf3ba2,Load Trucks,start,2022-11-16 16:33:06+01:00
72da70490dc328db28bf8ab128bf3ba2,Load Trucks,complete,2022-11-16 16:51:38.400000+01:00
4f8121f7d4ba12187211925ccc1dccda,Load Trucks,start,2022-11-16 16:51:38.400000+01:00
4f8121f7d4ba12187211925ccc1dccda,Load Trucks,complete,2022-11-16 17:02:15.600000+01:00
1315739c7c3dd50098235fe93dcab298,Load Trucks,start,2022-11-16 17:02:15.600000+01:00
1315739c7c3dd50098235fe93dcab298,Load Trucks,complete,2022-11-16 17:38:04.800000+01:00
7d04bafc5117cfaf475188d6622a4780,Load Trucks,start,2022-11-16 17:38:04.800000+01:00
7d04bafc5117cfaf475188d6622a4780,Load Trucks,complete,2022-11-16 18:01:39.600000+01:00
6b0d4a6404e7482351cfeb31286efbfd,Load Trucks,start,2022-11-16 18:01:39.600000+01:00
6b0d4a6404e7482351cfeb31286efbfd,Load Trucks,complete,2022-11-16 18:09:42+01:00
ff464b31d85a22759e9875493946cf7e,Load Trucks,start,2022-11-16 18:09:42+01:00
0f76939bb0f1a8d2f16e3845d64d790c,Picking,complete,2022-11-16 18:15:08.400000+01:00
ff464b31d85a22759e9875493946cf7e,Load Trucks,complete,2022-11-16 18:27:42+01:00
12e71ac949ad7b98210e8b92f8b86890,Start Spoiled Fruit Data Collection,start,2022-11-16 18:27:42+01:00
12e71ac949ad7b98210e8b92f8b86890,Start Spoiled Fruit Data Collection,complete,2022-11-16 18:55:10.800000+01:00
24cb907c6bcf836a66bd22f5ff827b16,Collect Spoiled Fruit Data,start,2022-11-16 18:55:10.800000+01:00
24cb907c6bcf836a66bd22f5ff827b16,Collect Spoiled Fruit Data,complete,2022-11-16 19:02:55.200000+01:00
0ea54532e89b22417447a401a690dc8d,Send Recorded Kilos and Hours,start,2022-11-16 19:02:55.200000+01:00
0ea54532e89b22417447a401a690dc8d,Send Recorded Kilos and Hours,complete,2022-11-16 19:04:10.800000+01:00
