cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
2c7293851bfaa654bc433ba79665e427,Check for Codling Moth,start,2022-11-19 07:43:00.160000+01:00
2c7293851bfaa654bc433ba79665e427,Check for Codling Moth,complete,2022-11-19 08:07:39.760000+01:00
005c31ecdee82480015a5175591374eb,Start Picking,start,2022-11-19 08:07:39.760000+01:00
2a787d9799aef1bcdbd382fe4bd2b749,Warn of Break (1pm),start,2022-11-19 08:07:39.760000+01:00
5a306c4c477b66ea3b22cedef5e6235f,Trucks Arrive (3pm),start,2022-11-19 08:07:39.760000+01:00
005c31ecdee82480015a5175591374eb,Start Picking,complete,2022-11-19 08:10:00+01:00
d4f8ac15ee10b6687ca31d8e0643af2e,Picking ,start,2022-11-19 08:10:00+01:00
d4f8ac15ee10b6687ca31d8e0643af2e,Picking ,complete,2022-11-19 13:40:03.600000+01:00
9f003692f9041af798945de62ff612ef,Break,start,2022-11-19 13:40:03.600000+01:00
2a787d9799aef1bcdbd382fe4bd2b749,Warn of Break (1pm),complete,2022-11-19 13:00:00+01:00
9f003692f9041af798945de62ff612ef,Break,complete,2022-11-19 14:12:34.800000+01:00
d1f22c19f2f4ff4508039e316c23c358,Picking,start,2022-11-19 14:12:34.800000+01:00
5a306c4c477b66ea3b22cedef5e6235f,Trucks Arrive (3pm),complete,2022-11-19 15:05:00+01:00
07a17b426d40e9e7021e907e9e02ebdd,Load Trucks,start,2022-11-19 15:05:00+01:00
07a17b426d40e9e7021e907e9e02ebdd,Load Trucks,complete,2022-11-19 15:20:25.200000+01:00
a57d566b04908cefd25657a74a458828,Load Trucks,start,2022-11-19 15:20:25.200000+01:00
a57d566b04908cefd25657a74a458828,Load Trucks,complete,2022-11-19 15:41:43.200000+01:00
08a9524442c342d88abfcd9b9038779d,Load Trucks,start,2022-11-19 15:41:43.200000+01:00
08a9524442c342d88abfcd9b9038779d,Load Trucks,complete,2022-11-19 15:56:10.800000+01:00
8cd01bb0b9548f52ab1dd5cc2374ea86,Load Trucks,start,2022-11-19 15:56:10.800000+01:00
8cd01bb0b9548f52ab1dd5cc2374ea86,Load Trucks,complete,2022-11-19 16:11:57.600000+01:00
719d3d66e9045429b419c43ec69a8032,Load Trucks,start,2022-11-19 16:11:57.600000+01:00
719d3d66e9045429b419c43ec69a8032,Load Trucks,complete,2022-11-19 16:46:31.200000+01:00
4f94d55d689487b8a272c1bf2baf6a29,Load Trucks,start,2022-11-19 16:46:31.200000+01:00
4f94d55d689487b8a272c1bf2baf6a29,Load Trucks,complete,2022-11-19 17:16:27.600000+01:00
8ac3347e87a22039238c5957e0289db1,Load Trucks,start,2022-11-19 17:16:27.600000+01:00
8ac3347e87a22039238c5957e0289db1,Load Trucks,complete,2022-11-19 17:24:51.600000+01:00
10849f75c570969f39aa4a119a8d8983,Load Trucks,start,2022-11-19 17:24:51.600000+01:00
10849f75c570969f39aa4a119a8d8983,Load Trucks,complete,2022-11-19 17:51:58.800000+01:00
c76754189f84384046726147fafced5a,Load Trucks,start,2022-11-19 17:51:58.800000+01:00
c76754189f84384046726147fafced5a,Load Trucks,complete,2022-11-19 17:56:57.600000+01:00
297ea18e627c78d00189a1ce1ac8aa5e,Load Trucks,start,2022-11-19 17:56:57.600000+01:00
d1f22c19f2f4ff4508039e316c23c358,Picking,complete,2022-11-19 18:06:02.400000+01:00
297ea18e627c78d00189a1ce1ac8aa5e,Load Trucks,complete,2022-11-19 18:01:02.400000+01:00
bf961fe6e5f8e0c604a3be8b22644eec,Start Spoiled Fruit Data Collection,start,2022-11-19 18:06:02.400000+01:00
bf961fe6e5f8e0c604a3be8b22644eec,Start Spoiled Fruit Data Collection,complete,2022-11-19 18:22:10.800000+01:00
063063c77f1946bc9b82b2cddba31678,Collect Spoiled Fruit Data,start,2022-11-19 18:22:10.800000+01:00
063063c77f1946bc9b82b2cddba31678,Collect Spoiled Fruit Data,complete,2022-11-19 18:26:55.200000+01:00
a9aa3fbc49228d5d7e838359148290b5,Send Recorded Kilos and Hours,start,2022-11-19 18:26:55.200000+01:00
a9aa3fbc49228d5d7e838359148290b5,Send Recorded Kilos and Hours,complete,2022-11-19 18:28:14.400000+01:00
