cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
a72def1895dda157fcd4fc483103d6c5,Check for Codling Moth,start,2022-12-16 07:41:31.220000+01:00
a72def1895dda157fcd4fc483103d6c5,Check for Codling Moth,complete,2022-12-16 07:55:04.820000+01:00
bfe1f3ad9ea87d551095946cc11b9ff0,Start Picking,start,2022-12-16 07:55:04.820000+01:00
2f83f9cb45107f1ec136638ef8760161,Trucks Arrive (3pm),start,2022-12-16 07:55:04.820000+01:00
fa2bf2907a8de4af61ca29fabd0f96e1,Warn of Break (1pm),start,2022-12-16 07:55:04.820000+01:00
bfe1f3ad9ea87d551095946cc11b9ff0,Start Picking,complete,2022-12-16 08:07:00+01:00
c34c5ad4dde735b9e3f0e579fa2cd3a6,Picking ,start,2022-12-16 08:07:00+01:00
c34c5ad4dde735b9e3f0e579fa2cd3a6,Picking ,complete,2022-12-16 13:18:38.400000+01:00
561ba1bf0a004a5a117f7cab74ffbc26,Break,start,2022-12-16 13:18:38.400000+01:00
561ba1bf0a004a5a117f7cab74ffbc26,Break,complete,2022-12-16 13:43:46.800000+01:00
5f0457abbf7489faed6ea8324b179b92,Picking,start,2022-12-16 13:43:46.800000+01:00
fa2bf2907a8de4af61ca29fabd0f96e1,Warn of Break (1pm),complete,2022-12-16 13:00:00+01:00
2f83f9cb45107f1ec136638ef8760161,Trucks Arrive (3pm),complete,2022-12-16 15:07:00+01:00
45ecd9636c2b479e9d564efcc85d3890,Load Trucks,start,2022-12-16 15:07:00+01:00
45ecd9636c2b479e9d564efcc85d3890,Load Trucks,complete,2022-12-16 15:26:40.800000+01:00
49d456f3442c1fea8b5ad8917c97732a,Load Trucks,start,2022-12-16 15:26:40.800000+01:00
49d456f3442c1fea8b5ad8917c97732a,Load Trucks,complete,2022-12-16 15:45:42+01:00
fc9c4fa1261ccf5b45bcfa7bca717518,Load Trucks,start,2022-12-16 15:45:42+01:00
fc9c4fa1261ccf5b45bcfa7bca717518,Load Trucks,complete,2022-12-16 16:04:21.600000+01:00
399b58f9a3d4c3d6636ba25d88aba94f,Load Trucks,start,2022-12-16 16:04:21.600000+01:00
399b58f9a3d4c3d6636ba25d88aba94f,Load Trucks,complete,2022-12-16 16:16:36+01:00
4343d0281e43809e1f72134f90d68d31,Load Trucks,start,2022-12-16 16:16:36+01:00
4343d0281e43809e1f72134f90d68d31,Load Trucks,complete,2022-12-16 16:30:49.200000+01:00
6f7f2056e380b1c3cd4078ffb12fe3a6,Load Trucks,start,2022-12-16 16:30:49.200000+01:00
6f7f2056e380b1c3cd4078ffb12fe3a6,Load Trucks,complete,2022-12-16 16:59:48+01:00
a5804c9ce08208173bf499a5c9d00dbc,Load Trucks,start,2022-12-16 16:59:48+01:00
a5804c9ce08208173bf499a5c9d00dbc,Load Trucks,complete,2022-12-16 17:14:12+01:00
37b884392308c44ac9d7c4f057133565,Load Trucks,start,2022-12-16 17:14:12+01:00
37b884392308c44ac9d7c4f057133565,Load Trucks,complete,2022-12-16 17:24:52.800000+01:00
1a3667367e5a0fd51f5d869f224e9a80,Load Trucks,start,2022-12-16 17:24:52.800000+01:00
1a3667367e5a0fd51f5d869f224e9a80,Load Trucks,complete,2022-12-16 17:31:57.600000+01:00
7b1d45a5003775245fd8aef8c81b2072,Load Trucks,start,2022-12-16 17:31:57.600000+01:00
7b1d45a5003775245fd8aef8c81b2072,Load Trucks,complete,2022-12-16 17:56:04.800000+01:00
6ec065ddf234eddd4bd6907b872ceba0,Load Trucks,start,2022-12-16 17:56:04.800000+01:00
5f0457abbf7489faed6ea8324b179b92,Picking,complete,2022-12-16 18:30:56.390000+01:00
6ec065ddf234eddd4bd6907b872ceba0,Load Trucks,complete,2022-12-16 18:08:55.200000+01:00
e8eaf2a81e41f0a46732da81f33e8ed6,Start Spoiled Fruit Data Collection,start,2022-12-16 18:30:56.390000+01:00
e8eaf2a81e41f0a46732da81f33e8ed6,Start Spoiled Fruit Data Collection,complete,2022-12-16 18:57:49.190000+01:00
1ee98d25f6fb57a11b529099dfc9b5ee,Collect Spoiled Fruit Data,start,2022-12-16 18:57:49.190000+01:00
1ee98d25f6fb57a11b529099dfc9b5ee,Collect Spoiled Fruit Data,complete,2022-12-16 19:07:21.590000+01:00
9c650e7276074b58d96c7c7eb7616707,Send Recorded Kilos and Hours,start,2022-12-16 19:07:21.590000+01:00
9c650e7276074b58d96c7c7eb7616707,Send Recorded Kilos and Hours,complete,2022-12-16 19:08:40.790000+01:00
