cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
00bbc3a440dfd068f8248c749dac9fb5,Check for Codling Moth,start,2022-12-05 07:40:57.010000+01:00
00bbc3a440dfd068f8248c749dac9fb5,Check for Codling Moth,complete,2022-12-05 07:59:47.410000+01:00
0cdc71777d806b12c607334f622ed054,Warn of Break (1pm),start,2022-12-05 07:59:47.410000+01:00
f36c4259e82fcf7bec81889d97c48a1c,Start Picking,start,2022-12-05 07:59:47.410000+01:00
fd0a5878dee705ac1a4e35726b5f4722,Trucks Arrive (3pm),start,2022-12-05 07:59:47.410000+01:00
f36c4259e82fcf7bec81889d97c48a1c,Start Picking,complete,2022-12-05 08:05:00+01:00
ee241967e89eb23f0e1c17184168979f,Picking ,start,2022-12-05 08:05:00+01:00
ee241967e89eb23f0e1c17184168979f,Picking ,complete,2022-12-05 13:24:12+01:00
e8ed7f9358da078d88f50abc6fddfc6a,Break,start,2022-12-05 13:24:12+01:00
0cdc71777d806b12c607334f622ed054,Warn of Break (1pm),complete,2022-12-05 13:00:00+01:00
e8ed7f9358da078d88f50abc6fddfc6a,Break,complete,2022-12-05 13:54:12+01:00
72b2e76c7ad66efcc8d421bea728b272,Picking,start,2022-12-05 13:54:12+01:00
fd0a5878dee705ac1a4e35726b5f4722,Trucks Arrive (3pm),complete,2022-12-05 15:12:00+01:00
0ac99753fd79b18d0fd712800cf9d94b,Load Trucks,start,2022-12-05 15:12:00+01:00
0ac99753fd79b18d0fd712800cf9d94b,Load Trucks,complete,2022-12-05 15:28:37.200000+01:00
2147e6148c4c651e5a2f38078e7c69a2,Load Trucks,start,2022-12-05 15:28:37.200000+01:00
2147e6148c4c651e5a2f38078e7c69a2,Load Trucks,complete,2022-12-05 15:48:50.400000+01:00
ca6cf0c5be748e8116f43aad71f30d71,Load Trucks,start,2022-12-05 15:48:50.400000+01:00
ca6cf0c5be748e8116f43aad71f30d71,Load Trucks,complete,2022-12-05 16:06:43.200000+01:00
bd670eb570eb5e319a70f6cb7c56b552,Load Trucks,start,2022-12-05 16:06:43.200000+01:00
bd670eb570eb5e319a70f6cb7c56b552,Load Trucks,complete,2022-12-05 16:28:37.200000+01:00
08259ba6419c78035f43bbaf7bac98be,Load Trucks,start,2022-12-05 16:28:37.200000+01:00
08259ba6419c78035f43bbaf7bac98be,Load Trucks,complete,2022-12-05 16:46:48+01:00
74ae4dd6f774581eb533ebd6aac34222,Load Trucks,start,2022-12-05 16:46:48+01:00
74ae4dd6f774581eb533ebd6aac34222,Load Trucks,complete,2022-12-05 17:09:00+01:00
f3c1abd2f65dcff8900eb221bc82aef2,Load Trucks,start,2022-12-05 17:09:00+01:00
f3c1abd2f65dcff8900eb221bc82aef2,Load Trucks,complete,2022-12-05 17:19:55.200000+01:00
6ceabd5c389beb6d50ece1503e62f4a6,Load Trucks,start,2022-12-05 17:19:55.200000+01:00
6ceabd5c389beb6d50ece1503e62f4a6,Load Trucks,complete,2022-12-05 18:08:02.400000+01:00
3062989263981099fe4bada77c6f05bb,Load Trucks,start,2022-12-05 18:08:02.400000+01:00
3062989263981099fe4bada77c6f05bb,Load Trucks,complete,2022-12-05 18:18:25.200000+01:00
bc08d323a9a52b6b70b9fff201f453f4,Load Trucks,start,2022-12-05 18:18:25.200000+01:00
72b2e76c7ad66efcc8d421bea728b272,Picking,complete,2022-12-05 18:08:32.390000+01:00
bc08d323a9a52b6b70b9fff201f453f4,Load Trucks,complete,2022-12-05 18:35:13.200000+01:00
d9d3f73a41c024e5130397776ba0b4f5,Start Spoiled Fruit Data Collection,start,2022-12-05 18:35:13.200000+01:00
d9d3f73a41c024e5130397776ba0b4f5,Start Spoiled Fruit Data Collection,complete,2022-12-05 19:03:54+01:00
386cb8848127549fc2009522e338d659,Collect Spoiled Fruit Data,start,2022-12-05 19:03:54+01:00
386cb8848127549fc2009522e338d659,Collect Spoiled Fruit Data,complete,2022-12-05 19:10:58.800000+01:00
6b119c67bca1b6066a240b964ccac0cd,Send Recorded Kilos and Hours,start,2022-12-05 19:10:58.800000+01:00
6b119c67bca1b6066a240b964ccac0cd,Send Recorded Kilos and Hours,complete,2022-12-05 19:12:21.600000+01:00
