cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
31993deba0fdf6ac64203b7bf9b06fb5,Check for Codling Moth,start,2022-11-14 07:44:38.050000+01:00
31993deba0fdf6ac64203b7bf9b06fb5,Check for Codling Moth,complete,2022-11-14 07:59:02.050000+01:00
c71f78772498a015fd3a6b0ec228f69b,Start Picking,start,2022-11-14 07:59:02.050000+01:00
0109ddee0fc5e7a6e20c14e28e61b26d,Warn of Break (1pm),start,2022-11-14 07:59:02.050000+01:00
192c01933e733d1ed99e48ab5ca3b7ee,Trucks Arrive (3pm),start,2022-11-14 07:59:02.050000+01:00
c71f78772498a015fd3a6b0ec228f69b,Start Picking,complete,2022-11-14 08:12:00+01:00
dc86fa59c4329e348e61047290333e90,Picking ,start,2022-11-14 08:12:00+01:00
dc86fa59c4329e348e61047290333e90,Picking ,complete,2022-11-14 13:37:12+01:00
9514da132bf41c59574d4d060f9a6c23,Break,start,2022-11-14 13:37:12+01:00
0109ddee0fc5e7a6e20c14e28e61b26d,Warn of Break (1pm),complete,2022-11-14 12:59:59.990000+01:00
9514da132bf41c59574d4d060f9a6c23,Break,complete,2022-11-14 14:08:56.400000+01:00
5ed636432b97febe3f6ce68fb8528d0d,Picking,start,2022-11-14 14:08:56.400000+01:00
192c01933e733d1ed99e48ab5ca3b7ee,Trucks Arrive (3pm),complete,2022-11-14 15:08:59.990000+01:00
2526da5f0fd1550714ee5ecb448b037f,Load Trucks,start,2022-11-14 15:08:59.990000+01:00
2526da5f0fd1550714ee5ecb448b037f,Load Trucks,complete,2022-11-14 15:17:23.990000+01:00
94e0302db49caa00397876211d6dd4bf,Load Trucks,start,2022-11-14 15:17:23.990000+01:00
94e0302db49caa00397876211d6dd4bf,Load Trucks,complete,2022-11-14 15:31:01.190000+01:00
dd050bcccb1649a9178f85742890e6aa,Load Trucks,start,2022-11-14 15:31:01.190000+01:00
dd050bcccb1649a9178f85742890e6aa,Load Trucks,complete,2022-11-14 15:47:49.190000+01:00
9cc846a2a0086a18e9823febd95ba399,Load Trucks,start,2022-11-14 15:47:49.190000+01:00
9cc846a2a0086a18e9823febd95ba399,Load Trucks,complete,2022-11-14 16:05:27.590000+01:00
3fc929c9cd93912288b13be109fda725,Load Trucks,start,2022-11-14 16:05:27.590000+01:00
3fc929c9cd93912288b13be109fda725,Load Trucks,complete,2022-11-14 16:22:58.790000+01:00
a54b9eae2d0fe6de626b1b2a079e3305,Load Trucks,start,2022-11-14 16:22:58.790000+01:00
a54b9eae2d0fe6de626b1b2a079e3305,Load Trucks,complete,2022-11-14 16:40:01.190000+01:00
b1b647698059d7bb8a6f333c97af6f9c,Load Trucks,start,2022-11-14 16:40:01.190000+01:00
b1b647698059d7bb8a6f333c97af6f9c,Load Trucks,complete,2022-11-14 16:59:31.190000+01:00
4944c3de4900729c023c18bde4432529,Load Trucks,start,2022-11-14 16:59:31.190000+01:00
4944c3de4900729c023c18bde4432529,Load Trucks,complete,2022-11-14 17:17:02.390000+01:00
da636fa9cb0d680badf6b0a56d9ef75f,Load Trucks,start,2022-11-14 17:17:02.390000+01:00
da636fa9cb0d680badf6b0a56d9ef75f,Load Trucks,complete,2022-11-14 17:32:56.390000+01:00
9b1a9a478f4e9f3d9429d3fc76e15495,Load Trucks,start,2022-11-14 17:32:56.390000+01:00
5ed636432b97febe3f6ce68fb8528d0d,Picking,complete,2022-11-14 18:03:21.600000+01:00
9b1a9a478f4e9f3d9429d3fc76e15495,Load Trucks,complete,2022-11-14 18:14:31.190000+01:00
365523b7a7ca18a735887231956f3050,Start Spoiled Fruit Data Collection,start,2022-11-14 18:14:31.190000+01:00
365523b7a7ca18a735887231956f3050,Start Spoiled Fruit Data Collection,complete,2022-11-14 18:23:59.990000+01:00
1f1f2dc487417ab1c9a0eacb49b2db00,Collect Spoiled Fruit Data,start,2022-11-14 18:23:59.990000+01:00
1f1f2dc487417ab1c9a0eacb49b2db00,Collect Spoiled Fruit Data,complete,2022-11-14 18:41:49.190000+01:00
3789731d5566044af91695cd96e68bc1,Send Recorded Kilos and Hours,start,2022-11-14 18:41:49.190000+01:00
3789731d5566044af91695cd96e68bc1,Send Recorded Kilos and Hours,complete,2022-11-14 18:48:21.590000+01:00
