cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
fdb072dc44887386ffb6ea74af035f52,Check for Codling Moth,start,2022-12-03 07:41:49.150000+01:00
fdb072dc44887386ffb6ea74af035f52,Check for Codling Moth,complete,2022-12-03 07:55:08.350000+01:00
90a40fe8018d0fce27b200a7f26b1c70,Start Picking,start,2022-12-03 07:55:08.350000+01:00
c9a4345101a6438089c1d456231a8629,Warn of Break (1pm),start,2022-12-03 07:55:08.350000+01:00
93b4a45b640d9a3ff79d089cb56cbfd1,Trucks Arrive (3pm),start,2022-12-03 07:55:08.350000+01:00
90a40fe8018d0fce27b200a7f26b1c70,Start Picking,complete,2022-12-03 08:02:00+01:00
20a7d8a8fd102a87feb0c3f1a31bd35f,Picking ,start,2022-12-03 08:02:00+01:00
20a7d8a8fd102a87feb0c3f1a31bd35f,Picking ,complete,2022-12-03 13:03:19.200000+01:00
3d576c6663159f5045a8b5efadea042e,Break,start,2022-12-03 13:03:19.200000+01:00
3d576c6663159f5045a8b5efadea042e,Break,complete,2022-12-03 13:34:52.800000+01:00
0deb279605d8e320f92bb3ba29176e87,Picking,start,2022-12-03 13:34:52.800000+01:00
c9a4345101a6438089c1d456231a8629,Warn of Break (1pm),complete,2022-12-03 12:59:59.990000+01:00
93b4a45b640d9a3ff79d089cb56cbfd1,Trucks Arrive (3pm),complete,2022-12-03 15:01:59.990000+01:00
c4f16537ce6afac3dc6db5b7e8c50915,Load Trucks,start,2022-12-03 15:01:59.990000+01:00
c4f16537ce6afac3dc6db5b7e8c50915,Load Trucks,complete,2022-12-03 15:18:58.790000+01:00
0925c4d76b3d049892e3e364d64937aa,Load Trucks,start,2022-12-03 15:18:58.790000+01:00
0925c4d76b3d049892e3e364d64937aa,Load Trucks,complete,2022-12-03 15:40:13.190000+01:00
a3d836087db5d44bbd11a3dfb3a6af57,Load Trucks,start,2022-12-03 15:40:13.190000+01:00
a3d836087db5d44bbd11a3dfb3a6af57,Load Trucks,complete,2022-12-03 15:59:53.990000+01:00
d39f4f4f0a3be6da42384268e7571aee,Load Trucks,start,2022-12-03 15:59:53.990000+01:00
d39f4f4f0a3be6da42384268e7571aee,Load Trucks,complete,2022-12-03 16:22:56.390000+01:00
6fe01fe1c82cbbeba62306095cb92b0b,Load Trucks,start,2022-12-03 16:22:56.390000+01:00
6fe01fe1c82cbbeba62306095cb92b0b,Load Trucks,complete,2022-12-03 16:33:26.390000+01:00
3192ce813151fbc7cbb02654634151fd,Load Trucks,start,2022-12-03 16:33:26.390000+01:00
3192ce813151fbc7cbb02654634151fd,Load Trucks,complete,2022-12-03 17:20:39.590000+01:00
1d63a0e6bc6bae73e48d5ef19c238571,Load Trucks,start,2022-12-03 17:20:39.590000+01:00
1d63a0e6bc6bae73e48d5ef19c238571,Load Trucks,complete,2022-12-03 17:30:26.390000+01:00
a6803a772264ccda04130d0089312a15,Load Trucks,start,2022-12-03 17:30:26.390000+01:00
a6803a772264ccda04130d0089312a15,Load Trucks,complete,2022-12-03 17:47:07.190000+01:00
b228998dc1d07366af47e86df4b6e0ea,Load Trucks,start,2022-12-03 17:47:07.190000+01:00
0deb279605d8e320f92bb3ba29176e87,Picking,complete,2022-12-03 17:54:26.390000+01:00
b228998dc1d07366af47e86df4b6e0ea,Load Trucks,complete,2022-12-03 18:17:14.390000+01:00
f60971bae825849bf0aff3b035b5f19e,Start Spoiled Fruit Data Collection,start,2022-12-03 18:17:14.390000+01:00
f60971bae825849bf0aff3b035b5f19e,Start Spoiled Fruit Data Collection,complete,2022-12-03 18:22:09.590000+01:00
76d699c12671630728403bee49691fb0,Collect Spoiled Fruit Data,start,2022-12-03 18:22:09.590000+01:00
76d699c12671630728403bee49691fb0,Collect Spoiled Fruit Data,complete,2022-12-03 18:42:33.590000+01:00
edad00cfe7f5fb4f04b73bb03017e2f1,Send Recorded Kilos and Hours,start,2022-12-03 18:42:33.590000+01:00
edad00cfe7f5fb4f04b73bb03017e2f1,Send Recorded Kilos and Hours,complete,2022-12-03 18:43:52.790000+01:00
