cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
a61400c37bf626a687f0730b8488c7c2,Check for Codling Moth,start,2022-12-15 07:42:39.780000+01:00
a61400c37bf626a687f0730b8488c7c2,Check for Codling Moth,complete,2022-12-15 07:46:15.780000+01:00
74e3bc3b589561bff15cfa681e1666f2,Trucks Arrive (3pm),start,2022-12-15 07:46:15.780000+01:00
3168bd218388c128ead75db92136aa73,Warn of Break (1pm),start,2022-12-15 07:46:15.780000+01:00
e50b1b5b6958a50ee1c06598fdbb5ca7,Start Picking,start,2022-12-15 07:46:15.780000+01:00
e50b1b5b6958a50ee1c06598fdbb5ca7,Start Picking,complete,2022-12-15 08:11:00+01:00
0ab6f3fb9696ed718c8c157bef58b3e7,Picking ,start,2022-12-15 08:11:00+01:00
0ab6f3fb9696ed718c8c157bef58b3e7,Picking ,complete,2022-12-15 13:05:43.200000+01:00
20d5ef9eeb0eb2786f04eab909c7ab67,Break,start,2022-12-15 13:05:43.200000+01:00
3168bd218388c128ead75db92136aa73,Warn of Break (1pm),complete,2022-12-15 13:00:00+01:00
20d5ef9eeb0eb2786f04eab909c7ab67,Break,complete,2022-12-15 13:35:57.600000+01:00
ee62a85ec5daa19064711c30198ea963,Picking,start,2022-12-15 13:35:57.600000+01:00
74e3bc3b589561bff15cfa681e1666f2,Trucks Arrive (3pm),complete,2022-12-15 15:07:00+01:00
45ffe75771c31bebf0a9d03f670132aa,Load Trucks,start,2022-12-15 15:07:00+01:00
45ffe75771c31bebf0a9d03f670132aa,Load Trucks,complete,2022-12-15 15:17:55.200000+01:00
ac8e4b3cac3df391256cc5f075305329,Load Trucks,start,2022-12-15 15:17:55.200000+01:00
ac8e4b3cac3df391256cc5f075305329,Load Trucks,complete,2022-12-15 15:34:07.200000+01:00
aafe9806d184655b317ea00450b78a95,Load Trucks,start,2022-12-15 15:34:07.200000+01:00
aafe9806d184655b317ea00450b78a95,Load Trucks,complete,2022-12-15 15:50:15.600000+01:00
9221f2233de15683765106d9546d8934,Load Trucks,start,2022-12-15 15:50:15.600000+01:00
9221f2233de15683765106d9546d8934,Load Trucks,complete,2022-12-15 16:09:38.400000+01:00
0c0ba3e3de7f984264b7d511290e6fcb,Load Trucks,start,2022-12-15 16:09:38.400000+01:00
0c0ba3e3de7f984264b7d511290e6fcb,Load Trucks,complete,2022-12-15 16:32:55.200000+01:00
e1e505d6a07616f06704e76ac961a3c3,Load Trucks,start,2022-12-15 16:32:55.200000+01:00
e1e505d6a07616f06704e76ac961a3c3,Load Trucks,complete,2022-12-15 16:45:09.600000+01:00
a2534e476cc3694643d56611f4de2ac1,Load Trucks,start,2022-12-15 16:45:09.600000+01:00
a2534e476cc3694643d56611f4de2ac1,Load Trucks,complete,2022-12-15 17:01:50.400000+01:00
f69cc1e33876204bdbb929530629a8ca,Load Trucks,start,2022-12-15 17:01:50.400000+01:00
f69cc1e33876204bdbb929530629a8ca,Load Trucks,complete,2022-12-15 17:14:19.200000+01:00
63c1cb137a18cfc2637440d13565d619,Load Trucks,start,2022-12-15 17:14:19.200000+01:00
ee62a85ec5daa19064711c30198ea963,Picking,complete,2022-12-15 17:07:13.200000+01:00
63c1cb137a18cfc2637440d13565d619,Load Trucks,complete,2022-12-15 17:52:00+01:00
57a0057f9ebc3ff19d2b15d99929b4f9,Start Spoiled Fruit Data Collection,start,2022-12-15 17:52:00+01:00
57a0057f9ebc3ff19d2b15d99929b4f9,Start Spoiled Fruit Data Collection,complete,2022-12-15 18:08:04.800000+01:00
2ab64e040c9f95a14228f39a426e2865,Collect Spoiled Fruit Data,start,2022-12-15 18:08:04.800000+01:00
2ab64e040c9f95a14228f39a426e2865,Collect Spoiled Fruit Data,complete,2022-12-15 18:32:08.400000+01:00
f6a7accaa7903d3a9506595ac37e7b5e,Send Recorded Kilos and Hours,start,2022-12-15 18:32:08.400000+01:00
f6a7accaa7903d3a9506595ac37e7b5e,Send Recorded Kilos and Hours,complete,2022-12-15 18:33:16.800000+01:00
