cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
2f5458a4d26a5bd1124f89dfa0b2f717,Check for Codling Moth,start,2022-12-19 07:39:51.460000+01:00
2f5458a4d26a5bd1124f89dfa0b2f717,Check for Codling Moth,complete,2022-12-19 07:59:21.460000+01:00
3c0f5a80b501919db33bb69a76cf60b4,Start Picking,start,2022-12-19 07:59:21.460000+01:00
fb9434d6c3c628ac028c5a16a3d171d0,Trucks Arrive (3pm),start,2022-12-19 07:59:21.460000+01:00
75d904e579c917ce8d85406967e94754,Warn of Break (1pm),start,2022-12-19 07:59:21.460000+01:00
3c0f5a80b501919db33bb69a76cf60b4,Start Picking,complete,2022-12-19 08:13:00+01:00
97419780a29ca9a124ae31d22c559f96,Picking ,start,2022-12-19 08:13:00+01:00
97419780a29ca9a124ae31d22c559f96,Picking ,complete,2022-12-19 13:30:06+01:00
1e23afc66d2f8323dc29300a4eff8239,Break,start,2022-12-19 13:30:06+01:00
75d904e579c917ce8d85406967e94754,Warn of Break (1pm),complete,2022-12-19 13:00:00+01:00
1e23afc66d2f8323dc29300a4eff8239,Break,complete,2022-12-19 13:58:43.190000+01:00
c7cae1af77bfa90cc35769bdc34d9fab,Picking,start,2022-12-19 13:58:43.190000+01:00
fb9434d6c3c628ac028c5a16a3d171d0,Trucks Arrive (3pm),complete,2022-12-19 15:09:00+01:00
5b01bde7aa144a577485ed446d27c289,Load Trucks,start,2022-12-19 15:09:00+01:00
5b01bde7aa144a577485ed446d27c289,Load Trucks,complete,2022-12-19 15:25:08.400000+01:00
1a30d282fc82094cb3ea00b6934fd725,Load Trucks,start,2022-12-19 15:25:08.400000+01:00
1a30d282fc82094cb3ea00b6934fd725,Load Trucks,complete,2022-12-19 15:40:22.800000+01:00
a49da0a985b7f4754d9def61c7908830,Load Trucks,start,2022-12-19 15:40:22.800000+01:00
a49da0a985b7f4754d9def61c7908830,Load Trucks,complete,2022-12-19 15:55:40.800000+01:00
37414b87526dba9cb8e3fb25887d33e0,Load Trucks,start,2022-12-19 15:55:40.800000+01:00
37414b87526dba9cb8e3fb25887d33e0,Load Trucks,complete,2022-12-19 16:24:10.800000+01:00
6d0aae4ee356b172ced3d58c2f4e70bb,Load Trucks,start,2022-12-19 16:24:10.800000+01:00
6d0aae4ee356b172ced3d58c2f4e70bb,Load Trucks,complete,2022-12-19 16:39:43.200000+01:00
2f6eb90a71302795696735dbbd2c6c37,Load Trucks,start,2022-12-19 16:39:43.200000+01:00
2f6eb90a71302795696735dbbd2c6c37,Load Trucks,complete,2022-12-19 17:21:10.800000+01:00
7b7316e346bfdd22bc3c67c671eb6224,Load Trucks,start,2022-12-19 17:21:10.800000+01:00
7b7316e346bfdd22bc3c67c671eb6224,Load Trucks,complete,2022-12-19 17:37:55.200000+01:00
a93a3a40e4512409935f839aa2bf5fcb,Load Trucks,start,2022-12-19 17:37:55.200000+01:00
a93a3a40e4512409935f839aa2bf5fcb,Load Trucks,complete,2022-12-19 18:07:51.600000+01:00
4662f1b1437248bd4a3dc4168a24b18e,Load Trucks,start,2022-12-19 18:07:51.600000+01:00
4662f1b1437248bd4a3dc4168a24b18e,Load Trucks,complete,2022-12-19 18:27:10.800000+01:00
861a64c60d250129e2e84b0d2b681e20,Load Trucks,start,2022-12-19 18:27:10.800000+01:00
861a64c60d250129e2e84b0d2b681e20,Load Trucks,complete,2022-12-19 18:29:16.800000+01:00
91852d7514e1df99bbea3e672ee2f82c,Load Trucks,start,2022-12-19 18:29:16.800000+01:00
c7cae1af77bfa90cc35769bdc34d9fab,Picking,complete,2022-12-19 18:55:10.790000+01:00
91852d7514e1df99bbea3e672ee2f82c,Load Trucks,complete,2022-12-19 18:34:01.200000+01:00
42d4b0127ded269101d96ec87156ce75,Start Spoiled Fruit Data Collection,start,2022-12-19 18:55:10.790000+01:00
42d4b0127ded269101d96ec87156ce75,Start Spoiled Fruit Data Collection,complete,2022-12-19 19:01:03.590000+01:00
66982aae97b32d48f08ad5e0a46a6eb4,Collect Spoiled Fruit Data,start,2022-12-19 19:01:03.590000+01:00
66982aae97b32d48f08ad5e0a46a6eb4,Collect Spoiled Fruit Data,complete,2022-12-19 19:13:50.390000+01:00
87a4fc057023fd70c296340ca6a1d5dc,Send Recorded Kilos and Hours,start,2022-12-19 19:13:50.390000+01:00
87a4fc057023fd70c296340ca6a1d5dc,Send Recorded Kilos and Hours,complete,2022-12-19 19:16:46.790000+01:00
