cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
df54dbed8868ba21c4605961b2fbc807,Check for Codling Moth,start,2022-12-08 07:39:57.930000+01:00
df54dbed8868ba21c4605961b2fbc807,Check for Codling Moth,complete,2022-12-08 07:43:15.930000+01:00
f7cf0e2f88f744e9dc50a688d56291f9,Warn of Break (1pm),start,2022-12-08 07:43:15.930000+01:00
a2638ab55e367e85ff918cffaabf8131,Start Picking,start,2022-12-08 07:43:15.930000+01:00
e321e3d762d4a581781251355fdfcd88,Trucks Arrive (3pm),start,2022-12-08 07:43:15.930000+01:00
a2638ab55e367e85ff918cffaabf8131,Start Picking,complete,2022-12-08 08:04:59.990000+01:00
dea8fc6ceb11e07790cedfc90889802f,Picking ,start,2022-12-08 08:04:59.990000+01:00
dea8fc6ceb11e07790cedfc90889802f,Picking ,complete,2022-12-08 13:26:46.800000+01:00
5ccd57a5b9703165461d4cfd7406dc0d,Break,start,2022-12-08 13:26:46.800000+01:00
f7cf0e2f88f744e9dc50a688d56291f9,Warn of Break (1pm),complete,2022-12-08 12:59:59.990000+01:00
5ccd57a5b9703165461d4cfd7406dc0d,Break,complete,2022-12-08 13:57:37.200000+01:00
bdc6f69f27ccf7915285b0f5de0f7684,Picking,start,2022-12-08 13:57:37.200000+01:00
e321e3d762d4a581781251355fdfcd88,Trucks Arrive (3pm),complete,2022-12-08 15:02:59.990000+01:00
dea01d19fdd4784f1c502cc8a74e9d68,Load Trucks,start,2022-12-08 15:02:59.990000+01:00
dea01d19fdd4784f1c502cc8a74e9d68,Load Trucks,complete,2022-12-08 15:19:26.390000+01:00
d39befc04b1efbdad1e80f6588ee43b8,Load Trucks,start,2022-12-08 15:19:26.390000+01:00
d39befc04b1efbdad1e80f6588ee43b8,Load Trucks,complete,2022-12-08 15:36:57.590000+01:00
a4b05a4fb07f87c806b074feaa43f208,Load Trucks,start,2022-12-08 15:36:57.590000+01:00
a4b05a4fb07f87c806b074feaa43f208,Load Trucks,complete,2022-12-08 15:55:51.590000+01:00
b4e418f2651ee453844081995343faf7,Load Trucks,start,2022-12-08 15:55:51.590000+01:00
b4e418f2651ee453844081995343faf7,Load Trucks,complete,2022-12-08 16:13:08.390000+01:00
69bf13a491815353170ecb241a4576d9,Load Trucks,start,2022-12-08 16:13:08.390000+01:00
69bf13a491815353170ecb241a4576d9,Load Trucks,complete,2022-12-08 16:27:07.190000+01:00
fe40e92cc89b8165cf1d30a4fba2a100,Load Trucks,start,2022-12-08 16:27:07.190000+01:00
fe40e92cc89b8165cf1d30a4fba2a100,Load Trucks,complete,2022-12-08 16:43:01.190000+01:00
e8fb0b112a61d16e2c21bc930b789a30,Load Trucks,start,2022-12-08 16:43:01.190000+01:00
e8fb0b112a61d16e2c21bc930b789a30,Load Trucks,complete,2022-12-08 17:17:41.990000+01:00
320bf8c72d0caa84e01a914cb1f83d51,Load Trucks,start,2022-12-08 17:17:41.990000+01:00
320bf8c72d0caa84e01a914cb1f83d51,Load Trucks,complete,2022-12-08 17:29:05.990000+01:00
8f8823244b7c388e6e100e844df80099,Load Trucks,start,2022-12-08 17:29:05.990000+01:00
8f8823244b7c388e6e100e844df80099,Load Trucks,complete,2022-12-08 17:56:49.190000+01:00
045cf1bf9acaebcb8b51f4cbc8ab6b13,Load Trucks,start,2022-12-08 17:56:49.190000+01:00
bdc6f69f27ccf7915285b0f5de0f7684,Picking,complete,2022-12-08 17:57:19.200000+01:00
045cf1bf9acaebcb8b51f4cbc8ab6b13,Load Trucks,complete,2022-12-08 18:07:37.190000+01:00
6aea9a3019be8103ff44fb56418fe1e4,Start Spoiled Fruit Data Collection,start,2022-12-08 18:07:37.190000+01:00
6aea9a3019be8103ff44fb56418fe1e4,Start Spoiled Fruit Data Collection,complete,2022-12-08 18:32:41.990000+01:00
5652e5e2eff71c1def4712d3943982e1,Collect Spoiled Fruit Data,start,2022-12-08 18:32:41.990000+01:00
5652e5e2eff71c1def4712d3943982e1,Collect Spoiled Fruit Data,complete,2022-12-08 18:57:17.990000+01:00
3e089f2349be2258a0de09c88ae0db17,Send Recorded Kilos and Hours,start,2022-12-08 18:57:17.990000+01:00
3e089f2349be2258a0de09c88ae0db17,Send Recorded Kilos and Hours,complete,2022-12-08 18:58:29.990000+01:00
