cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
d699cfa4e0cff2e5f070cba986d6eccd,Check for Codling Moth,start,2022-11-03 07:44:25.070000+01:00
d699cfa4e0cff2e5f070cba986d6eccd,Check for Codling Moth,complete,2022-11-03 08:10:23.870000+01:00
8da21adceceb10ec4f971deb85d15c33,Warn of Break (1pm),start,2022-11-03 08:10:23.870000+01:00
c2e0ef1ba28910cc8b3e623edd302ecb,Start Picking,start,2022-11-03 08:10:23.870000+01:00
716f3cc75580121939ed9c1dd7bee0ec,Trucks Arrive (3pm),start,2022-11-03 08:10:23.870000+01:00
c2e0ef1ba28910cc8b3e623edd302ecb,Start Picking,complete,2022-11-04 08:00:59.990000+01:00
c8bc4f324715755b83db2382f173daca,Picking ,start,2022-11-04 08:00:59.990000+01:00
c8bc4f324715755b83db2382f173daca,Picking ,complete,2022-11-04 12:35:55.190000+01:00
101432af678cf265a5c6b384f723a02f,Break,start,2022-11-04 12:35:55.190000+01:00
101432af678cf265a5c6b384f723a02f,Break,complete,2022-11-04 13:03:45.590000+01:00
18a963ecf6ff7112a6a876c92531aca3,Picking,start,2022-11-04 13:03:45.590000+01:00
8da21adceceb10ec4f971deb85d15c33,Warn of Break (1pm),complete,2022-11-03 12:59:59.990000+01:00
716f3cc75580121939ed9c1dd7bee0ec,Trucks Arrive (3pm),complete,2022-11-03 15:01:59.990000+01:00
bc26adc7e271be954305abc2c61f937c,Load Trucks,start,2022-11-03 15:01:59.990000+01:00
bc26adc7e271be954305abc2c61f937c,Load Trucks,complete,2022-11-03 15:16:13.190000+01:00
08b7623f0f5b62b50be9e6c860241196,Load Trucks,start,2022-11-03 15:16:13.190000+01:00
08b7623f0f5b62b50be9e6c860241196,Load Trucks,complete,2022-11-03 15:33:44.390000+01:00
4ad40f319a4b5e86cf220456785f9672,Load Trucks,start,2022-11-03 15:33:44.390000+01:00
4ad40f319a4b5e86cf220456785f9672,Load Trucks,complete,2022-11-03 15:50:14.390000+01:00
2cef7b393e3786d31d5b735920eea658,Load Trucks,start,2022-11-03 15:50:14.390000+01:00
2cef7b393e3786d31d5b735920eea658,Load Trucks,complete,2022-11-03 16:05:21.590000+01:00
09536946c23a80d4f19605cfea01eb76,Load Trucks,start,2022-11-03 16:05:21.590000+01:00
09536946c23a80d4f19605cfea01eb76,Load Trucks,complete,2022-11-03 16:22:59.990000+01:00
ecea7a91a212ee18b6dc8ced3e378b16,Load Trucks,start,2022-11-03 16:22:59.990000+01:00
ecea7a91a212ee18b6dc8ced3e378b16,Load Trucks,complete,2022-11-03 16:38:21.590000+01:00
c96e2c7074b34a87a938ee4793ffbda0,Load Trucks,start,2022-11-03 16:38:21.590000+01:00
c96e2c7074b34a87a938ee4793ffbda0,Load Trucks,complete,2022-11-03 16:54:19.190000+01:00
6c3258769419fa33ce9571e78e416960,Load Trucks,start,2022-11-03 16:54:19.190000+01:00
18a963ecf6ff7112a6a876c92531aca3,Picking,complete,2022-11-04 17:04:39.590000+01:00
6c3258769419fa33ce9571e78e416960,Load Trucks,complete,2022-11-03 17:12:22.790000+01:00
3a69fbce9e9c3bcbae63e8d58fe0ad25,Start Spoiled Fruit Data Collection,start,2022-11-04 17:04:39.590000+01:00
3a69fbce9e9c3bcbae63e8d58fe0ad25,Start Spoiled Fruit Data Collection,complete,2022-11-04 17:28:39.590000+01:00
5e343e03f5fcc34f972206a35a544df9,Collect Spoiled Fruit Data,start,2022-11-04 17:28:39.590000+01:00
5e343e03f5fcc34f972206a35a544df9,Collect Spoiled Fruit Data,complete,2022-11-04 17:45:52.790000+01:00
d4d4441ec8c32ed2af9f3ba7f14ba7ec,Send Recorded Kilos and Hours,start,2022-11-04 17:45:52.790000+01:00
d4d4441ec8c32ed2af9f3ba7f14ba7ec,Send Recorded Kilos and Hours,complete,2022-11-04 17:47:40.790000+01:00
