cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
830efe5e6c2895821f4a7e5baec31d58,Check for Codling Moth,start,2022-11-20 07:39:16.960000+01:00
830efe5e6c2895821f4a7e5baec31d58,Check for Codling Moth,complete,2022-11-20 07:49:10.960000+01:00
ae7633fdc98d338bf9c866ece9ada02f,Warn of Break (1pm),start,2022-11-20 07:49:10.960000+01:00
5fdce647b26987e434f245c2c41fe768,Trucks Arrive (3pm),start,2022-11-20 07:49:10.960000+01:00
b78f0b02e7684dface430a8dd1c554f0,Start Picking,start,2022-11-20 07:49:10.960000+01:00
b78f0b02e7684dface430a8dd1c554f0,Start Picking,complete,2022-11-20 08:10:00+01:00
8ac16f828588e7791e897ad436b49bb9,Picking ,start,2022-11-20 08:10:00+01:00
8ac16f828588e7791e897ad436b49bb9,Picking ,complete,2022-11-20 13:06:56.390000+01:00
a8944ebfce9893a8590f160dea83d0a3,Break,start,2022-11-20 13:06:56.390000+01:00
a8944ebfce9893a8590f160dea83d0a3,Break,complete,2022-11-20 13:35:55.190000+01:00
11b8c7f436903947071c54b8b24f09f1,Picking,start,2022-11-20 13:35:55.190000+01:00
ae7633fdc98d338bf9c866ece9ada02f,Warn of Break (1pm),complete,2022-11-20 13:00:00+01:00
5fdce647b26987e434f245c2c41fe768,Trucks Arrive (3pm),complete,2022-11-20 15:03:00+01:00
b2bf2c2ec3b220b2612bcebc20e5acad,Load Trucks,start,2022-11-20 15:03:00+01:00
b2bf2c2ec3b220b2612bcebc20e5acad,Load Trucks,complete,2022-11-20 15:19:04.800000+01:00
0dea0d9681d396f3517b9f2912d07b6e,Load Trucks,start,2022-11-20 15:19:04.800000+01:00
0dea0d9681d396f3517b9f2912d07b6e,Load Trucks,complete,2022-11-20 15:32:56.400000+01:00
c0092d77581beb98f97cbddb182c461b,Load Trucks,start,2022-11-20 15:32:56.400000+01:00
c0092d77581beb98f97cbddb182c461b,Load Trucks,complete,2022-11-20 15:48:14.400000+01:00
583242ea885cdba56e6be84cd78005cf,Load Trucks,start,2022-11-20 15:48:14.400000+01:00
583242ea885cdba56e6be84cd78005cf,Load Trucks,complete,2022-11-20 16:07:51.600000+01:00
999f7a4be1a45cd6d1279d3bcdb19b2a,Load Trucks,start,2022-11-20 16:07:51.600000+01:00
999f7a4be1a45cd6d1279d3bcdb19b2a,Load Trucks,complete,2022-11-20 16:29:16.800000+01:00
1cd12b178f8e3e36929c4b075c9215d4,Load Trucks,start,2022-11-20 16:29:16.800000+01:00
1cd12b178f8e3e36929c4b075c9215d4,Load Trucks,complete,2022-11-20 16:42:28.800000+01:00
8be02f0f42fba4b81565ab31e7b768e8,Load Trucks,start,2022-11-20 16:42:28.800000+01:00
8be02f0f42fba4b81565ab31e7b768e8,Load Trucks,complete,2022-11-20 16:54:14.400000+01:00
178c0963a00d4a55275c6a1906b8fdab,Load Trucks,start,2022-11-20 16:54:14.400000+01:00
178c0963a00d4a55275c6a1906b8fdab,Load Trucks,complete,2022-11-20 17:10:01.200000+01:00
6798adb65b27b7f75bd246408c0f193e,Load Trucks,start,2022-11-20 17:10:01.200000+01:00
11b8c7f436903947071c54b8b24f09f1,Picking,complete,2022-11-20 17:30:05.990000+01:00
6798adb65b27b7f75bd246408c0f193e,Load Trucks,complete,2022-11-20 17:28:01.200000+01:00
7d89960e30a0efaa13362d4fe4322fda,Start Spoiled Fruit Data Collection,start,2022-11-20 17:30:05.990000+01:00
7d89960e30a0efaa13362d4fe4322fda,Start Spoiled Fruit Data Collection,complete,2022-11-20 17:47:55.190000+01:00
63d61acf078ef3d408e3aa3a353d9988,Collect Spoiled Fruit Data,start,2022-11-20 17:47:55.190000+01:00
63d61acf078ef3d408e3aa3a353d9988,Collect Spoiled Fruit Data,complete,2022-11-20 18:14:55.190000+01:00
c5d769beee5d46b23cd88011499d0b02,Send Recorded Kilos and Hours,start,2022-11-20 18:14:55.190000+01:00
c5d769beee5d46b23cd88011499d0b02,Send Recorded Kilos and Hours,complete,2022-11-20 18:18:23.990000+01:00
