cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
60f8a35b0fa4ef063fb1ee86124cd1d9,Check for Codling Moth,start,2022-11-24 07:43:39.330000+01:00
60f8a35b0fa4ef063fb1ee86124cd1d9,Check for Codling Moth,complete,2022-11-24 08:06:48.930000+01:00
6ed7e275130f24fa8eb2a51c5d1c2588,Start Picking,start,2022-11-24 08:06:48.930000+01:00
4da6456e65917255f98301e5711ee45a,Trucks Arrive (3pm),start,2022-11-24 08:06:48.930000+01:00
d11ae1200e84645f78b2349d17b86581,Warn of Break (1pm),start,2022-11-24 08:06:48.930000+01:00
6ed7e275130f24fa8eb2a51c5d1c2588,Start Picking,complete,2022-11-25 08:00:59.990000+01:00
7cf33bc4bec083c9291b3877b439753e,Picking ,start,2022-11-25 08:00:59.990000+01:00
7cf33bc4bec083c9291b3877b439753e,Picking ,complete,2022-11-25 12:53:51.590000+01:00
25d2307b43d58c5eb584deb7a19610e7,Break,start,2022-11-25 12:53:51.590000+01:00
25d2307b43d58c5eb584deb7a19610e7,Break,complete,2022-11-25 13:21:41.990000+01:00
6ef153cf4f5d148d562aaadc80bbe739,Picking,start,2022-11-25 13:21:41.990000+01:00
d11ae1200e84645f78b2349d17b86581,Warn of Break (1pm),complete,2022-11-24 13:00:00+01:00
4da6456e65917255f98301e5711ee45a,Trucks Arrive (3pm),complete,2022-11-24 15:13:00+01:00
68b84366e0e293721d2e6b2ea89299bd,Load Trucks,start,2022-11-24 15:13:00+01:00
68b84366e0e293721d2e6b2ea89299bd,Load Trucks,complete,2022-11-24 15:28:54+01:00
235dc60491653dcc3cfdebf13b1ee75b,Load Trucks,start,2022-11-24 15:28:54+01:00
235dc60491653dcc3cfdebf13b1ee75b,Load Trucks,complete,2022-11-24 15:44:40.800000+01:00
03e48c9063ef5979334d4639be756f78,Load Trucks,start,2022-11-24 15:44:40.800000+01:00
03e48c9063ef5979334d4639be756f78,Load Trucks,complete,2022-11-24 16:01:25.200000+01:00
602fed3368e8240acc31f96681e1aa85,Load Trucks,start,2022-11-24 16:01:25.200000+01:00
602fed3368e8240acc31f96681e1aa85,Load Trucks,complete,2022-11-24 16:17:37.200000+01:00
19dafe846a96603b3cc4cfe0f1461aec,Load Trucks,start,2022-11-24 16:17:37.200000+01:00
19dafe846a96603b3cc4cfe0f1461aec,Load Trucks,complete,2022-11-24 16:33:45.600000+01:00
f6d7ba29dbf59b5b38cc6b09dc72abe5,Load Trucks,start,2022-11-24 16:33:45.600000+01:00
f6d7ba29dbf59b5b38cc6b09dc72abe5,Load Trucks,complete,2022-11-24 16:49:32.400000+01:00
f2caea5177527add8297ff48d1ff07ac,Load Trucks,start,2022-11-24 16:49:32.400000+01:00
f2caea5177527add8297ff48d1ff07ac,Load Trucks,complete,2022-11-24 17:05:19.200000+01:00
20b7b0be0799ba3bbabf84057c6d03ae,Load Trucks,start,2022-11-24 17:05:19.200000+01:00
20b7b0be0799ba3bbabf84057c6d03ae,Load Trucks,complete,2022-11-24 17:22:03.600000+01:00
3bada31b077f0a57f96e5737d3c55dd5,Load Trucks,start,2022-11-24 17:22:03.600000+01:00
3bada31b077f0a57f96e5737d3c55dd5,Load Trucks,complete,2022-11-24 17:38:33.600000+01:00
11d8319564aae8125dff2565c7e31c9e,Load Trucks,start,2022-11-24 17:38:33.600000+01:00
6ef153cf4f5d148d562aaadc80bbe739,Picking,complete,2022-11-25 17:21:31.190000+01:00
11d8319564aae8125dff2565c7e31c9e,Load Trucks,complete,2022-11-24 17:54:16.800000+01:00
5ab3cef53e7f0ff76090d3e993a25a80,Start Spoiled Fruit Data Collection,start,2022-11-25 17:21:31.190000+01:00
5ab3cef53e7f0ff76090d3e993a25a80,Start Spoiled Fruit Data Collection,complete,2022-11-25 17:34:28.790000+01:00
c8488192ed15e69544faa63e852c209c,Collect Spoiled Fruit Data,start,2022-11-25 17:34:28.790000+01:00
c8488192ed15e69544faa63e852c209c,Collect Spoiled Fruit Data,complete,2022-11-25 18:01:50.390000+01:00
50e3a33eb8f260459f3db0c408488d29,Send Recorded Kilos and Hours,start,2022-11-25 18:01:50.390000+01:00
50e3a33eb8f260459f3db0c408488d29,Send Recorded Kilos and Hours,complete,2022-11-25 18:04:28.790000+01:00
