cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
34aeee53c540bb8cbd0828f8cd8017f9,Check for Codling Moth,start,2022-12-20 07:41:26.820000+01:00
34aeee53c540bb8cbd0828f8cd8017f9,Check for Codling Moth,complete,2022-12-20 07:50:59.220000+01:00
f0b5d146027128908af42f001117acd8,Trucks Arrive (3pm),start,2022-12-20 07:50:59.220000+01:00
75f5fbc024587c9ac782ed0991e3bc14,Start Picking,start,2022-12-20 07:50:59.220000+01:00
e352f4a229a35f203c8b28ba3bc08c93,Warn of Break (1pm),start,2022-12-20 07:50:59.220000+01:00
75f5fbc024587c9ac782ed0991e3bc14,Start Picking,complete,2022-12-20 08:07:00+01:00
36be58dc3f0c9da87b95e5ea863efdfa,Picking ,start,2022-12-20 08:07:00+01:00
36be58dc3f0c9da87b95e5ea863efdfa,Picking ,complete,2022-12-20 12:43:43.200000+01:00
0908c702bbc5283674c7df7988f8aea0,Break,start,2022-12-20 12:43:43.200000+01:00
0908c702bbc5283674c7df7988f8aea0,Break,complete,2022-12-20 13:12:56.400000+01:00
ff4ea8e71fc58794f924f47bc1756c88,Picking,start,2022-12-20 13:12:56.400000+01:00
e352f4a229a35f203c8b28ba3bc08c93,Warn of Break (1pm),complete,2022-12-20 13:00:00+01:00
f0b5d146027128908af42f001117acd8,Trucks Arrive (3pm),complete,2022-12-20 15:06:00+01:00
a4552483a93bcda826ea5a4a297f9e5e,Load Trucks,start,2022-12-20 15:06:00+01:00
a4552483a93bcda826ea5a4a297f9e5e,Load Trucks,complete,2022-12-20 15:24:36+01:00
59cd312180c7031ff62ffdcc05778701,Load Trucks,start,2022-12-20 15:24:36+01:00
59cd312180c7031ff62ffdcc05778701,Load Trucks,complete,2022-12-20 15:41:56.400000+01:00
2742767393831b696a71de32f086108f,Load Trucks,start,2022-12-20 15:41:56.400000+01:00
2742767393831b696a71de32f086108f,Load Trucks,complete,2022-12-20 15:57:43.200000+01:00
d98a28335e3a138ba438cfff45ab1a61,Load Trucks,start,2022-12-20 15:57:43.200000+01:00
d98a28335e3a138ba438cfff45ab1a61,Load Trucks,complete,2022-12-20 16:19:19.200000+01:00
bdd703b74e6ec4d5de9d439e14f597b8,Load Trucks,start,2022-12-20 16:19:19.200000+01:00
bdd703b74e6ec4d5de9d439e14f597b8,Load Trucks,complete,2022-12-20 16:48:10.800000+01:00
9a07af780479e8c5bb1605d79a855a6b,Load Trucks,start,2022-12-20 16:48:10.800000+01:00
9a07af780479e8c5bb1605d79a855a6b,Load Trucks,complete,2022-12-20 17:01:30+01:00
4c966bf0ff5aa8a53726320027935854,Load Trucks,start,2022-12-20 17:01:30+01:00
ff4ea8e71fc58794f924f47bc1756c88,Picking,complete,2022-12-20 17:34:50.400000+01:00
4c966bf0ff5aa8a53726320027935854,Load Trucks,complete,2022-12-20 17:46:26.400000+01:00
c80ead606caf960390c1d95bb0b13e84,Start Spoiled Fruit Data Collection,start,2022-12-20 17:46:26.400000+01:00
c80ead606caf960390c1d95bb0b13e84,Start Spoiled Fruit Data Collection,complete,2022-12-20 17:51:25.200000+01:00
bb04950b02f3cd07befd698e99b8b886,Collect Spoiled Fruit Data,start,2022-12-20 17:51:25.200000+01:00
bb04950b02f3cd07befd698e99b8b886,Collect Spoiled Fruit Data,complete,2022-12-20 18:22:08.400000+01:00
de60904eb68ad4340ccaf469eed4fe0a,Send Recorded Kilos and Hours,start,2022-12-20 18:22:08.400000+01:00
de60904eb68ad4340ccaf469eed4fe0a,Send Recorded Kilos and Hours,complete,2022-12-20 18:29:16.800000+01:00
