cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
8eb2119bcd7af5d4ae2d0ca4c0f475d0,Check for Codling Moth,start,2022-11-30 07:40:29.110000+01:00
8eb2119bcd7af5d4ae2d0ca4c0f475d0,Check for Codling Moth,complete,2022-11-30 08:12:09.910000+01:00
afe07c569c969285c83d9e237f694c11,Start Picking,start,2022-11-30 08:12:09.910000+01:00
dbad3694b74193f2e6a80967930ea987,Warn of Break (1pm),start,2022-11-30 08:12:09.910000+01:00
32058871df88d88517c337d1ddfcc2a0,Trucks Arrive (3pm),start,2022-11-30 08:12:09.910000+01:00
afe07c569c969285c83d9e237f694c11,Start Picking,complete,2022-12-01 08:04:00+01:00
446f92031fae3c7e4c24e0aad8394e4e,Picking ,start,2022-12-01 08:04:00+01:00
446f92031fae3c7e4c24e0aad8394e4e,Picking ,complete,2022-12-01 12:57:45.600000+01:00
d8c3e1ffd217c2f001abd64c10f96eee,Break,start,2022-12-01 12:57:45.600000+01:00
d8c3e1ffd217c2f001abd64c10f96eee,Break,complete,2022-12-01 13:22:07.200000+01:00
e950531cfc95e52c16221bc99d60934d,Picking,start,2022-12-01 13:22:07.200000+01:00
dbad3694b74193f2e6a80967930ea987,Warn of Break (1pm),complete,2022-11-30 12:59:59.990000+01:00
32058871df88d88517c337d1ddfcc2a0,Trucks Arrive (3pm),complete,2022-11-30 15:10:59.990000+01:00
139d2fd5733c910556de20afaeb5f2a7,Load Trucks,start,2022-11-30 15:10:59.990000+01:00
139d2fd5733c910556de20afaeb5f2a7,Load Trucks,complete,2022-11-30 15:27:40.790000+01:00
45f27767d3e8a03163e16664c82ed755,Load Trucks,start,2022-11-30 15:27:40.790000+01:00
45f27767d3e8a03163e16664c82ed755,Load Trucks,complete,2022-11-30 15:43:09.590000+01:00
eab4855b33c20b866a738514639f21c7,Load Trucks,start,2022-11-30 15:43:09.590000+01:00
eab4855b33c20b866a738514639f21c7,Load Trucks,complete,2022-11-30 15:58:31.190000+01:00
285401984d24c04d6a3782271b70859c,Load Trucks,start,2022-11-30 15:58:31.190000+01:00
285401984d24c04d6a3782271b70859c,Load Trucks,complete,2022-11-30 16:15:29.990000+01:00
fcfa3429683e75dee7e4185201164856,Load Trucks,start,2022-11-30 16:15:29.990000+01:00
fcfa3429683e75dee7e4185201164856,Load Trucks,complete,2022-11-30 16:33:19.190000+01:00
97430092b3298663f7daeb24c1de0d25,Load Trucks,start,2022-11-30 16:33:19.190000+01:00
97430092b3298663f7daeb24c1de0d25,Load Trucks,complete,2022-11-30 17:01:45.590000+01:00
b6d6eda3fd6508872a7b799d15fd4be2,Load Trucks,start,2022-11-30 17:01:45.590000+01:00
b6d6eda3fd6508872a7b799d15fd4be2,Load Trucks,complete,2022-11-30 17:29:39.590000+01:00
cd6f426eb2eb2cbf0498bd2ef580402d,Load Trucks,start,2022-11-30 17:29:39.590000+01:00
cd6f426eb2eb2cbf0498bd2ef580402d,Load Trucks,complete,2022-11-30 17:42:26.390000+01:00
3d969dae92613e544774e54d71859943,Load Trucks,start,2022-11-30 17:42:26.390000+01:00
3d969dae92613e544774e54d71859943,Load Trucks,complete,2022-11-30 18:06:37.190000+01:00
97bfda241a5df6b81def3a529455a344,Load Trucks,start,2022-11-30 18:06:37.190000+01:00
e950531cfc95e52c16221bc99d60934d,Picking,complete,2022-12-01 18:21:38.400000+01:00
97bfda241a5df6b81def3a529455a344,Load Trucks,complete,2022-11-30 18:31:38.390000+01:00
13770ca5a5b2835470e4fa7905eb26da,Start Spoiled Fruit Data Collection,start,2022-12-01 18:21:38.400000+01:00
13770ca5a5b2835470e4fa7905eb26da,Start Spoiled Fruit Data Collection,complete,2022-12-01 18:44:58.800000+01:00
09542b9260792077f86271243ec9cb5e,Collect Spoiled Fruit Data,start,2022-12-01 18:44:58.800000+01:00
09542b9260792077f86271243ec9cb5e,Collect Spoiled Fruit Data,complete,2022-12-01 19:07:32.400000+01:00
cd12909bf15c17a225ceb1c93b1ede94,Send Recorded Kilos and Hours,start,2022-12-01 19:07:32.400000+01:00
cd12909bf15c17a225ceb1c93b1ede94,Send Recorded Kilos and Hours,complete,2022-12-01 19:09:27.600000+01:00
