cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
b09bcd36b39d617a62100558a36cf2d8,Check for Codling Moth,start,2022-12-10 07:42:56.830000+01:00
b09bcd36b39d617a62100558a36cf2d8,Check for Codling Moth,complete,2022-12-10 08:11:19.630000+01:00
f04d52e625be38c614bc6b99efb4251c,Start Picking,start,2022-12-10 08:11:19.630000+01:00
dc54b40f39aa4b9ce6409dcca73214b8,Trucks Arrive (3pm),start,2022-12-10 08:11:19.630000+01:00
5ae3e123507e629530dc8ec69350ec20,Warn of Break (1pm),start,2022-12-10 08:11:19.630000+01:00
f04d52e625be38c614bc6b99efb4251c,Start Picking,complete,2022-12-11 08:06:59.990000+01:00
264fa7dd6f01c04c25d838bc3df57726,Picking ,start,2022-12-11 08:06:59.990000+01:00
264fa7dd6f01c04c25d838bc3df57726,Picking ,complete,2022-12-11 12:42:05.990000+01:00
3c913253c7ea93eb753edc3645845f39,Break,start,2022-12-11 12:42:05.990000+01:00
3c913253c7ea93eb753edc3645845f39,Break,complete,2022-12-11 13:12:49.190000+01:00
ba18650b5e46bf69ff27691ed29c7b07,Picking,start,2022-12-11 13:12:49.190000+01:00
5ae3e123507e629530dc8ec69350ec20,Warn of Break (1pm),complete,2022-12-10 13:00:00+01:00
dc54b40f39aa4b9ce6409dcca73214b8,Trucks Arrive (3pm),complete,2022-12-10 15:00:00+01:00
d1e5b39a4a57312c7deaf1cd8628a78d,Load Trucks,start,2022-12-10 15:00:00+01:00
d1e5b39a4a57312c7deaf1cd8628a78d,Load Trucks,complete,2022-12-10 15:14:49.200000+01:00
35a6039e15a4d80ff0118b4f727f697b,Load Trucks,start,2022-12-10 15:14:49.200000+01:00
35a6039e15a4d80ff0118b4f727f697b,Load Trucks,complete,2022-12-10 15:28:51.600000+01:00
faed2bff243496476c24cee4bc9f0806,Load Trucks,start,2022-12-10 15:28:51.600000+01:00
faed2bff243496476c24cee4bc9f0806,Load Trucks,complete,2022-12-10 15:44:02.400000+01:00
49fcf8372636ac6e9ca2d7320cf9f479,Load Trucks,start,2022-12-10 15:44:02.400000+01:00
49fcf8372636ac6e9ca2d7320cf9f479,Load Trucks,complete,2022-12-10 16:15:39.600000+01:00
1f0c05a540db73d06c6e3e85f9bcc9f3,Load Trucks,start,2022-12-10 16:15:39.600000+01:00
1f0c05a540db73d06c6e3e85f9bcc9f3,Load Trucks,complete,2022-12-10 16:31:19.200000+01:00
075ede53bd5066ebb328f668ed238e10,Load Trucks,start,2022-12-10 16:31:19.200000+01:00
075ede53bd5066ebb328f668ed238e10,Load Trucks,complete,2022-12-10 16:57:18+01:00
f4660b53aa972d66f1eac371d43eee78,Load Trucks,start,2022-12-10 16:57:18+01:00
f4660b53aa972d66f1eac371d43eee78,Load Trucks,complete,2022-12-10 17:05:45.600000+01:00
dea3b5a39d5dd060aebbc0d284c67bb9,Load Trucks,start,2022-12-10 17:05:45.600000+01:00
ba18650b5e46bf69ff27691ed29c7b07,Picking,complete,2022-12-11 17:30:41.990000+01:00
dea3b5a39d5dd060aebbc0d284c67bb9,Load Trucks,complete,2022-12-10 17:20:27.600000+01:00
66234be76e1c6a1b6a4f1ccc2b2c48b9,Start Spoiled Fruit Data Collection,start,2022-12-11 17:30:41.990000+01:00
66234be76e1c6a1b6a4f1ccc2b2c48b9,Start Spoiled Fruit Data Collection,complete,2022-12-11 17:38:15.590000+01:00
1bcf631c88453dbc8c9cb5d10f0440ce,Collect Spoiled Fruit Data,start,2022-12-11 17:38:15.590000+01:00
1bcf631c88453dbc8c9cb5d10f0440ce,Collect Spoiled Fruit Data,complete,2022-12-11 18:16:25.190000+01:00
d6dae9a472238b1bd2109cf59acaef8c,Send Recorded Kilos and Hours,start,2022-12-11 18:16:25.190000+01:00
d6dae9a472238b1bd2109cf59acaef8c,Send Recorded Kilos and Hours,complete,2022-12-11 18:17:37.190000+01:00
