cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
f07ab50aac53ba4dbfe784c03b6fc721,Check for Codling Moth,start,2022-11-05 07:44:20.530000+01:00
f07ab50aac53ba4dbfe784c03b6fc721,Check for Codling Moth,complete,2022-11-05 08:00:50.530000+01:00
b262371f3bebbbeae7ab8ab3e9ad80a4,Start Picking,start,2022-11-05 08:00:50.530000+01:00
e1ec481b1d592e57bab181e184b3baa7,Trucks Arrive (3pm),start,2022-11-05 08:00:50.530000+01:00
a2d08916ec23c4ff769d3bef44820e99,Warn of Break (1pm),start,2022-11-05 08:00:50.530000+01:00
b262371f3bebbbeae7ab8ab3e9ad80a4,Start Picking,complete,2022-11-05 08:02:00+01:00
cad743250f5c1f29d438af673753329f,Picking ,start,2022-11-05 08:02:00+01:00
cad743250f5c1f29d438af673753329f,Picking ,complete,2022-11-05 12:49:49.200000+01:00
832f677420e055ba70ba35c8ed995718,Break,start,2022-11-05 12:49:49.200000+01:00
832f677420e055ba70ba35c8ed995718,Break,complete,2022-11-05 13:18:19.200000+01:00
61f054afee9cafaf114a6f4611c15a17,Picking,start,2022-11-05 13:18:19.200000+01:00
a2d08916ec23c4ff769d3bef44820e99,Warn of Break (1pm),complete,2022-11-05 12:59:59.990000+01:00
e1ec481b1d592e57bab181e184b3baa7,Trucks Arrive (3pm),complete,2022-11-05 15:10:59.990000+01:00
03f699cb6bb3adf28ce0926a7cf15d44,Load Trucks,start,2022-11-05 15:10:59.990000+01:00
03f699cb6bb3adf28ce0926a7cf15d44,Load Trucks,complete,2022-11-05 15:27:15.590000+01:00
431e1ffa1908c3c389dadf92b9e8fd6f,Load Trucks,start,2022-11-05 15:27:15.590000+01:00
431e1ffa1908c3c389dadf92b9e8fd6f,Load Trucks,complete,2022-11-05 15:42:22.790000+01:00
3f4dbc575f4c4b7c5acf46ab5e181c14,Load Trucks,start,2022-11-05 15:42:22.790000+01:00
3f4dbc575f4c4b7c5acf46ab5e181c14,Load Trucks,complete,2022-11-05 15:59:17.990000+01:00
13d527e61bef61cec78500653d0daaa8,Load Trucks,start,2022-11-05 15:59:17.990000+01:00
13d527e61bef61cec78500653d0daaa8,Load Trucks,complete,2022-11-05 16:14:53.990000+01:00
1b08bb5be90b66d73b0f50f760af943a,Load Trucks,start,2022-11-05 16:14:53.990000+01:00
1b08bb5be90b66d73b0f50f760af943a,Load Trucks,complete,2022-11-05 16:30:26.390000+01:00
b0e2c015483ef70dfc5a7f6b9a7b589e,Load Trucks,start,2022-11-05 16:30:26.390000+01:00
b0e2c015483ef70dfc5a7f6b9a7b589e,Load Trucks,complete,2022-11-05 16:46:09.590000+01:00
2b74265164bc3da457819eff011f8f0b,Load Trucks,start,2022-11-05 16:46:09.590000+01:00
2b74265164bc3da457819eff011f8f0b,Load Trucks,complete,2022-11-05 17:01:31.190000+01:00
f19d14800469e489bcb72025015aad1e,Load Trucks,start,2022-11-05 17:01:31.190000+01:00
f19d14800469e489bcb72025015aad1e,Load Trucks,complete,2022-11-05 17:17:39.590000+01:00
beadf7d7f5ca4db5c7a75f67b9a75b66,Load Trucks,start,2022-11-05 17:17:39.590000+01:00
beadf7d7f5ca4db5c7a75f67b9a75b66,Load Trucks,complete,2022-11-05 17:34:27.590000+01:00
21fd2bb27085ec4559fdc05e8971ffdf,Load Trucks,start,2022-11-05 17:34:27.590000+01:00
61f054afee9cafaf114a6f4611c15a17,Picking,complete,2022-11-05 17:34:31.190000+01:00
21fd2bb27085ec4559fdc05e8971ffdf,Load Trucks,complete,2022-11-05 17:50:28.790000+01:00
7ce5a11381f9be3555d297bd1cb128fd,Start Spoiled Fruit Data Collection,start,2022-11-05 17:50:28.790000+01:00
7ce5a11381f9be3555d297bd1cb128fd,Start Spoiled Fruit Data Collection,complete,2022-11-05 17:51:55.190000+01:00
3dcb9b61cdf284037f0bd9dae4afda20,Collect Spoiled Fruit Data,start,2022-11-05 17:51:55.190000+01:00
3dcb9b61cdf284037f0bd9dae4afda20,Collect Spoiled Fruit Data,complete,2022-11-05 18:13:49.190000+01:00
b7d5ceb6a312a33fa36afab9a5855b11,Send Recorded Kilos and Hours,start,2022-11-05 18:13:49.190000+01:00
b7d5ceb6a312a33fa36afab9a5855b11,Send Recorded Kilos and Hours,complete,2022-11-05 18:15:40.790000+01:00
