cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
d7be5a4eb76cf37ed270cf72d66619ff,Check for Codling Moth,start,2022-11-27 07:44:35.840000+01:00
d7be5a4eb76cf37ed270cf72d66619ff,Check for Codling Moth,complete,2022-11-27 08:05:35.840000+01:00
de5181212f171ed19d826092816b9550,Trucks Arrive (3pm),start,2022-11-27 08:05:35.840000+01:00
a2a4048c55bc03dbdc3d58c5d3c5fa3a,Start Picking,start,2022-11-27 08:05:35.840000+01:00
e373b4385dc2be4db009c90474878e54,Warn of Break (1pm),start,2022-11-27 08:05:35.840000+01:00
a2a4048c55bc03dbdc3d58c5d3c5fa3a,Start Picking,complete,2022-11-27 08:10:00+01:00
13a121404a4a8580e926f2c037bdd6b8,Picking ,start,2022-11-27 08:10:00+01:00
13a121404a4a8580e926f2c037bdd6b8,Picking ,complete,2022-11-27 12:47:08.390000+01:00
975fd466874eb33c30bee8ddf1c0cd45,Break,start,2022-11-27 12:47:08.390000+01:00
975fd466874eb33c30bee8ddf1c0cd45,Break,complete,2022-11-27 13:20:51.590000+01:00
4d27ae65f40263735c08351d2d9d7cf8,Picking,start,2022-11-27 13:20:51.590000+01:00
e373b4385dc2be4db009c90474878e54,Warn of Break (1pm),complete,2022-11-27 12:59:59.990000+01:00
de5181212f171ed19d826092816b9550,Trucks Arrive (3pm),complete,2022-11-27 15:10:59.990000+01:00
2024560affe6e492b6054fa59a1bd6b2,Load Trucks,start,2022-11-27 15:10:59.990000+01:00
2024560affe6e492b6054fa59a1bd6b2,Load Trucks,complete,2022-11-27 15:27:33.590000+01:00
4830f2be1bff657854e6e5de8f3d2c5e,Load Trucks,start,2022-11-27 15:27:33.590000+01:00
4830f2be1bff657854e6e5de8f3d2c5e,Load Trucks,complete,2022-11-27 15:43:49.190000+01:00
8dcec6a600cfa5e6b107e48b26293319,Load Trucks,start,2022-11-27 15:43:49.190000+01:00
8dcec6a600cfa5e6b107e48b26293319,Load Trucks,complete,2022-11-27 15:59:07.190000+01:00
b59b2bc91c019064fdbd90e2747b76a7,Load Trucks,start,2022-11-27 15:59:07.190000+01:00
b59b2bc91c019064fdbd90e2747b76a7,Load Trucks,complete,2022-11-27 16:15:33.590000+01:00
66311b68c8b179653bfd3bed8a7f2e68,Load Trucks,start,2022-11-27 16:15:33.590000+01:00
66311b68c8b179653bfd3bed8a7f2e68,Load Trucks,complete,2022-11-27 16:34:31.190000+01:00
297f1bb982a99cd002b2e3c06cf38ca2,Load Trucks,start,2022-11-27 16:34:31.190000+01:00
297f1bb982a99cd002b2e3c06cf38ca2,Load Trucks,complete,2022-11-27 16:52:31.190000+01:00
b837f2bdcaf662fbe30d4113a7d4fce9,Load Trucks,start,2022-11-27 16:52:31.190000+01:00
b837f2bdcaf662fbe30d4113a7d4fce9,Load Trucks,complete,2022-11-27 17:24:37.190000+01:00
a6f02e12c92d98975f07d50bac50b45b,Load Trucks,start,2022-11-27 17:24:37.190000+01:00
a6f02e12c92d98975f07d50bac50b45b,Load Trucks,complete,2022-11-27 17:42:29.990000+01:00
0cabdf239bda543443d095fb55787ab4,Load Trucks,start,2022-11-27 17:42:29.990000+01:00
4d27ae65f40263735c08351d2d9d7cf8,Picking,complete,2022-11-27 17:55:28.790000+01:00
0cabdf239bda543443d095fb55787ab4,Load Trucks,complete,2022-11-27 18:13:02.390000+01:00
99733a18811d5b4070de3448c002edef,Start Spoiled Fruit Data Collection,start,2022-11-27 18:13:02.390000+01:00
99733a18811d5b4070de3448c002edef,Start Spoiled Fruit Data Collection,complete,2022-11-27 18:57:22.790000+01:00
ae43630e52904c76c4110a45b2a8a91f,Collect Spoiled Fruit Data,start,2022-11-27 18:57:22.790000+01:00
ae43630e52904c76c4110a45b2a8a91f,Collect Spoiled Fruit Data,complete,2022-11-27 19:01:38.390000+01:00
1fdb2c62c09099e657873d0f5d1e7dcc,Send Recorded Kilos and Hours,start,2022-11-27 19:01:38.390000+01:00
1fdb2c62c09099e657873d0f5d1e7dcc,Send Recorded Kilos and Hours,complete,2022-11-27 19:07:20.390000+01:00
