cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
c89fabf887c161b3c5e2c2e4739f9234,Check for Codling Moth,start,2022-11-18 07:40:30.620000+01:00
c89fabf887c161b3c5e2c2e4739f9234,Check for Codling Moth,complete,2022-11-18 07:51:18.620000+01:00
f108dbfb8a76cc879fead4c81d847763,Warn of Break (1pm),start,2022-11-18 07:51:18.620000+01:00
3dd8bea19b902f7c582b1481db3d31b1,Start Picking,start,2022-11-18 07:51:18.620000+01:00
d43d6cc7186fe55a8b590e5974857f06,Trucks Arrive (3pm),start,2022-11-18 07:51:18.620000+01:00
3dd8bea19b902f7c582b1481db3d31b1,Start Picking,complete,2022-11-18 08:14:00+01:00
098803cc99d8d95553b6be91b9e19990,Picking ,start,2022-11-18 08:14:00+01:00
098803cc99d8d95553b6be91b9e19990,Picking ,complete,2022-11-18 13:18:55.200000+01:00
1c517e31f34092b4d0b22ec131163b43,Break,start,2022-11-18 13:18:55.200000+01:00
1c517e31f34092b4d0b22ec131163b43,Break,complete,2022-11-18 13:46:13.200000+01:00
f2de0abb582d7e84c9c171406236ffd6,Picking,start,2022-11-18 13:46:13.200000+01:00
f108dbfb8a76cc879fead4c81d847763,Warn of Break (1pm),complete,2022-11-18 12:59:59.990000+01:00
d43d6cc7186fe55a8b590e5974857f06,Trucks Arrive (3pm),complete,2022-11-18 15:09:59.990000+01:00
c8f89d711440016fa2f8201c89fe3b98,Load Trucks,start,2022-11-18 15:09:59.990000+01:00
c8f89d711440016fa2f8201c89fe3b98,Load Trucks,complete,2022-11-18 15:30:20.390000+01:00
b9af69f50392eb7b6dcc31c02a8a73b7,Load Trucks,start,2022-11-18 15:30:20.390000+01:00
b9af69f50392eb7b6dcc31c02a8a73b7,Load Trucks,complete,2022-11-18 15:43:10.790000+01:00
f08b726f2c7aa33752c2e10152de446e,Load Trucks,start,2022-11-18 15:43:10.790000+01:00
f08b726f2c7aa33752c2e10152de446e,Load Trucks,complete,2022-11-18 15:57:45.590000+01:00
c6bedc26cbca756c055e5b47e53e53d8,Load Trucks,start,2022-11-18 15:57:45.590000+01:00
c6bedc26cbca756c055e5b47e53e53d8,Load Trucks,complete,2022-11-18 16:16:43.190000+01:00
ddc034236ea4bae25e9f567aa59d2db0,Load Trucks,start,2022-11-18 16:16:43.190000+01:00
ddc034236ea4bae25e9f567aa59d2db0,Load Trucks,complete,2022-11-18 16:34:43.190000+01:00
54c2fa2f112fe33858970cbbcb0e6330,Load Trucks,start,2022-11-18 16:34:43.190000+01:00
54c2fa2f112fe33858970cbbcb0e6330,Load Trucks,complete,2022-11-18 16:49:03.590000+01:00
014c633de0f66e907b92497a817004df,Load Trucks,start,2022-11-18 16:49:03.590000+01:00
014c633de0f66e907b92497a817004df,Load Trucks,complete,2022-11-18 17:11:08.390000+01:00
5fe0663b254eba961a14ad8020d2e0d2,Load Trucks,start,2022-11-18 17:11:08.390000+01:00
5fe0663b254eba961a14ad8020d2e0d2,Load Trucks,complete,2022-11-18 17:43:50.390000+01:00
45b71f3855f02111d273832e3086ece5,Load Trucks,start,2022-11-18 17:43:50.390000+01:00
45b71f3855f02111d273832e3086ece5,Load Trucks,complete,2022-11-18 18:07:21.590000+01:00
1ebb892ebaa3210af656643d2e9adf5a,Load Trucks,start,2022-11-18 18:07:21.590000+01:00
f2de0abb582d7e84c9c171406236ffd6,Picking,complete,2022-11-18 18:17:10.800000+01:00
1ebb892ebaa3210af656643d2e9adf5a,Load Trucks,complete,2022-11-18 18:21:16.790000+01:00
c0d6b38fd6f9869ac7851e5b5c03943d,Start Spoiled Fruit Data Collection,start,2022-11-18 18:21:16.790000+01:00
c0d6b38fd6f9869ac7851e5b5c03943d,Start Spoiled Fruit Data Collection,complete,2022-11-18 18:41:58.790000+01:00
12043a9a243ad01330e5272eb255e4dc,Collect Spoiled Fruit Data,start,2022-11-18 18:41:58.790000+01:00
12043a9a243ad01330e5272eb255e4dc,Collect Spoiled Fruit Data,complete,2022-11-18 18:53:04.790000+01:00
3e950b83d5828ebc04e3d8f68fdaa61b,Send Recorded Kilos and Hours,start,2022-11-18 18:53:04.790000+01:00
3e950b83d5828ebc04e3d8f68fdaa61b,Send Recorded Kilos and Hours,complete,2022-11-18 18:57:34.790000+01:00
