cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
0c83edb19ebe68e475c66990dc03fee1,Check for Codling Moth,start,2022-12-17 07:40:01.500000+01:00
0c83edb19ebe68e475c66990dc03fee1,Check for Codling Moth,complete,2022-12-17 07:53:13.500000+01:00
fb8c935ea47b65c55ef59a354af41a86,Start Picking,start,2022-12-17 07:53:13.500000+01:00
78bbced903d81ba3017254c0067a41b7,Warn of Break (1pm),start,2022-12-17 07:53:13.500000+01:00
d9acfd2e8825bcf4673876fc0688ab55,Trucks Arrive (3pm),start,2022-12-17 07:53:13.500000+01:00
fb8c935ea47b65c55ef59a354af41a86,Start Picking,complete,2022-12-17 08:03:00+01:00
3ec093dc008d3ccdf840344571c45912,Picking ,start,2022-12-17 08:03:00+01:00
3ec093dc008d3ccdf840344571c45912,Picking ,complete,2022-12-17 12:23:27.600000+01:00
508bf352b85ede05d753d98c328b93d6,Break,start,2022-12-17 12:23:27.600000+01:00
508bf352b85ede05d753d98c328b93d6,Break,complete,2022-12-17 12:53:27.600000+01:00
9681c8d2917ef352a10b995d92b799bc,Picking,start,2022-12-17 12:53:27.600000+01:00
78bbced903d81ba3017254c0067a41b7,Warn of Break (1pm),complete,2022-12-17 12:59:59.990000+01:00
d9acfd2e8825bcf4673876fc0688ab55,Trucks Arrive (3pm),complete,2022-12-17 15:09:59.990000+01:00
128c09a3fbcde0d6e7b80f2e537fd7ca,Load Trucks,start,2022-12-17 15:09:59.990000+01:00
128c09a3fbcde0d6e7b80f2e537fd7ca,Load Trucks,complete,2022-12-17 15:23:11.990000+01:00
3444ebddd49001e898cfa2bdd39b4660,Load Trucks,start,2022-12-17 15:23:11.990000+01:00
3444ebddd49001e898cfa2bdd39b4660,Load Trucks,complete,2022-12-17 15:37:57.590000+01:00
f411d5c80d3592ae6508e52188d9d183,Load Trucks,start,2022-12-17 15:37:57.590000+01:00
f411d5c80d3592ae6508e52188d9d183,Load Trucks,complete,2022-12-17 15:54:02.390000+01:00
50e7f4acc0870e177f7b75bed4d9995d,Load Trucks,start,2022-12-17 15:54:02.390000+01:00
50e7f4acc0870e177f7b75bed4d9995d,Load Trucks,complete,2022-12-17 16:15:16.790000+01:00
e672bc524e87db6c556f9ba546622f45,Load Trucks,start,2022-12-17 16:15:16.790000+01:00
e672bc524e87db6c556f9ba546622f45,Load Trucks,complete,2022-12-17 16:35:04.790000+01:00
41fcc0cc106b665d1c9f62b48367b43f,Load Trucks,start,2022-12-17 16:35:04.790000+01:00
41fcc0cc106b665d1c9f62b48367b43f,Load Trucks,complete,2022-12-17 16:51:27.590000+01:00
40b1382ff0b21b30b2e143c9699ea8e7,Load Trucks,start,2022-12-17 16:51:27.590000+01:00
40b1382ff0b21b30b2e143c9699ea8e7,Load Trucks,complete,2022-12-17 17:07:21.590000+01:00
6eda279fde28f6e0c09a6f44ea2f3be9,Load Trucks,start,2022-12-17 17:07:21.590000+01:00
9681c8d2917ef352a10b995d92b799bc,Picking,complete,2022-12-17 16:52:37.200000+01:00
6eda279fde28f6e0c09a6f44ea2f3be9,Load Trucks,complete,2022-12-17 17:30:38.390000+01:00
2fbdac3c339b5c21cc1e75202f5168c0,Start Spoiled Fruit Data Collection,start,2022-12-17 17:30:38.390000+01:00
2fbdac3c339b5c21cc1e75202f5168c0,Start Spoiled Fruit Data Collection,complete,2022-12-17 17:39:41.990000+01:00
5920c0419d8ca0a384f7ca167f18a71c,Collect Spoiled Fruit Data,start,2022-12-17 17:39:41.990000+01:00
5920c0419d8ca0a384f7ca167f18a71c,Collect Spoiled Fruit Data,complete,2022-12-17 17:56:58.790000+01:00
af271b638a51b83fc3e2139f10b9908f,Send Recorded Kilos and Hours,start,2022-12-17 17:56:58.790000+01:00
af271b638a51b83fc3e2139f10b9908f,Send Recorded Kilos and Hours,complete,2022-12-17 18:09:23.990000+01:00
