cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
e100969c56434e5e80999b925f25b0d0,Check for Codling Moth,start,2022-11-25 07:41:05.770000+01:00
e100969c56434e5e80999b925f25b0d0,Check for Codling Moth,complete,2022-11-25 08:04:22.570000+01:00
e4d0783ddef7a61fbf79366c6220b4fa,Start Picking,start,2022-11-25 08:04:22.570000+01:00
484da95893c0d9e3a97a3dd110e7bcf8,Trucks Arrive (3pm),start,2022-11-25 08:04:22.570000+01:00
869e91e30947fe2e3f813ab69cf6ee65,Warn of Break (1pm),start,2022-11-25 08:04:22.570000+01:00
e4d0783ddef7a61fbf79366c6220b4fa,Start Picking,complete,2022-11-25 08:08:00+01:00
939bb35fc7e8d9b24c4a0075492d0f53,Picking ,start,2022-11-25 08:08:00+01:00
939bb35fc7e8d9b24c4a0075492d0f53,Picking ,complete,2022-11-25 13:20:07.200000+01:00
78af35b31122d49d16fe295f32f6de13,Break,start,2022-11-25 13:20:07.200000+01:00
78af35b31122d49d16fe295f32f6de13,Break,complete,2022-11-25 13:47:39.600000+01:00
c2875652672a0c8e8ebd054f32db1a2c,Picking,start,2022-11-25 13:47:39.600000+01:00
869e91e30947fe2e3f813ab69cf6ee65,Warn of Break (1pm),complete,2022-11-25 12:59:59.990000+01:00
484da95893c0d9e3a97a3dd110e7bcf8,Trucks Arrive (3pm),complete,2022-11-25 15:13:59.990000+01:00
43c10274d28451440e82c17c9da7ecde,Load Trucks,start,2022-11-25 15:13:59.990000+01:00
43c10274d28451440e82c17c9da7ecde,Load Trucks,complete,2022-11-25 15:31:38.390000+01:00
cf381d658732721cc472f0836cbb3a01,Load Trucks,start,2022-11-25 15:31:38.390000+01:00
cf381d658732721cc472f0836cbb3a01,Load Trucks,complete,2022-11-25 15:48:58.790000+01:00
20351d7bb73f6be4cbc584032983ebd0,Load Trucks,start,2022-11-25 15:48:58.790000+01:00
20351d7bb73f6be4cbc584032983ebd0,Load Trucks,complete,2022-11-25 16:04:02.390000+01:00
2e7930a0663eddd150d71e669bb7239e,Load Trucks,start,2022-11-25 16:04:02.390000+01:00
2e7930a0663eddd150d71e669bb7239e,Load Trucks,complete,2022-11-25 16:29:50.390000+01:00
68af4a3a12c52d7364300576ed985ba1,Load Trucks,start,2022-11-25 16:29:50.390000+01:00
68af4a3a12c52d7364300576ed985ba1,Load Trucks,complete,2022-11-25 16:46:05.990000+01:00
3b81134254f22887936674ac2d5e122d,Load Trucks,start,2022-11-25 16:46:05.990000+01:00
3b81134254f22887936674ac2d5e122d,Load Trucks,complete,2022-11-25 17:15:47.990000+01:00
a799b3d872d7777c37662247664123b6,Load Trucks,start,2022-11-25 17:15:47.990000+01:00
a799b3d872d7777c37662247664123b6,Load Trucks,complete,2022-11-25 17:25:49.190000+01:00
ee32013789a8922ef91460ed5d461cbb,Load Trucks,start,2022-11-25 17:25:49.190000+01:00
ee32013789a8922ef91460ed5d461cbb,Load Trucks,complete,2022-11-25 17:49:49.190000+01:00
7d6c57f23a3bb59d616c585006342958,Load Trucks,start,2022-11-25 17:49:49.190000+01:00
7d6c57f23a3bb59d616c585006342958,Load Trucks,complete,2022-11-25 17:54:44.390000+01:00
9f272445d59d4908ee4b0fe7e4d01d21,Load Trucks,start,2022-11-25 17:54:44.390000+01:00
9f272445d59d4908ee4b0fe7e4d01d21,Load Trucks,complete,2022-11-25 18:00:55.190000+01:00
c3de4471f1a08ace3d66b5bfbbf3e467,Load Trucks,start,2022-11-25 18:00:55.190000+01:00
c2875652672a0c8e8ebd054f32db1a2c,Picking,complete,2022-11-25 18:07:13.190000+01:00
c3de4471f1a08ace3d66b5bfbbf3e467,Load Trucks,complete,2022-11-25 18:11:53.990000+01:00
91bd459a07dfe2f47d068d0702abdabe,Start Spoiled Fruit Data Collection,start,2022-11-25 18:11:53.990000+01:00
91bd459a07dfe2f47d068d0702abdabe,Start Spoiled Fruit Data Collection,complete,2022-11-25 18:43:16.790000+01:00
c1787de4919023bf9ca497bdac12722f,Collect Spoiled Fruit Data,start,2022-11-25 18:43:16.790000+01:00
c1787de4919023bf9ca497bdac12722f,Collect Spoiled Fruit Data,complete,2022-11-25 19:09:47.990000+01:00
1ba4aa8d64f5ae7b4bee822f770f832f,Send Recorded Kilos and Hours,start,2022-11-25 19:09:47.990000+01:00
1ba4aa8d64f5ae7b4bee822f770f832f,Send Recorded Kilos and Hours,complete,2022-11-25 19:12:08.390000+01:00
