cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
91001701a55856ae999f531d53421629,Check for Codling Moth,start,2022-12-06 07:40:56.470000+01:00
91001701a55856ae999f531d53421629,Check for Codling Moth,complete,2022-12-06 07:48:19.270000+01:00
fcb06076f77a5050409054b732d5895d,Warn of Break (1pm),start,2022-12-06 07:48:19.270000+01:00
be1dbcca3caba8d5156b77276bd86da9,Trucks Arrive (3pm),start,2022-12-06 07:48:19.270000+01:00
3728d376ffb08fc3ade240478a083a98,Start Picking,start,2022-12-06 07:48:19.270000+01:00
3728d376ffb08fc3ade240478a083a98,Start Picking,complete,2022-12-06 08:01:59.990000+01:00
f41a3d614bdc9e8a2926a3098c913d09,Picking ,start,2022-12-06 08:01:59.990000+01:00
f41a3d614bdc9e8a2926a3098c913d09,Picking ,complete,2022-12-06 12:41:35.990000+01:00
389ffe398af472fcc78075042fb2ddcf,Break,start,2022-12-06 12:41:35.990000+01:00
389ffe398af472fcc78075042fb2ddcf,Break,complete,2022-12-06 13:10:41.990000+01:00
ab3b56bc24a9f3f00f20dde75ba27e67,Picking,start,2022-12-06 13:10:41.990000+01:00
fcb06076f77a5050409054b732d5895d,Warn of Break (1pm),complete,2022-12-06 12:59:59.990000+01:00
be1dbcca3caba8d5156b77276bd86da9,Trucks Arrive (3pm),complete,2022-12-06 15:06:59.990000+01:00
c031d78c780bccb9239ed20d93ac7a97,Load Trucks,start,2022-12-06 15:06:59.990000+01:00
c031d78c780bccb9239ed20d93ac7a97,Load Trucks,complete,2022-12-06 15:23:47.990000+01:00
c2e34484558030303d8c72b330c8e8ae,Load Trucks,start,2022-12-06 15:23:47.990000+01:00
c2e34484558030303d8c72b330c8e8ae,Load Trucks,complete,2022-12-06 15:40:07.190000+01:00
080aa64b4cf4b494b36e1881e17d9ec1,Load Trucks,start,2022-12-06 15:40:07.190000+01:00
080aa64b4cf4b494b36e1881e17d9ec1,Load Trucks,complete,2022-12-06 15:56:01.190000+01:00
505b574b4c8f794d8facf0f41c2a6257,Load Trucks,start,2022-12-06 15:56:01.190000+01:00
505b574b4c8f794d8facf0f41c2a6257,Load Trucks,complete,2022-12-06 16:13:35.990000+01:00
df6e0da3fec8dc743a1d21ee5da0f73d,Load Trucks,start,2022-12-06 16:13:35.990000+01:00
df6e0da3fec8dc743a1d21ee5da0f73d,Load Trucks,complete,2022-12-06 16:31:46.790000+01:00
54aa030bb8bcd3ff8c601f1683fe9afb,Load Trucks,start,2022-12-06 16:31:46.790000+01:00
54aa030bb8bcd3ff8c601f1683fe9afb,Load Trucks,complete,2022-12-06 16:51:27.590000+01:00
116ca05257b3d68dbb14e7dc0d085fbd,Load Trucks,start,2022-12-06 16:51:27.590000+01:00
116ca05257b3d68dbb14e7dc0d085fbd,Load Trucks,complete,2022-12-06 17:11:58.790000+01:00
0b8dbec212e02bc035061ff34046b373,Load Trucks,start,2022-12-06 17:11:58.790000+01:00
ab3b56bc24a9f3f00f20dde75ba27e67,Picking,complete,2022-12-06 16:58:38.390000+01:00
0b8dbec212e02bc035061ff34046b373,Load Trucks,complete,2022-12-06 17:34:39.590000+01:00
7ab29fb663c9391b64ce7e2e977ae643,Start Spoiled Fruit Data Collection,start,2022-12-06 17:34:39.590000+01:00
7ab29fb663c9391b64ce7e2e977ae643,Start Spoiled Fruit Data Collection,complete,2022-12-06 17:35:51.590000+01:00
9a117d0d4b92e63e349cffd21ea33294,Collect Spoiled Fruit Data,start,2022-12-06 17:35:51.590000+01:00
9a117d0d4b92e63e349cffd21ea33294,Collect Spoiled Fruit Data,complete,2022-12-06 18:01:03.590000+01:00
e0a80d178548cae63aefdc4c11ecaf1a,Send Recorded Kilos and Hours,start,2022-12-06 18:01:03.590000+01:00
e0a80d178548cae63aefdc4c11ecaf1a,Send Recorded Kilos and Hours,complete,2022-12-06 18:03:59.990000+01:00
