cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
3ad070143e9b2b6467a3ec6bc14b8512,Check for Codling Moth,start,2022-11-12 07:44:05.410000+01:00
3ad070143e9b2b6467a3ec6bc14b8512,Check for Codling Moth,complete,2022-11-12 08:01:15.010000+01:00
3f7aeb42ce9d41860dfb30dbf10e23bb,Start Picking,start,2022-11-12 08:01:15.010000+01:00
6d323ea403f53d77b1bd9a94c3638390,Trucks Arrive (3pm),start,2022-11-12 08:01:15.010000+01:00
fa4812f58c4c262def3b0e3003529fbd,Warn of Break (1pm),start,2022-11-12 08:01:15.010000+01:00
3f7aeb42ce9d41860dfb30dbf10e23bb,Start Picking,complete,2022-11-12 08:03:00+01:00
fd468e1efcdb7cb5ca9669ff8c81737f,Picking ,start,2022-11-12 08:03:00+01:00
fd468e1efcdb7cb5ca9669ff8c81737f,Picking ,complete,2022-11-12 13:40:12+01:00
002b577df5a8904fa4d058ea796a9b4e,Break,start,2022-11-12 13:40:12+01:00
fa4812f58c4c262def3b0e3003529fbd,Warn of Break (1pm),complete,2022-11-12 12:59:59.990000+01:00
002b577df5a8904fa4d058ea796a9b4e,Break,complete,2022-11-12 14:16:40.790000+01:00
d4cee40bda4ee9b06d23efdaa9b59fc7,Picking,start,2022-11-12 14:16:40.790000+01:00
6d323ea403f53d77b1bd9a94c3638390,Trucks Arrive (3pm),complete,2022-11-12 14:59:59.990000+01:00
245856c85431f1d060210c0be8a384b1,Load Trucks,start,2022-11-12 14:59:59.990000+01:00
245856c85431f1d060210c0be8a384b1,Load Trucks,complete,2022-11-12 15:15:43.190000+01:00
d2c36842ceb3241ee42482c1090bf07c,Load Trucks,start,2022-11-12 15:15:43.190000+01:00
d2c36842ceb3241ee42482c1090bf07c,Load Trucks,complete,2022-11-12 15:33:07.190000+01:00
e1b00ba3ae8cb508383a53ff038e86f9,Load Trucks,start,2022-11-12 15:33:07.190000+01:00
e1b00ba3ae8cb508383a53ff038e86f9,Load Trucks,complete,2022-11-12 15:51:43.190000+01:00
3d6a1f1a7f30c8fb7502e254e335a816,Load Trucks,start,2022-11-12 15:51:43.190000+01:00
3d6a1f1a7f30c8fb7502e254e335a816,Load Trucks,complete,2022-11-12 16:08:56.390000+01:00
3e1a97606e88355654d7366bc241a489,Load Trucks,start,2022-11-12 16:08:56.390000+01:00
3e1a97606e88355654d7366bc241a489,Load Trucks,complete,2022-11-12 16:28:15.590000+01:00
179837cba4f40b6384ac4ea0809ba22f,Load Trucks,start,2022-11-12 16:28:15.590000+01:00
179837cba4f40b6384ac4ea0809ba22f,Load Trucks,complete,2022-11-12 16:45:32.390000+01:00
cdbc31132bf5fb21169e082b4c028102,Load Trucks,start,2022-11-12 16:45:32.390000+01:00
cdbc31132bf5fb21169e082b4c028102,Load Trucks,complete,2022-11-12 17:01:01.190000+01:00
0b37889d44862fd1f0c098c954924471,Load Trucks,start,2022-11-12 17:01:01.190000+01:00
0b37889d44862fd1f0c098c954924471,Load Trucks,complete,2022-11-12 17:42:07.190000+01:00
51db5510e8c211628b1ed6da0c0f2a5d,Load Trucks,start,2022-11-12 17:42:07.190000+01:00
51db5510e8c211628b1ed6da0c0f2a5d,Load Trucks,complete,2022-11-12 17:51:57.590000+01:00
d6b22ed4125ef8edc143870883a52ad2,Load Trucks,start,2022-11-12 17:51:57.590000+01:00
d6b22ed4125ef8edc143870883a52ad2,Load Trucks,complete,2022-11-12 18:07:11.990000+01:00
dc3c66a74d9d12a82e0e557ed7e3c88a,Load Trucks,start,2022-11-12 18:07:11.990000+01:00
dc3c66a74d9d12a82e0e557ed7e3c88a,Load Trucks,complete,2022-11-12 18:33:28.790000+01:00
848c83ecd7f6933b5ff15f2901d07997,Load Trucks,start,2022-11-12 18:33:28.790000+01:00
d4cee40bda4ee9b06d23efdaa9b59fc7,Picking,complete,2022-11-12 18:50:52.790000+01:00
848c83ecd7f6933b5ff15f2901d07997,Load Trucks,complete,2022-11-12 18:38:56.390000+01:00
dff664acaacb47472fef6f03848e0c75,Start Spoiled Fruit Data Collection,start,2022-11-12 18:50:52.790000+01:00
dff664acaacb47472fef6f03848e0c75,Start Spoiled Fruit Data Collection,complete,2022-11-12 18:55:29.990000+01:00
1ee3cab2ade0df137c7d8e82e13e3b97,Collect Spoiled Fruit Data,start,2022-11-12 18:55:29.990000+01:00
1ee3cab2ade0df137c7d8e82e13e3b97,Collect Spoiled Fruit Data,complete,2022-11-12 19:16:55.190000+01:00
c0042f86930d10da04562e1abd1a06d8,Send Recorded Kilos and Hours,start,2022-11-12 19:16:55.190000+01:00
c0042f86930d10da04562e1abd1a06d8,Send Recorded Kilos and Hours,complete,2022-11-12 19:18:10.790000+01:00
