cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
4cd2b7e98fd3fac379643dc1e430b233,Check for Codling Moth,start,2022-11-07 07:39:51.990000+01:00
4cd2b7e98fd3fac379643dc1e430b233,Check for Codling Moth,complete,2022-11-07 07:54:51.990000+01:00
6129eb31a02235c5a5cf261532bcc685,Warn of Break (1pm),start,2022-11-07 07:54:51.990000+01:00
8c6a9c766a99c1d068d26d60c7770fc2,Start Picking,start,2022-11-07 07:54:51.990000+01:00
6f690d47e837dfa3f7c9e0940763fd77,Trucks Arrive (3pm),start,2022-11-07 07:54:51.990000+01:00
8c6a9c766a99c1d068d26d60c7770fc2,Start Picking,complete,2022-11-07 08:08:00+01:00
71a1197412e5b5502161ef5e94c7d848,Picking ,start,2022-11-07 08:08:00+01:00
71a1197412e5b5502161ef5e94c7d848,Picking ,complete,2022-11-07 13:05:10.790000+01:00
fa679fbae4dcd0c90519ac99f52b57b3,Break,start,2022-11-07 13:05:10.790000+01:00
fa679fbae4dcd0c90519ac99f52b57b3,Break,complete,2022-11-07 13:34:45.590000+01:00
188d6412763f4ec1989480cfe2562f6b,Picking,start,2022-11-07 13:34:45.590000+01:00
6129eb31a02235c5a5cf261532bcc685,Warn of Break (1pm),complete,2022-11-07 13:00:00+01:00
6f690d47e837dfa3f7c9e0940763fd77,Trucks Arrive (3pm),complete,2022-11-07 15:07:00+01:00
69d0ba2974ed057f5fff6172b400a155,Load Trucks,start,2022-11-07 15:07:00+01:00
69d0ba2974ed057f5fff6172b400a155,Load Trucks,complete,2022-11-07 15:22:39.600000+01:00
0281b6d7aaab6c1a1d17a24c6e99fb29,Load Trucks,start,2022-11-07 15:22:39.600000+01:00
0281b6d7aaab6c1a1d17a24c6e99fb29,Load Trucks,complete,2022-11-07 15:46:28.800000+01:00
20392b4b08d133dff6daf9dfee143e89,Load Trucks,start,2022-11-07 15:46:28.800000+01:00
20392b4b08d133dff6daf9dfee143e89,Load Trucks,complete,2022-11-07 15:55:54+01:00
08c41f35824b74eadeea29cf0446e011,Load Trucks,start,2022-11-07 15:55:54+01:00
08c41f35824b74eadeea29cf0446e011,Load Trucks,complete,2022-11-07 16:09:20.400000+01:00
53c1c8a6efa0d69e6fd1f13e6bfcb5a7,Load Trucks,start,2022-11-07 16:09:20.400000+01:00
53c1c8a6efa0d69e6fd1f13e6bfcb5a7,Load Trucks,complete,2022-11-07 16:25:36+01:00
da585b7e4b1ed7f35d9f99006ff4c31e,Load Trucks,start,2022-11-07 16:25:36+01:00
da585b7e4b1ed7f35d9f99006ff4c31e,Load Trucks,complete,2022-11-07 16:41:51.600000+01:00
ef07d262612a207ac05544c57d3ec8db,Load Trucks,start,2022-11-07 16:41:51.600000+01:00
ef07d262612a207ac05544c57d3ec8db,Load Trucks,complete,2022-11-07 16:58:14.400000+01:00
8334a938bb231be280c65593dc68c7e8,Load Trucks,start,2022-11-07 16:58:14.400000+01:00
8334a938bb231be280c65593dc68c7e8,Load Trucks,complete,2022-11-07 17:14:40.800000+01:00
c2430898fb639aa28dacdb1b673a8ce3,Load Trucks,start,2022-11-07 17:14:40.800000+01:00
188d6412763f4ec1989480cfe2562f6b,Picking,complete,2022-11-07 17:38:39.600000+01:00
c2430898fb639aa28dacdb1b673a8ce3,Load Trucks,complete,2022-11-07 17:32:26.400000+01:00
76de0370cba892f0f35ea6eab7809e28,Start Spoiled Fruit Data Collection,start,2022-11-07 17:38:39.600000+01:00
76de0370cba892f0f35ea6eab7809e28,Start Spoiled Fruit Data Collection,complete,2022-11-07 17:53:57.600000+01:00
aceb8d4fc374bdbd9038a9bc5f4d879a,Collect Spoiled Fruit Data,start,2022-11-07 17:53:57.600000+01:00
aceb8d4fc374bdbd9038a9bc5f4d879a,Collect Spoiled Fruit Data,complete,2022-11-07 18:14:36+01:00
0c078d6a6c74716e42c60c9ff7f5bb87,Send Recorded Kilos and Hours,start,2022-11-07 18:14:36+01:00
0c078d6a6c74716e42c60c9ff7f5bb87,Send Recorded Kilos and Hours,complete,2022-11-07 18:27:04.800000+01:00
