cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
eb98e216beb32deb16ce34041ca2539e,Check for Codling Moth,start,2022-11-08 07:44:28.470000+01:00
eb98e216beb32deb16ce34041ca2539e,Check for Codling Moth,complete,2022-11-08 07:57:04.470000+01:00
1cded216eb6106706204d3013a79ddac,Trucks Arrive (3pm),start,2022-11-08 07:57:04.470000+01:00
537bed13c2c4051aad54b80987254872,Warn of Break (1pm),start,2022-11-08 07:57:04.470000+01:00
2a9a151eacffe5f4b0062607bab7c34b,Start Picking,start,2022-11-08 07:57:04.470000+01:00
2a9a151eacffe5f4b0062607bab7c34b,Start Picking,complete,2022-11-08 08:06:00+01:00
71498cc4214e64124a49d1efe8790925,Picking ,start,2022-11-08 08:06:00+01:00
71498cc4214e64124a49d1efe8790925,Picking ,complete,2022-11-08 13:34:37.200000+01:00
c332fa228fb15b442b36ed7658535aa7,Break,start,2022-11-08 13:34:37.200000+01:00
537bed13c2c4051aad54b80987254872,Warn of Break (1pm),complete,2022-11-08 13:00:00+01:00
c332fa228fb15b442b36ed7658535aa7,Break,complete,2022-11-08 14:00:28.800000+01:00
e4212073255875cfa11190a6a952737f,Picking,start,2022-11-08 14:00:28.800000+01:00
1cded216eb6106706204d3013a79ddac,Trucks Arrive (3pm),complete,2022-11-08 15:08:00+01:00
a59a2f6581a1e8ff5655af9c48c40393,Load Trucks,start,2022-11-08 15:08:00+01:00
a59a2f6581a1e8ff5655af9c48c40393,Load Trucks,complete,2022-11-08 15:21:51.600000+01:00
818b2537269b68246976522d1d2a9909,Load Trucks,start,2022-11-08 15:21:51.600000+01:00
818b2537269b68246976522d1d2a9909,Load Trucks,complete,2022-11-08 15:31:02.400000+01:00
7a9a5fcf2e4b3b0f301afe885b615c44,Load Trucks,start,2022-11-08 15:31:02.400000+01:00
7a9a5fcf2e4b3b0f301afe885b615c44,Load Trucks,complete,2022-11-08 15:46:52.800000+01:00
d0b5403ce884d8ed79e4e1d48314583c,Load Trucks,start,2022-11-08 15:46:52.800000+01:00
d0b5403ce884d8ed79e4e1d48314583c,Load Trucks,complete,2022-11-08 16:02:43.200000+01:00
6660078c2369e5bfad6a4100d46d34e2,Load Trucks,start,2022-11-08 16:02:43.200000+01:00
6660078c2369e5bfad6a4100d46d34e2,Load Trucks,complete,2022-11-08 16:21:26.400000+01:00
c292281c0c89ddfa45261ffc4650b278,Load Trucks,start,2022-11-08 16:21:26.400000+01:00
c292281c0c89ddfa45261ffc4650b278,Load Trucks,complete,2022-11-08 16:38:36+01:00
f7980c28d866db98ecdf3a78d45c5a6a,Load Trucks,start,2022-11-08 16:38:36+01:00
f7980c28d866db98ecdf3a78d45c5a6a,Load Trucks,complete,2022-11-08 16:54:33.600000+01:00
d4079bd6d03c903afdeaa9b5daa2a81e,Load Trucks,start,2022-11-08 16:54:33.600000+01:00
d4079bd6d03c903afdeaa9b5daa2a81e,Load Trucks,complete,2022-11-08 17:13:16.800000+01:00
81856099db4cba49e89f0c45682a66ec,Load Trucks,start,2022-11-08 17:13:16.800000+01:00
81856099db4cba49e89f0c45682a66ec,Load Trucks,complete,2022-11-08 17:28:27.600000+01:00
e020e13e82b7f890d223cd981df5fe07,Load Trucks,start,2022-11-08 17:28:27.600000+01:00
e020e13e82b7f890d223cd981df5fe07,Load Trucks,complete,2022-11-08 17:51:55.200000+01:00
9b9e82fcf2cbdb50758c83b7ef7a6eb3,Load Trucks,start,2022-11-08 17:51:55.200000+01:00
9b9e82fcf2cbdb50758c83b7ef7a6eb3,Load Trucks,complete,2022-11-08 18:18:40.800000+01:00
5fcb42bfc7d7cfa130092e5d6e629f65,Load Trucks,start,2022-11-08 18:18:40.800000+01:00
e4212073255875cfa11190a6a952737f,Picking,complete,2022-11-08 18:49:33.590000+01:00
5fcb42bfc7d7cfa130092e5d6e629f65,Load Trucks,complete,2022-11-08 18:39:33.600000+01:00
066a9dbde68bd6debd422a777031a0e6,Start Spoiled Fruit Data Collection,start,2022-11-08 18:49:33.590000+01:00
066a9dbde68bd6debd422a777031a0e6,Start Spoiled Fruit Data Collection,complete,2022-11-08 18:53:56.390000+01:00
9a6dd71fcd3a509e0461b08fd4198f62,Collect Spoiled Fruit Data,start,2022-11-08 18:53:56.390000+01:00
9a6dd71fcd3a509e0461b08fd4198f62,Collect Spoiled Fruit Data,complete,2022-11-08 19:16:33.590000+01:00
57ed057b02dd0125c26e515754e77ebc,Send Recorded Kilos and Hours,start,2022-11-08 19:16:33.590000+01:00
57ed057b02dd0125c26e515754e77ebc,Send Recorded Kilos and Hours,complete,2022-11-08 19:21:43.190000+01:00
