cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
e47ccc53e70158d3ff7ac3673cb2250e,Check for Codling Moth,start,2022-12-14 07:44:04.010000+01:00
e47ccc53e70158d3ff7ac3673cb2250e,Check for Codling Moth,complete,2022-12-14 08:07:38.810000+01:00
d56d47a408763f573ecff93258e0ff3b,Start Picking,start,2022-12-14 08:07:38.810000+01:00
5f050bdae9b0319fe4687c4ab277a436,Trucks Arrive (3pm),start,2022-12-14 08:07:38.810000+01:00
718af1e065a49259cc9ab927202fb50b,Warn of Break (1pm),start,2022-12-14 08:07:38.810000+01:00
d56d47a408763f573ecff93258e0ff3b,Start Picking,complete,2022-12-14 08:15:00+01:00
89b5d152ada6303fce3b8e0f09d6f541,Picking ,start,2022-12-14 08:15:00+01:00
89b5d152ada6303fce3b8e0f09d6f541,Picking ,complete,2022-12-14 13:08:27.590000+01:00
01b3b654860b3cb7b08c936a65fa8722,Break,start,2022-12-14 13:08:27.590000+01:00
01b3b654860b3cb7b08c936a65fa8722,Break,complete,2022-12-14 13:38:41.990000+01:00
b0b67401fbffdc8257f0344cab3d5438,Picking,start,2022-12-14 13:38:41.990000+01:00
718af1e065a49259cc9ab927202fb50b,Warn of Break (1pm),complete,2022-12-14 12:59:59.990000+01:00
5f050bdae9b0319fe4687c4ab277a436,Trucks Arrive (3pm),complete,2022-12-14 14:59:59.990000+01:00
b528373745b252543d43d2a159c5e575,Load Trucks,start,2022-12-14 14:59:59.990000+01:00
b528373745b252543d43d2a159c5e575,Load Trucks,complete,2022-12-14 15:15:57.590000+01:00
622626ad2af9d9d425b7698f6ca4ad01,Load Trucks,start,2022-12-14 15:15:57.590000+01:00
622626ad2af9d9d425b7698f6ca4ad01,Load Trucks,complete,2022-12-14 15:32:45.600000+01:00
9fa2eaad520c6bf389a8fb9545f0ba5d,Load Trucks,start,2022-12-14 15:32:45.600000+01:00
9fa2eaad520c6bf389a8fb9545f0ba5d,Load Trucks,complete,2022-12-14 15:43:44.390000+01:00
f8b23ec2e1a6b9afadbf77197da199d8,Load Trucks,start,2022-12-14 15:43:44.390000+01:00
f8b23ec2e1a6b9afadbf77197da199d8,Load Trucks,complete,2022-12-14 15:57:50.390000+01:00
824ae495813303905249496708959218,Load Trucks,start,2022-12-14 15:57:50.390000+01:00
824ae495813303905249496708959218,Load Trucks,complete,2022-12-14 16:34:51.590000+01:00
ab8cedd371c1da1b387a27a0ab209ed7,Load Trucks,start,2022-12-14 16:34:51.590000+01:00
ab8cedd371c1da1b387a27a0ab209ed7,Load Trucks,complete,2022-12-14 16:52:01.190000+01:00
ce0710ce4578848db38f8c8c29bbd4a4,Load Trucks,start,2022-12-14 16:52:01.190000+01:00
ce0710ce4578848db38f8c8c29bbd4a4,Load Trucks,complete,2022-12-14 17:03:03.590000+01:00
b1e43a7d8c637ae74ff24a5d5a2cafc9,Load Trucks,start,2022-12-14 17:03:03.590000+01:00
b1e43a7d8c637ae74ff24a5d5a2cafc9,Load Trucks,complete,2022-12-14 17:09:17.990000+01:00
bfb890584bd9f26cbc182ee6ad4cb9b0,Load Trucks,start,2022-12-14 17:09:17.990000+01:00
b0b67401fbffdc8257f0344cab3d5438,Picking,complete,2022-12-14 17:44:45.590000+01:00
bfb890584bd9f26cbc182ee6ad4cb9b0,Load Trucks,complete,2022-12-14 17:33:35.990000+01:00
08840e2a43fc1ef2af22f8a3133bceef,Start Spoiled Fruit Data Collection,start,2022-12-14 17:44:45.590000+01:00
08840e2a43fc1ef2af22f8a3133bceef,Start Spoiled Fruit Data Collection,complete,2022-12-14 17:45:57.590000+01:00
addb5b140fd5ce327afaa15a4dedef41,Collect Spoiled Fruit Data,start,2022-12-14 17:45:57.590000+01:00
addb5b140fd5ce327afaa15a4dedef41,Collect Spoiled Fruit Data,complete,2022-12-14 18:04:26.390000+01:00
372be44cd5f6cad4130c99020e42687b,Send Recorded Kilos and Hours,start,2022-12-14 18:04:26.390000+01:00
372be44cd5f6cad4130c99020e42687b,Send Recorded Kilos and Hours,complete,2022-12-14 18:05:52.790000+01:00
