cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
b420a17c0bbdd28cd3d2ba617a2eb3ac,Check for Codling Moth,start,2022-11-22 07:43:54.060000+01:00
b420a17c0bbdd28cd3d2ba617a2eb3ac,Check for Codling Moth,complete,2022-11-22 08:03:27.660000+01:00
ae94c8504f8c0b7a896989d54e8a5947,Trucks Arrive (3pm),start,2022-11-22 08:03:27.660000+01:00
f7bd5f4f6d584dc5f62ff09313d77569,Warn of Break (1pm),start,2022-11-22 08:03:27.660000+01:00
c043c83a1438dd949079d7bc453858bd,Start Picking,start,2022-11-22 08:03:27.660000+01:00
c043c83a1438dd949079d7bc453858bd,Start Picking,complete,2022-11-23 08:01:59.990000+01:00
49245eb4c5bdd410f5d30b256635d0fa,Picking ,start,2022-11-23 08:01:59.990000+01:00
49245eb4c5bdd410f5d30b256635d0fa,Picking ,complete,2022-11-23 12:50:21.590000+01:00
a8759138e361ca4459d748f38d333c35,Break,start,2022-11-23 12:50:21.590000+01:00
a8759138e361ca4459d748f38d333c35,Break,complete,2022-11-23 13:16:31.190000+01:00
768ec6ef5d4d4f2853c88b882c978c64,Picking,start,2022-11-23 13:16:31.190000+01:00
f7bd5f4f6d584dc5f62ff09313d77569,Warn of Break (1pm),complete,2022-11-22 13:00:00+01:00
ae94c8504f8c0b7a896989d54e8a5947,Trucks Arrive (3pm),complete,2022-11-22 15:14:00+01:00
0faeff3e9ddbf8c6f90455a4cef4df9b,Load Trucks,start,2022-11-22 15:14:00+01:00
0faeff3e9ddbf8c6f90455a4cef4df9b,Load Trucks,complete,2022-11-22 15:30:26.400000+01:00
5dfbd449359928245bef458b2712f8c6,Load Trucks,start,2022-11-22 15:30:26.400000+01:00
5dfbd449359928245bef458b2712f8c6,Load Trucks,complete,2022-11-22 15:46:45.600000+01:00
03390ab5f7c0d9dcdad80931571a788d,Load Trucks,start,2022-11-22 15:46:45.600000+01:00
03390ab5f7c0d9dcdad80931571a788d,Load Trucks,complete,2022-11-22 16:03:37.200000+01:00
06045ae2d6158a371d32e1a3ccd465e9,Load Trucks,start,2022-11-22 16:03:37.200000+01:00
06045ae2d6158a371d32e1a3ccd465e9,Load Trucks,complete,2022-11-22 16:20:25.200000+01:00
8816b2d26dd3086a6b5398c630ba9255,Load Trucks,start,2022-11-22 16:20:25.200000+01:00
8816b2d26dd3086a6b5398c630ba9255,Load Trucks,complete,2022-11-22 16:42:04.800000+01:00
d232b099448331bbcf4930d8a297ff6d,Load Trucks,start,2022-11-22 16:42:04.800000+01:00
d232b099448331bbcf4930d8a297ff6d,Load Trucks,complete,2022-11-22 17:17:32.400000+01:00
0afa6dcd5f73c1f473ca4db436b24984,Load Trucks,start,2022-11-22 17:17:32.400000+01:00
0afa6dcd5f73c1f473ca4db436b24984,Load Trucks,complete,2022-11-22 17:30:44.400000+01:00
d2b38d273daa66769b88c01bc2fd9cfc,Load Trucks,start,2022-11-22 17:30:44.400000+01:00
d2b38d273daa66769b88c01bc2fd9cfc,Load Trucks,complete,2022-11-22 17:53:28.800000+01:00
03d31ea245ee8227f8472037865cffb6,Load Trucks,start,2022-11-22 17:53:28.800000+01:00
768ec6ef5d4d4f2853c88b882c978c64,Picking,complete,2022-11-23 17:30:37.190000+01:00
03d31ea245ee8227f8472037865cffb6,Load Trucks,complete,2022-11-22 18:00:51.600000+01:00
f4813dfe4a68af1254fecf09eeafbf12,Start Spoiled Fruit Data Collection,start,2022-11-23 17:30:37.190000+01:00
f4813dfe4a68af1254fecf09eeafbf12,Start Spoiled Fruit Data Collection,complete,2022-11-23 17:36:58.790000+01:00
b0162639ef22a3f33e023d079016e0ce,Collect Spoiled Fruit Data,start,2022-11-23 17:36:58.790000+01:00
b0162639ef22a3f33e023d079016e0ce,Collect Spoiled Fruit Data,complete,2022-11-23 17:47:57.590000+01:00
578c3e3301e160299b048d1142271e69,Send Recorded Kilos and Hours,start,2022-11-23 17:47:57.590000+01:00
578c3e3301e160299b048d1142271e69,Send Recorded Kilos and Hours,complete,2022-11-23 17:52:56.390000+01:00
