cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
04a11f0fcfec1a49fc0041110bcaa5f4,Check for Codling Moth,start,2022-11-09 07:42:24.310000+01:00
04a11f0fcfec1a49fc0041110bcaa5f4,Check for Codling Moth,complete,2022-11-09 08:04:18.310000+01:00
8ce55432260483b0d170babf78c7f063,Trucks Arrive (3pm),start,2022-11-09 08:04:18.310000+01:00
2205bc2ebdbaa3f586ffdc04ab1a5ab1,Warn of Break (1pm),start,2022-11-09 08:04:18.310000+01:00
19a37d7c2a77fc30e879872687f8290e,Start Picking,start,2022-11-09 08:04:18.310000+01:00
19a37d7c2a77fc30e879872687f8290e,Start Picking,complete,2022-11-09 08:13:00+01:00
b538ef6aed15bcdda959b6ae91faaabe,Picking ,start,2022-11-09 08:13:00+01:00
b538ef6aed15bcdda959b6ae91faaabe,Picking ,complete,2022-11-09 12:56:19.200000+01:00
e196a2afa879d2263d7eadb37142f132,Break,start,2022-11-09 12:56:19.200000+01:00
e196a2afa879d2263d7eadb37142f132,Break,complete,2022-11-09 13:28:03.600000+01:00
de5349e30cb945745319d6456fe77ab6,Picking,start,2022-11-09 13:28:03.600000+01:00
2205bc2ebdbaa3f586ffdc04ab1a5ab1,Warn of Break (1pm),complete,2022-11-09 13:00:00+01:00
8ce55432260483b0d170babf78c7f063,Trucks Arrive (3pm),complete,2022-11-09 15:12:00+01:00
5c67212249771cea8c9ad78afcb396f7,Load Trucks,start,2022-11-09 15:12:00+01:00
5c67212249771cea8c9ad78afcb396f7,Load Trucks,complete,2022-11-09 15:28:40.800000+01:00
e560845bb83c572d1beb11a8eb75c172,Load Trucks,start,2022-11-09 15:28:40.800000+01:00
e560845bb83c572d1beb11a8eb75c172,Load Trucks,complete,2022-11-09 15:44:24+01:00
eb4e0b0870cd57af05183437b78441f7,Load Trucks,start,2022-11-09 15:44:24+01:00
eb4e0b0870cd57af05183437b78441f7,Load Trucks,complete,2022-11-09 16:00:50.400000+01:00
2e812b75032a2abc5ed68acbae17d82c,Load Trucks,start,2022-11-09 16:00:50.400000+01:00
2e812b75032a2abc5ed68acbae17d82c,Load Trucks,complete,2022-11-09 16:20:20.400000+01:00
7cacbcb9f9c91433313ff8b4f75304e4,Load Trucks,start,2022-11-09 16:20:20.400000+01:00
7cacbcb9f9c91433313ff8b4f75304e4,Load Trucks,complete,2022-11-09 16:33:36+01:00
2a250abc836d7784de3e2a2894505cce,Load Trucks,start,2022-11-09 16:33:36+01:00
2a250abc836d7784de3e2a2894505cce,Load Trucks,complete,2022-11-09 16:55:04.800000+01:00
bb8ac9927536938b46f4a2862eb33517,Load Trucks,start,2022-11-09 16:55:04.800000+01:00
bb8ac9927536938b46f4a2862eb33517,Load Trucks,complete,2022-11-09 17:21:18+01:00
5200ae2eff1ed94f7825d60eee7fe9f7,Load Trucks,start,2022-11-09 17:21:18+01:00
5200ae2eff1ed94f7825d60eee7fe9f7,Load Trucks,complete,2022-11-09 17:37:19.200000+01:00
d5b5bc4f6d00ee4dde7f4b460e096afc,Load Trucks,start,2022-11-09 17:37:19.200000+01:00
d5b5bc4f6d00ee4dde7f4b460e096afc,Load Trucks,complete,2022-11-09 17:54:03.600000+01:00
18dbfe8d2353741367a45b4b00e03558,Load Trucks,start,2022-11-09 17:54:03.600000+01:00
de5349e30cb945745319d6456fe77ab6,Picking,complete,2022-11-09 17:56:37.200000+01:00
18dbfe8d2353741367a45b4b00e03558,Load Trucks,complete,2022-11-09 18:16:12+01:00
b9a92481ae039f3b45695549505a47b0,Start Spoiled Fruit Data Collection,start,2022-11-09 18:16:12+01:00
b9a92481ae039f3b45695549505a47b0,Start Spoiled Fruit Data Collection,complete,2022-11-09 19:05:49.200000+01:00
7faf22ec67c52d252ac26158cfa94b53,Collect Spoiled Fruit Data,start,2022-11-09 19:05:49.200000+01:00
7faf22ec67c52d252ac26158cfa94b53,Collect Spoiled Fruit Data,complete,2022-11-09 19:10:19.200000+01:00
2dc6d234a2a66b76cba4ab2b4537ae40,Send Recorded Kilos and Hours,start,2022-11-09 19:10:19.200000+01:00
2dc6d234a2a66b76cba4ab2b4537ae40,Send Recorded Kilos and Hours,complete,2022-11-09 19:11:38.400000+01:00
