cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
c1dc462c2a0a9247bbd78b1ef60ca6cc,Check for Codling Moth,start,2022-11-02 07:44:31.660000+01:00
c1dc462c2a0a9247bbd78b1ef60ca6cc,Check for Codling Moth,complete,2022-11-02 08:02:02.860000+01:00
579b18d1922488e17ded73342b521965,Start Picking,start,2022-11-02 08:02:02.860000+01:00
76f0fc22715bed03887664d8e8621d46,Warn of Break (1pm),start,2022-11-02 08:02:02.860000+01:00
691d26aaaf70dde6a59814b8276360c2,Trucks Arrive (3pm),start,2022-11-02 08:02:02.860000+01:00
579b18d1922488e17ded73342b521965,Start Picking,complete,2022-11-02 08:09:00+01:00
0ad5e9936157b85317abb0125814bd13,Picking ,start,2022-11-02 08:09:00+01:00
0ad5e9936157b85317abb0125814bd13,Picking ,complete,2022-11-02 13:27:10.790000+01:00
228de6a59494538bb4d25c383645226a,Break,start,2022-11-02 13:27:10.790000+01:00
228de6a59494538bb4d25c383645226a,Break,complete,2022-11-02 13:54:57.590000+01:00
90e2fb27121574c95eb048f73c5752dd,Picking,start,2022-11-02 13:54:57.590000+01:00
76f0fc22715bed03887664d8e8621d46,Warn of Break (1pm),complete,2022-11-02 13:00:00+01:00
691d26aaaf70dde6a59814b8276360c2,Trucks Arrive (3pm),complete,2022-11-02 15:13:00+01:00
11915299968de648aff82fdb14b8bb80,Load Trucks,start,2022-11-02 15:13:00+01:00
11915299968de648aff82fdb14b8bb80,Load Trucks,complete,2022-11-02 15:27:49.200000+01:00
9f28aef37264a1d15af0d61fb845ff68,Load Trucks,start,2022-11-02 15:27:49.200000+01:00
9f28aef37264a1d15af0d61fb845ff68,Load Trucks,complete,2022-11-02 15:42:02.400000+01:00
6392659103898f9df597d10ec56aae21,Load Trucks,start,2022-11-02 15:42:02.400000+01:00
6392659103898f9df597d10ec56aae21,Load Trucks,complete,2022-11-02 15:58:57.600000+01:00
47fd09131c4828e0c8de8c308e856219,Load Trucks,start,2022-11-02 15:58:57.600000+01:00
47fd09131c4828e0c8de8c308e856219,Load Trucks,complete,2022-11-02 16:15:34.800000+01:00
437e014cf277b802f85bf6d64e6c15ab,Load Trucks,start,2022-11-02 16:15:34.800000+01:00
437e014cf277b802f85bf6d64e6c15ab,Load Trucks,complete,2022-11-02 16:31:18+01:00
a5d80961b3b6d9c4e1775cc143cea483,Load Trucks,start,2022-11-02 16:31:18+01:00
a5d80961b3b6d9c4e1775cc143cea483,Load Trucks,complete,2022-11-02 16:47:33.600000+01:00
a94de1ec0547e753c7af99fe98b9045a,Load Trucks,start,2022-11-02 16:47:33.600000+01:00
a94de1ec0547e753c7af99fe98b9045a,Load Trucks,complete,2022-11-02 17:04:07.200000+01:00
44e79e0767650d490f1beaf52481e664,Load Trucks,start,2022-11-02 17:04:07.200000+01:00
44e79e0767650d490f1beaf52481e664,Load Trucks,complete,2022-11-02 17:20:22.800000+01:00
54b1a67a8b5446e1ade14af229d3ed6e,Load Trucks,start,2022-11-02 17:20:22.800000+01:00
54b1a67a8b5446e1ade14af229d3ed6e,Load Trucks,complete,2022-11-02 17:38:04.800000+01:00
af2bc675965dfcb8e22233d4401d3a07,Load Trucks,start,2022-11-02 17:38:04.800000+01:00
90e2fb27121574c95eb048f73c5752dd,Picking,complete,2022-11-02 17:57:50.390000+01:00
af2bc675965dfcb8e22233d4401d3a07,Load Trucks,complete,2022-11-02 17:57:56.400000+01:00
23a376fe3fcb356bfa4410bd9b5b541c,Start Spoiled Fruit Data Collection,start,2022-11-02 17:57:56.400000+01:00
23a376fe3fcb356bfa4410bd9b5b541c,Start Spoiled Fruit Data Collection,complete,2022-11-02 18:13:36+01:00
044e10e252360ec2a64db88e0c170620,Collect Spoiled Fruit Data,start,2022-11-02 18:13:36+01:00
044e10e252360ec2a64db88e0c170620,Collect Spoiled Fruit Data,complete,2022-11-02 18:47:15.600000+01:00
7edcaf84f518f470952c9917283dd84a,Send Recorded Kilos and Hours,start,2022-11-02 18:47:15.600000+01:00
7edcaf84f518f470952c9917283dd84a,Send Recorded Kilos and Hours,complete,2022-11-02 18:52:50.400000+01:00
