cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
db82de2f3b72cea86911b121f0435319,Check for Codling Moth,start,2022-12-18 07:39:30.100000+01:00
db82de2f3b72cea86911b121f0435319,Check for Codling Moth,complete,2022-12-18 07:43:27.700000+01:00
563cd998e7b4c020a23c994bcd58bbd0,Start Picking,start,2022-12-18 07:43:27.700000+01:00
2b0856b774ba4e514ecfcbfebafcd2f8,Warn of Break (1pm),start,2022-12-18 07:43:27.700000+01:00
ca5454d383188e4b5f3115b832e4d2bd,Trucks Arrive (3pm),start,2022-12-18 07:43:27.700000+01:00
563cd998e7b4c020a23c994bcd58bbd0,Start Picking,complete,2022-12-18 08:01:00+01:00
3df14575755a6e14630dc5941e987075,Picking ,start,2022-12-18 08:01:00+01:00
3df14575755a6e14630dc5941e987075,Picking ,complete,2022-12-18 12:27:27.590000+01:00
4474e2d1bb1457eb08c61b83e3f6f7cc,Break,start,2022-12-18 12:27:27.590000+01:00
4474e2d1bb1457eb08c61b83e3f6f7cc,Break,complete,2022-12-18 12:56:51.590000+01:00
4c13955b55310ad429c6b929f5ab8f78,Picking,start,2022-12-18 12:56:51.590000+01:00
2b0856b774ba4e514ecfcbfebafcd2f8,Warn of Break (1pm),complete,2022-12-18 12:59:59.990000+01:00
ca5454d383188e4b5f3115b832e4d2bd,Trucks Arrive (3pm),complete,2022-12-18 15:05:59.990000+01:00
33d17374833c3570effb19fd4c974c48,Load Trucks,start,2022-12-18 15:05:59.990000+01:00
33d17374833c3570effb19fd4c974c48,Load Trucks,complete,2022-12-18 15:22:29.990000+01:00
cf820a2337bd74a60d01b22640120578,Load Trucks,start,2022-12-18 15:22:29.990000+01:00
cf820a2337bd74a60d01b22640120578,Load Trucks,complete,2022-12-18 15:38:05.990000+01:00
badbc482436ee843fa35abfb3d6847a7,Load Trucks,start,2022-12-18 15:38:05.990000+01:00
badbc482436ee843fa35abfb3d6847a7,Load Trucks,complete,2022-12-18 15:54:50.390000+01:00
a998ed0eba38a2b83a5e5698617cdd37,Load Trucks,start,2022-12-18 15:54:50.390000+01:00
a998ed0eba38a2b83a5e5698617cdd37,Load Trucks,complete,2022-12-18 16:10:19.190000+01:00
19bca454986868e0c82d08ffdf57d2e1,Load Trucks,start,2022-12-18 16:10:19.190000+01:00
19bca454986868e0c82d08ffdf57d2e1,Load Trucks,complete,2022-12-18 16:26:09.590000+01:00
be9ab9960b87e901273ddaf66116c219,Load Trucks,start,2022-12-18 16:26:09.590000+01:00
4c13955b55310ad429c6b929f5ab8f78,Picking,complete,2022-12-18 16:45:24+01:00
be9ab9960b87e901273ddaf66116c219,Load Trucks,complete,2022-12-18 16:53:31.200000+01:00
d3c70b57ec1097ea91798428a1bbd7cd,Start Spoiled Fruit Data Collection,start,2022-12-18 16:53:31.200000+01:00
d3c70b57ec1097ea91798428a1bbd7cd,Start Spoiled Fruit Data Collection,complete,2022-12-18 17:06:14.390000+01:00
b05195611430f630e593904f3ea5b54f,Collect Spoiled Fruit Data,start,2022-12-18 17:06:14.390000+01:00
b05195611430f630e593904f3ea5b54f,Collect Spoiled Fruit Data,complete,2022-12-18 17:41:13.190000+01:00
d0815c46180e765044d0b6eb7156dbae,Send Recorded Kilos and Hours,start,2022-12-18 17:41:13.190000+01:00
d0815c46180e765044d0b6eb7156dbae,Send Recorded Kilos and Hours,complete,2022-12-18 17:45:35.990000+01:00
