cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
307867ff6ebd4e7136e7a39be54cfe1c,Check for Codling Moth,start,2022-11-17 07:40:23.240000+01:00
307867ff6ebd4e7136e7a39be54cfe1c,Check for Codling Moth,complete,2022-11-17 07:58:48.440000+01:00
53bcf98884b24dc83958a12ef2b7765d,Trucks Arrive (3pm),start,2022-11-17 07:58:48.440000+01:00
0e424d371dad98127fc3c055799e7095,Warn of Break (1pm),start,2022-11-17 07:58:48.440000+01:00
5811f4bc35828ddde395adacdf073bff,Start Picking,start,2022-11-17 07:58:48.440000+01:00
5811f4bc35828ddde395adacdf073bff,Start Picking,complete,2022-11-17 08:01:00+01:00
42a11ec34fe6022e63b732ca9513f0bf,Picking ,start,2022-11-17 08:01:00+01:00
42a11ec34fe6022e63b732ca9513f0bf,Picking ,complete,2022-11-17 12:36:20.400000+01:00
5e11c76f877dce711675330d5e1d57ce,Break,start,2022-11-17 12:36:20.400000+01:00
5e11c76f877dce711675330d5e1d57ce,Break,complete,2022-11-17 12:59:48+01:00
d94473356a5075f22cb03a6d39e44162,Picking,start,2022-11-17 12:59:48+01:00
0e424d371dad98127fc3c055799e7095,Warn of Break (1pm),complete,2022-11-17 13:00:00+01:00
53bcf98884b24dc83958a12ef2b7765d,Trucks Arrive (3pm),complete,2022-11-17 15:07:00+01:00
a11e2f2d62ed7c922cd9c57ea26ba1ee,Load Trucks,start,2022-11-17 15:07:00+01:00
a11e2f2d62ed7c922cd9c57ea26ba1ee,Load Trucks,complete,2022-11-17 15:19:00+01:00
3550d8874a043783f273905ac8552803,Load Trucks,start,2022-11-17 15:19:00+01:00
3550d8874a043783f273905ac8552803,Load Trucks,complete,2022-11-17 15:40:10.800000+01:00
01b8febea5f729609c91a985d87d7f95,Load Trucks,start,2022-11-17 15:40:10.800000+01:00
01b8febea5f729609c91a985d87d7f95,Load Trucks,complete,2022-11-17 15:53:22.800000+01:00
0e21b39f43cc84f93411b194a3804e6b,Load Trucks,start,2022-11-17 15:53:22.800000+01:00
0e21b39f43cc84f93411b194a3804e6b,Load Trucks,complete,2022-11-17 16:05:22.800000+01:00
cb81e940452e42fe24f766c77181c1d3,Load Trucks,start,2022-11-17 16:05:22.800000+01:00
cb81e940452e42fe24f766c77181c1d3,Load Trucks,complete,2022-11-17 16:20:48+01:00
eda6842a382affe67390653c14b7bdcc,Load Trucks,start,2022-11-17 16:20:48+01:00
eda6842a382affe67390653c14b7bdcc,Load Trucks,complete,2022-11-17 16:42:24+01:00
28cdccdda7bfbb36d3f1a7681155187a,Load Trucks,start,2022-11-17 16:42:24+01:00
28cdccdda7bfbb36d3f1a7681155187a,Load Trucks,complete,2022-11-17 16:56:55.200000+01:00
33002d32a3351a9868048da76eaf4d68,Load Trucks,start,2022-11-17 16:56:55.200000+01:00
33002d32a3351a9868048da76eaf4d68,Load Trucks,complete,2022-11-17 17:08:37.200000+01:00
6dae44a8905e712e31244daa9acbb294,Load Trucks,start,2022-11-17 17:08:37.200000+01:00
d94473356a5075f22cb03a6d39e44162,Picking,complete,2022-11-17 17:24:49.200000+01:00
6dae44a8905e712e31244daa9acbb294,Load Trucks,complete,2022-11-17 17:44:19.200000+01:00
b9758a14e70a04addbdfaff4eb428c01,Start Spoiled Fruit Data Collection,start,2022-11-17 17:44:19.200000+01:00
b9758a14e70a04addbdfaff4eb428c01,Start Spoiled Fruit Data Collection,complete,2022-11-17 18:11:55.200000+01:00
35aff55e5e683340496c4551293197d8,Collect Spoiled Fruit Data,start,2022-11-17 18:11:55.200000+01:00
35aff55e5e683340496c4551293197d8,Collect Spoiled Fruit Data,complete,2022-11-17 18:31:00+01:00
661d41855e30c13fb2f636221ac07c3d,Send Recorded Kilos and Hours,start,2022-11-17 18:31:00+01:00
661d41855e30c13fb2f636221ac07c3d,Send Recorded Kilos and Hours,complete,2022-11-17 18:36:52.800000+01:00
