cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
5b56a06ada4912a872e8540c5d1fa1e6,Check for Codling Moth,start,2022-11-29 07:40:20.460000+01:00
5b56a06ada4912a872e8540c5d1fa1e6,Check for Codling Moth,complete,2022-11-29 07:48:30.060000+01:00
389aac23504c69ce5dc0ea6e097d9b22,Start Picking,start,2022-11-29 07:48:30.060000+01:00
e3aec8cc27ab388f4fa2b0111bfe495e,Warn of Break (1pm),start,2022-11-29 07:48:30.060000+01:00
75db0aab8f6d12668c54a26e1b19fea5,Trucks Arrive (3pm),start,2022-11-29 07:48:30.060000+01:00
389aac23504c69ce5dc0ea6e097d9b22,Start Picking,complete,2022-11-29 08:07:59.990000+01:00
4beb00a0e0345563782817f13c50d15c,Picking ,start,2022-11-29 08:07:59.990000+01:00
4beb00a0e0345563782817f13c50d15c,Picking ,complete,2022-11-29 13:27:15.590000+01:00
63631ba15ebcd5e546777a004c494bf3,Break,start,2022-11-29 13:27:15.590000+01:00
e3aec8cc27ab388f4fa2b0111bfe495e,Warn of Break (1pm),complete,2022-11-29 13:00:00+01:00
63631ba15ebcd5e546777a004c494bf3,Break,complete,2022-11-29 13:55:52.790000+01:00
fb73a67f44e176b84147095240d5a661,Picking,start,2022-11-29 13:55:52.790000+01:00
75db0aab8f6d12668c54a26e1b19fea5,Trucks Arrive (3pm),complete,2022-11-29 15:05:00+01:00
21d3bb742407d6c8f64ddd5a8e0a89a4,Load Trucks,start,2022-11-29 15:05:00+01:00
21d3bb742407d6c8f64ddd5a8e0a89a4,Load Trucks,complete,2022-11-29 15:19:31.200000+01:00
eb4df05fa726e14af3c5f9cf6c7e2bc2,Load Trucks,start,2022-11-29 15:19:31.200000+01:00
eb4df05fa726e14af3c5f9cf6c7e2bc2,Load Trucks,complete,2022-11-29 15:35:14.400000+01:00
be8562c30139fe0f025ba1ce090eae6f,Load Trucks,start,2022-11-29 15:35:14.400000+01:00
be8562c30139fe0f025ba1ce090eae6f,Load Trucks,complete,2022-11-29 15:53:28.800000+01:00
f8c33d59cf73e404b3795b7516c13ac9,Load Trucks,start,2022-11-29 15:53:28.800000+01:00
f8c33d59cf73e404b3795b7516c13ac9,Load Trucks,complete,2022-11-29 16:10:09.600000+01:00
ae25c38df653d9aa4b96d4495bb23b8e,Load Trucks,start,2022-11-29 16:10:09.600000+01:00
ae25c38df653d9aa4b96d4495bb23b8e,Load Trucks,complete,2022-11-29 16:25:38.400000+01:00
9bd8e116aacb94304fba6656124d7563,Load Trucks,start,2022-11-29 16:25:38.400000+01:00
9bd8e116aacb94304fba6656124d7563,Load Trucks,complete,2022-11-29 16:40:31.200000+01:00
974739884694fc28cc874e232ea86612,Load Trucks,start,2022-11-29 16:40:31.200000+01:00
974739884694fc28cc874e232ea86612,Load Trucks,complete,2022-11-29 16:56:57.600000+01:00
23516ccaff0f809483f3518aafacabb2,Load Trucks,start,2022-11-29 16:56:57.600000+01:00
23516ccaff0f809483f3518aafacabb2,Load Trucks,complete,2022-11-29 17:17:00+01:00
79f0d6615a0bddefd72811f431e883a9,Load Trucks,start,2022-11-29 17:17:00+01:00
79f0d6615a0bddefd72811f431e883a9,Load Trucks,complete,2022-11-29 17:35:39.600000+01:00
030ed7cd615b78acb1a1ffc4ac9dd626,Load Trucks,start,2022-11-29 17:35:39.600000+01:00
fb73a67f44e176b84147095240d5a661,Picking,complete,2022-11-29 18:02:03.590000+01:00
030ed7cd615b78acb1a1ffc4ac9dd626,Load Trucks,complete,2022-11-29 18:08:03.600000+01:00
cb0587f898b09b733e7fa85ad1e5fa39,Start Spoiled Fruit Data Collection,start,2022-11-29 18:08:03.600000+01:00
cb0587f898b09b733e7fa85ad1e5fa39,Start Spoiled Fruit Data Collection,complete,2022-11-29 18:24:48+01:00
2b323d0a634de9c71130b38d6da8f96d,Collect Spoiled Fruit Data,start,2022-11-29 18:24:48+01:00
2b323d0a634de9c71130b38d6da8f96d,Collect Spoiled Fruit Data,complete,2022-11-29 19:01:06+01:00
648e41599b70bdfd052daf5fa1002f1a,Send Recorded Kilos and Hours,start,2022-11-29 19:01:06+01:00
648e41599b70bdfd052daf5fa1002f1a,Send Recorded Kilos and Hours,complete,2022-11-29 19:02:25.200000+01:00
