cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
2c332b9c8af9f8af1cfcc87555fc7413,Check for Codling Moth,start,2022-11-06 07:40:45.090000+01:00
2c332b9c8af9f8af1cfcc87555fc7413,Check for Codling Moth,complete,2022-11-06 07:57:25.890000+01:00
eac03cac0a7d8472549f1b43cfefeda7,Start Picking,start,2022-11-06 07:57:25.890000+01:00
ce6ce5824fbf00cc8b8be56bdc9552c8,Trucks Arrive (3pm),start,2022-11-06 07:57:25.890000+01:00
d10c356d2942fe4b10989d287e95b68a,Warn of Break (1pm),start,2022-11-06 07:57:25.890000+01:00
eac03cac0a7d8472549f1b43cfefeda7,Start Picking,complete,2022-11-06 08:05:00+01:00
9ec331bf594e575ba55e2a4955bac6e7,Picking ,start,2022-11-06 08:05:00+01:00
9ec331bf594e575ba55e2a4955bac6e7,Picking ,complete,2022-11-06 13:08:32.400000+01:00
a5cea9387ef7054f34c8628d90588e1a,Break,start,2022-11-06 13:08:32.400000+01:00
a5cea9387ef7054f34c8628d90588e1a,Break,complete,2022-11-06 13:35:10.800000+01:00
067765113ebd6c6abc2ec52b344de025,Picking,start,2022-11-06 13:35:10.800000+01:00
d10c356d2942fe4b10989d287e95b68a,Warn of Break (1pm),complete,2022-11-06 12:59:59.990000+01:00
ce6ce5824fbf00cc8b8be56bdc9552c8,Trucks Arrive (3pm),complete,2022-11-06 15:02:59.990000+01:00
0047bf4cc6f619284301f66bdb4eb7a5,Load Trucks,start,2022-11-06 15:02:59.990000+01:00
0047bf4cc6f619284301f66bdb4eb7a5,Load Trucks,complete,2022-11-06 15:19:04.790000+01:00
2aedd66279ecbcc3022d36f1f6422408,Load Trucks,start,2022-11-06 15:19:04.790000+01:00
2aedd66279ecbcc3022d36f1f6422408,Load Trucks,complete,2022-11-06 15:34:44.390000+01:00
eea08c400173df50e5f63a0f4aed6abc,Load Trucks,start,2022-11-06 15:34:44.390000+01:00
eea08c400173df50e5f63a0f4aed6abc,Load Trucks,complete,2022-11-06 15:51:03.590000+01:00
4ec0c956644c9f63ee5f9177ec2325b1,Load Trucks,start,2022-11-06 15:51:03.590000+01:00
4ec0c956644c9f63ee5f9177ec2325b1,Load Trucks,complete,2022-11-06 16:13:58.790000+01:00
716b2a2d73f13c9c129e8cf62e24488a,Load Trucks,start,2022-11-06 16:13:58.790000+01:00
716b2a2d73f13c9c129e8cf62e24488a,Load Trucks,complete,2022-11-06 16:29:20.390000+01:00
fbedd71832c292d8ebe9c5053a98d684,Load Trucks,start,2022-11-06 16:29:20.390000+01:00
fbedd71832c292d8ebe9c5053a98d684,Load Trucks,complete,2022-11-06 17:02:16.790000+01:00
38e9682a0d203cb52b9de72b3df9687c,Load Trucks,start,2022-11-06 17:02:16.790000+01:00
38e9682a0d203cb52b9de72b3df9687c,Load Trucks,complete,2022-11-06 17:25:51.590000+01:00
de47c9c34acbb7481b370ae089f78db3,Load Trucks,start,2022-11-06 17:25:51.590000+01:00
067765113ebd6c6abc2ec52b344de025,Picking,complete,2022-11-06 17:40:56.400000+01:00
de47c9c34acbb7481b370ae089f78db3,Load Trucks,complete,2022-11-06 17:37:15.590000+01:00
834e7a238d28efaa158e4c795b5406b4,Start Spoiled Fruit Data Collection,start,2022-11-06 17:40:56.400000+01:00
834e7a238d28efaa158e4c795b5406b4,Start Spoiled Fruit Data Collection,complete,2022-11-06 17:47:54+01:00
bc61e8943d65c2f120fe0d8b254438a5,Collect Spoiled Fruit Data,start,2022-11-06 17:47:54+01:00
bc61e8943d65c2f120fe0d8b254438a5,Collect Spoiled Fruit Data,complete,2022-11-06 17:57:04.800000+01:00
390b0d67a3a9d33734ad37bc6d7cda75,Send Recorded Kilos and Hours,start,2022-11-06 17:57:04.800000+01:00
390b0d67a3a9d33734ad37bc6d7cda75,Send Recorded Kilos and Hours,complete,2022-11-06 17:58:24+01:00
