cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
bd178770aeea327754a974b807862fa9,Check for Codling Moth,start,2022-11-28 07:40:23.010000+01:00
bd178770aeea327754a974b807862fa9,Check for Codling Moth,complete,2022-11-28 07:46:08.610000+01:00
91db220ed3166b42a0591e473e33a0cf,Start Picking,start,2022-11-28 07:46:08.610000+01:00
daf1f200fda88804263e022a8593f57f,Warn of Break (1pm),start,2022-11-28 07:46:08.610000+01:00
f18cfc85bf4e17a34fbf6147ef5cfcfc,Trucks Arrive (3pm),start,2022-11-28 07:46:08.610000+01:00
91db220ed3166b42a0591e473e33a0cf,Start Picking,complete,2022-11-28 08:15:00+01:00
0c6a200df1a6e42e1aa9e50eca83f27a,Picking ,start,2022-11-28 08:15:00+01:00
0c6a200df1a6e42e1aa9e50eca83f27a,Picking ,complete,2022-11-28 13:11:16.790000+01:00
2b7a6bf206a35f56e1784edf6e7debe1,Break,start,2022-11-28 13:11:16.790000+01:00
daf1f200fda88804263e022a8593f57f,Warn of Break (1pm),complete,2022-11-28 12:59:59.990000+01:00
2b7a6bf206a35f56e1784edf6e7debe1,Break,complete,2022-11-28 13:40:26.390000+01:00
9672e2ba28016b8abc495f6b08156d85,Picking,start,2022-11-28 13:40:26.390000+01:00
f18cfc85bf4e17a34fbf6147ef5cfcfc,Trucks Arrive (3pm),complete,2022-11-28 15:07:59.990000+01:00
9dcbd7e602780df8dd6b2b43f0cc34b0,Load Trucks,start,2022-11-28 15:07:59.990000+01:00
9dcbd7e602780df8dd6b2b43f0cc34b0,Load Trucks,complete,2022-11-28 15:13:45.590000+01:00
9214a4f7fed73815107f072c87b94ead,Load Trucks,start,2022-11-28 15:13:45.590000+01:00
9214a4f7fed73815107f072c87b94ead,Load Trucks,complete,2022-11-28 15:29:07.190000+01:00
f41345cdee3777c903c270c58e5fa8ee,Load Trucks,start,2022-11-28 15:29:07.190000+01:00
f41345cdee3777c903c270c58e5fa8ee,Load Trucks,complete,2022-11-28 15:45:55.190000+01:00
c4c71e23b7376553c9404b7cb694552d,Load Trucks,start,2022-11-28 15:45:55.190000+01:00
c4c71e23b7376553c9404b7cb694552d,Load Trucks,complete,2022-11-28 16:01:20.390000+01:00
c0875d02c518a534637fea9e77f6f003,Load Trucks,start,2022-11-28 16:01:20.390000+01:00
c0875d02c518a534637fea9e77f6f003,Load Trucks,complete,2022-11-28 16:17:07.190000+01:00
12445405a6d8f07d3ae9e2d684f2e881,Load Trucks,start,2022-11-28 16:17:07.190000+01:00
12445405a6d8f07d3ae9e2d684f2e881,Load Trucks,complete,2022-11-28 16:34:41.990000+01:00
6265a347859408b111acf3ea6330f3c0,Load Trucks,start,2022-11-28 16:34:41.990000+01:00
6265a347859408b111acf3ea6330f3c0,Load Trucks,complete,2022-11-28 16:51:29.990000+01:00
6b5d31e40cec4ab09ebad191e6c70ca2,Load Trucks,start,2022-11-28 16:51:29.990000+01:00
6b5d31e40cec4ab09ebad191e6c70ca2,Load Trucks,complete,2022-11-28 17:06:33.590000+01:00
739219be9fb2723b4a338608693f63a1,Load Trucks,start,2022-11-28 17:06:33.590000+01:00
739219be9fb2723b4a338608693f63a1,Load Trucks,complete,2022-11-28 17:22:09.590000+01:00
325e99bcf3e3b06afb46087c6b38020c,Load Trucks,start,2022-11-28 17:22:09.590000+01:00
325e99bcf3e3b06afb46087c6b38020c,Load Trucks,complete,2022-11-28 17:41:03.590000+01:00
afdff264247b27835134bdaa43dfcb15,Load Trucks,start,2022-11-28 17:41:03.590000+01:00
afdff264247b27835134bdaa43dfcb15,Load Trucks,complete,2022-11-28 17:58:31.190000+01:00
55dc6ecf7507a6d187f2a0bafcd5dc1f,Load Trucks,start,2022-11-28 17:58:31.190000+01:00
9672e2ba28016b8abc495f6b08156d85,Picking,complete,2022-11-28 18:15:43.190000+01:00
55dc6ecf7507a6d187f2a0bafcd5dc1f,Load Trucks,complete,2022-11-28 18:26:28.790000+01:00
087b18c94330d28fbf25ab42ac8ad782,Start Spoiled Fruit Data Collection,start,2022-11-28 18:26:28.790000+01:00
087b18c94330d28fbf25ab42ac8ad782,Start Spoiled Fruit Data Collection,complete,2022-11-28 18:43:20.390000+01:00
5645ddf9e6412f58790d3977fb1c0281,Collect Spoiled Fruit Data,start,2022-11-28 18:43:20.390000+01:00
5645ddf9e6412f58790d3977fb1c0281,Collect Spoiled Fruit Data,complete,2022-11-28 18:56:35.990000+01:00
eaa09608cc6a3f3c47f8affe70c6df9a,Send Recorded Kilos and Hours,start,2022-11-28 18:56:35.990000+01:00
eaa09608cc6a3f3c47f8affe70c6df9a,Send Recorded Kilos and Hours,complete,2022-11-28 19:04:20.390000+01:00
