cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ade7ed31b9028c00e2768bd2ecd05ab9,Check for Codling Moth,start,2022-11-04 07:42:57.730000+01:00
ade7ed31b9028c00e2768bd2ecd05ab9,Check for Codling Moth,complete,2022-11-04 08:02:02.530000+01:00
caa111c6dc2f3e1645bc13d5eebb5e8a,Trucks Arrive (3pm),start,2022-11-04 08:02:02.530000+01:00
a9508c672c5ce247d63af5e2e6855716,Start Picking,start,2022-11-04 08:02:02.530000+01:00
3d33b4ac9d12042109b1a72eb9437d00,Warn of Break (1pm),start,2022-11-04 08:02:02.530000+01:00
a9508c672c5ce247d63af5e2e6855716,Start Picking,complete,2022-11-04 08:08:00+01:00
a431f2c4a1898b7202192f710f4015bb,Picking ,start,2022-11-04 08:08:00+01:00
a431f2c4a1898b7202192f710f4015bb,Picking ,complete,2022-11-04 13:08:25.190000+01:00
447f38ed90f981cecf7468f2af9c6fee,Break,start,2022-11-04 13:08:25.190000+01:00
447f38ed90f981cecf7468f2af9c6fee,Break,complete,2022-11-04 13:40:02.390000+01:00
ff1c11837bb7390a83648bbb9498f6fc,Picking,start,2022-11-04 13:40:02.390000+01:00
3d33b4ac9d12042109b1a72eb9437d00,Warn of Break (1pm),complete,2022-11-04 12:59:59.990000+01:00
caa111c6dc2f3e1645bc13d5eebb5e8a,Trucks Arrive (3pm),complete,2022-11-04 15:02:59.990000+01:00
54ded77e5e23782f8295c1b60ca986b3,Load Trucks,start,2022-11-04 15:02:59.990000+01:00
54ded77e5e23782f8295c1b60ca986b3,Load Trucks,complete,2022-11-04 15:17:49.190000+01:00
18410ff44b280947f894ace98caee139,Load Trucks,start,2022-11-04 15:17:49.190000+01:00
18410ff44b280947f894ace98caee139,Load Trucks,complete,2022-11-04 15:35:31.190000+01:00
30af1e5fa02d1ab5cd073bf103f0d2fe,Load Trucks,start,2022-11-04 15:35:31.190000+01:00
30af1e5fa02d1ab5cd073bf103f0d2fe,Load Trucks,complete,2022-11-04 15:51:17.990000+01:00
562f4d44ccc4a2dec9d87cd0c1507bf9,Load Trucks,start,2022-11-04 15:51:17.990000+01:00
562f4d44ccc4a2dec9d87cd0c1507bf9,Load Trucks,complete,2022-11-04 16:06:57.590000+01:00
ef47fc6af847547db3256fb4eb06a61a,Load Trucks,start,2022-11-04 16:06:57.590000+01:00
ef47fc6af847547db3256fb4eb06a61a,Load Trucks,complete,2022-11-04 16:26:49.190000+01:00
04b8cd5b400c6146343b5cb6a17a3779,Load Trucks,start,2022-11-04 16:26:49.190000+01:00
04b8cd5b400c6146343b5cb6a17a3779,Load Trucks,complete,2022-11-04 16:41:16.790000+01:00
f83f8744e4815a6dbef6b526f9f6806e,Load Trucks,start,2022-11-04 16:41:16.790000+01:00
f83f8744e4815a6dbef6b526f9f6806e,Load Trucks,complete,2022-11-04 16:56:09.590000+01:00
cff2c6a6ce8963e3bf8b1c4a54fac9ce,Load Trucks,start,2022-11-04 16:56:09.590000+01:00
cff2c6a6ce8963e3bf8b1c4a54fac9ce,Load Trucks,complete,2022-11-04 17:28:29.990000+01:00
8bd3a583f87ccc323fdaa65da93896ce,Load Trucks,start,2022-11-04 17:28:29.990000+01:00
8bd3a583f87ccc323fdaa65da93896ce,Load Trucks,complete,2022-11-04 17:49:22.790000+01:00
caca27f5617447ef4139182030415fbe,Load Trucks,start,2022-11-04 17:49:22.790000+01:00
caca27f5617447ef4139182030415fbe,Load Trucks,complete,2022-11-04 17:58:58.790000+01:00
e607bddf6430fb003c8f3b534b8823b4,Load Trucks,start,2022-11-04 17:58:58.790000+01:00
ff1c11837bb7390a83648bbb9498f6fc,Picking,complete,2022-11-04 18:22:20.390000+01:00
e607bddf6430fb003c8f3b534b8823b4,Load Trucks,complete,2022-11-04 18:08:31.190000+01:00
ee2fd0948f6e21953ca74d4ff2472260,Start Spoiled Fruit Data Collection,start,2022-11-04 18:22:20.390000+01:00
ee2fd0948f6e21953ca74d4ff2472260,Start Spoiled Fruit Data Collection,complete,2022-11-04 18:40:20.390000+01:00
b852fdadf8968935f9a5da9175b116b3,Collect Spoiled Fruit Data,start,2022-11-04 18:40:20.390000+01:00
b852fdadf8968935f9a5da9175b116b3,Collect Spoiled Fruit Data,complete,2022-11-04 18:48:19.190000+01:00
d1d4bc1e24e992e82a1dd4fd7402b9f6,Send Recorded Kilos and Hours,start,2022-11-04 18:48:19.190000+01:00
d1d4bc1e24e992e82a1dd4fd7402b9f6,Send Recorded Kilos and Hours,complete,2022-11-04 18:50:03.590000+01:00
