concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,d4267fe903753674bc8673f06d18fa99,receive expense report,start,2022-11-12 07:30:00+01:00
receive expense report,d4267fe903753674bc8673f06d18fa99,receive expense report,complete,2022-11-12 07:30:03+01:00
supervisor review,54d729c1ddbe252ef8c6c2fa008369b7,supervisor review,start,2022-11-12 07:30:03+01:00
wait 7 days,16580c766235f6335f48d7dcff78613f,wait 7 days,start,2022-11-12 07:30:03+01:00
wait 7 days,16580c766235f6335f48d7dcff78613f,wait 7 days,complete,2022-11-19 07:30:03+01:00
"send ""approval in progress"" email",b241bb0909da9e929e72b12482fefb8d,"send ""approval in progress"" email",start,2022-11-19 07:30:03+01:00
"send ""approval in progress"" email",b241bb0909da9e929e72b12482fefb8d,"send ""approval in progress"" email",complete,2022-11-19 07:30:06+01:00
wait 23 days,7fd751e035801b2a1b6e378cd140c6ab,wait 23 days,start,2022-11-19 07:30:06+01:00
supervisor review,54d729c1ddbe252ef8c6c2fa008369b7,supervisor review,complete,2022-12-08 06:56:55.790000+01:00
send rejection notice by email,5772ae66822616297cbb7ccc94b7be61,send rejection notice by email,start,2022-12-08 06:56:55.790000+01:00
send rejection notice by email,5772ae66822616297cbb7ccc94b7be61,send rejection notice by email,complete,2022-12-08 06:56:58.790000+01:00
