concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,886e5d0c1ee13ef60503b29799dda1fd,receive expense report,start,2022-12-19 07:30:00+01:00
receive expense report,886e5d0c1ee13ef60503b29799dda1fd,receive expense report,complete,2022-12-19 07:30:03+01:00
supervisor review,6e35d46b1cc9fbd4dfd96949eac305f8,supervisor review,start,2022-12-19 07:30:03+01:00
wait 7 days,7deb8217b991cc02b2fcde7ef4b83a41,wait 7 days,start,2022-12-19 07:30:03+01:00
wait 7 days,7deb8217b991cc02b2fcde7ef4b83a41,wait 7 days,complete,2022-12-26 07:30:03+01:00
"send ""approval in progress"" email",40ebeea03db0fc78affb90d264319658,"send ""approval in progress"" email",start,2022-12-26 07:30:03+01:00
"send ""approval in progress"" email",40ebeea03db0fc78affb90d264319658,"send ""approval in progress"" email",complete,2022-12-26 07:30:06+01:00
wait 23 days,6faae3f7726ce4377ab28ef0da170d37,wait 23 days,start,2022-12-26 07:30:06+01:00
supervisor review,6e35d46b1cc9fbd4dfd96949eac305f8,supervisor review,complete,2022-12-28 02:37:43.800000+01:00
send reimbursement to deposit bank account,4833ac9b1b32c1cda797440ce72a1cad,send reimbursement to deposit bank account,start,2022-12-28 02:37:43.800000+01:00
send reimbursement to deposit bank account,4833ac9b1b32c1cda797440ce72a1cad,send reimbursement to deposit bank account,complete,2022-12-29 01:09:53.400000+01:00
