concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,4a5fd82e3efd4eec5d8cb0f07ca96dd1,receive expense report,start,2022-12-20 07:30:00+01:00
receive expense report,4a5fd82e3efd4eec5d8cb0f07ca96dd1,receive expense report,complete,2022-12-20 07:30:03+01:00
wait 7 days,37607203a14c2a43f2f2db23c7f16810,wait 7 days,start,2022-12-20 07:30:03+01:00
create account,c1e937ccd9c6f2de443082b4cd0231e4,create account,start,2022-12-20 07:30:03+01:00
create account,c1e937ccd9c6f2de443082b4cd0231e4,create account,complete,2022-12-20 07:30:06+01:00
supervisor review,7fbc405493acfac92d01704d4dd09f7c,supervisor review,start,2022-12-20 07:30:06+01:00
wait 7 days,37607203a14c2a43f2f2db23c7f16810,wait 7 days,complete,2022-12-27 07:30:03+01:00
"send ""approval in progress"" email",a86d278b28ca15528b35c1c082c90c0d,"send ""approval in progress"" email",start,2022-12-27 07:30:03+01:00
"send ""approval in progress"" email",a86d278b28ca15528b35c1c082c90c0d,"send ""approval in progress"" email",complete,2022-12-27 07:30:06+01:00
wait 23 days,c18dca509c515f7d56de1f0f48b5dfb5,wait 23 days,start,2022-12-27 07:30:06+01:00
supervisor review,7fbc405493acfac92d01704d4dd09f7c,supervisor review,complete,2023-01-14 06:55:32.390000+01:00
send rejection notice by email,1d1f7750b889fc0fce5c286c233884f1,send rejection notice by email,start,2023-01-14 06:55:32.390000+01:00
send rejection notice by email,1d1f7750b889fc0fce5c286c233884f1,send rejection notice by email,complete,2023-01-14 06:55:35.390000+01:00
