concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,6f955ee71264b553d1f461fa34610cc4,receive expense report,start,2022-12-07 07:30:00+01:00
receive expense report,6f955ee71264b553d1f461fa34610cc4,receive expense report,complete,2022-12-07 07:30:03+01:00
supervisor review,c7a7026dedcbbc9a495999d3b9e85ffe,supervisor review,start,2022-12-07 07:30:03+01:00
wait 7 days,f69f2ae56e35df4640c40d9017746b5f,wait 7 days,start,2022-12-07 07:30:03+01:00
wait 7 days,f69f2ae56e35df4640c40d9017746b5f,wait 7 days,complete,2022-12-14 07:30:03+01:00
"send ""approval in progress"" email",825944f37681237a9620ea9606666d30,"send ""approval in progress"" email",start,2022-12-14 07:30:03+01:00
"send ""approval in progress"" email",825944f37681237a9620ea9606666d30,"send ""approval in progress"" email",complete,2022-12-14 07:30:06+01:00
wait 23 days,8bd1d90e753bfb1a42695dff6703a59d,wait 23 days,start,2022-12-14 07:30:06+01:00
supervisor review,c7a7026dedcbbc9a495999d3b9e85ffe,supervisor review,complete,2022-12-31 04:21:24.600000+01:00
send reimbursement to deposit bank account,4df054fe820a1a0c0a0e3b01e155713e,send reimbursement to deposit bank account,start,2022-12-31 04:21:24.600000+01:00
send reimbursement to deposit bank account,4df054fe820a1a0c0a0e3b01e155713e,send reimbursement to deposit bank account,complete,2023-01-01 02:50:41.400000+01:00
