concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,bc5e9f75ff36455a608518b8fbf22c1b,receive expense report,start,2022-12-17 07:30:00+01:00
receive expense report,bc5e9f75ff36455a608518b8fbf22c1b,receive expense report,complete,2022-12-17 07:30:03+01:00
wait 7 days,f897a27b18dae7b5c8d61d9fad09a7c3,wait 7 days,start,2022-12-17 07:30:03+01:00
create account,1c89677802c3e2b5c6c305eadd927aa6,create account,start,2022-12-17 07:30:03+01:00
create account,1c89677802c3e2b5c6c305eadd927aa6,create account,complete,2022-12-17 07:30:06+01:00
supervisor review,fe2695f843781a3e12edc4e40dacdae3,supervisor review,start,2022-12-17 07:30:06+01:00
wait 7 days,f897a27b18dae7b5c8d61d9fad09a7c3,wait 7 days,complete,2022-12-24 07:30:03+01:00
"send ""approval in progress"" email",0452c51a2b3314cbddff3ef3978a0479,"send ""approval in progress"" email",start,2022-12-24 07:30:03+01:00
"send ""approval in progress"" email",0452c51a2b3314cbddff3ef3978a0479,"send ""approval in progress"" email",complete,2022-12-24 07:30:06+01:00
wait 23 days,813a0f2b66e63d1c9194853a23ce22f0,wait 23 days,start,2022-12-24 07:30:06+01:00
supervisor review,fe2695f843781a3e12edc4e40dacdae3,supervisor review,complete,2023-01-10 05:44:58.800000+01:00
send rejection notice by email,90b981890db419927b2d8cd5a2a8772d,send rejection notice by email,start,2023-01-10 05:44:58.800000+01:00
send rejection notice by email,90b981890db419927b2d8cd5a2a8772d,send rejection notice by email,complete,2023-01-10 05:45:01.800000+01:00
