concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,814501eb87e742bff3330ccd3a22f3f0,receive expense report,start,2022-11-15 07:30:00+01:00
receive expense report,814501eb87e742bff3330ccd3a22f3f0,receive expense report,complete,2022-11-15 07:30:03+01:00
create account,7166e16799d8b1f8e26fbde8a2d7b5ea,create account,start,2022-11-15 07:30:03+01:00
wait 7 days,c801007d9830f6319dd480cbeff440c2,wait 7 days,start,2022-11-15 07:30:03+01:00
create account,7166e16799d8b1f8e26fbde8a2d7b5ea,create account,complete,2022-11-15 07:30:06+01:00
supervisor review,faafd81285727acad60e89fb997a7dc2,supervisor review,start,2022-11-15 07:30:06+01:00
wait 7 days,c801007d9830f6319dd480cbeff440c2,wait 7 days,complete,2022-11-22 07:30:03+01:00
"send ""approval in progress"" email",9b62cb643f711706f6cdc8532cc11529,"send ""approval in progress"" email",start,2022-11-22 07:30:03+01:00
"send ""approval in progress"" email",9b62cb643f711706f6cdc8532cc11529,"send ""approval in progress"" email",complete,2022-11-22 07:30:06+01:00
wait 23 days,fdcc7a4453ca2de0ae3985af0355d94e,wait 23 days,start,2022-11-22 07:30:06+01:00
supervisor review,faafd81285727acad60e89fb997a7dc2,supervisor review,complete,2022-11-24 07:21:27.590000+01:00
send rejection notice by email,93656b05620bfbd5201459d726a14686,send rejection notice by email,start,2022-11-24 07:21:27.590000+01:00
send rejection notice by email,93656b05620bfbd5201459d726a14686,send rejection notice by email,complete,2022-11-24 07:21:30.590000+01:00
