concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,885e2267a1f8c0353ab29b7d1a3a896a,receive expense report,start,2022-11-18 07:30:00+01:00
receive expense report,885e2267a1f8c0353ab29b7d1a3a896a,receive expense report,complete,2022-11-18 07:30:03+01:00
wait 7 days,43677c29bdc61a625dd5a772d615b254,wait 7 days,start,2022-11-18 07:30:03+01:00
supervisor review,dcc066e3df3cc88b8b9c95a7fb89ef91,supervisor review,start,2022-11-18 07:30:03+01:00
wait 7 days,43677c29bdc61a625dd5a772d615b254,wait 7 days,complete,2022-11-25 07:30:03+01:00
"send ""approval in progress"" email",9057fd4c05922a33d0add1484d8542e4,"send ""approval in progress"" email",start,2022-11-25 07:30:03+01:00
"send ""approval in progress"" email",9057fd4c05922a33d0add1484d8542e4,"send ""approval in progress"" email",complete,2022-11-25 07:30:06+01:00
wait 23 days,5c188afcfcedccfc7a329cae267faa2b,wait 23 days,start,2022-11-25 07:30:06+01:00
supervisor review,dcc066e3df3cc88b8b9c95a7fb89ef91,supervisor review,complete,2022-12-12 06:09:24.590000+01:00
send rejection notice by email,45e9f654192d15ee26242f8c2f4fc0d4,send rejection notice by email,start,2022-12-12 06:09:24.590000+01:00
send rejection notice by email,45e9f654192d15ee26242f8c2f4fc0d4,send rejection notice by email,complete,2022-12-12 06:09:27.590000+01:00
