concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,db0a6414568577f2f0de7a16eca826cf,receive expense report,start,2022-11-04 07:30:00+01:00
receive expense report,db0a6414568577f2f0de7a16eca826cf,receive expense report,complete,2022-11-04 07:30:03+01:00
wait 7 days,e0b888ef4249b47ab0c200d0143ad743,wait 7 days,start,2022-11-04 07:30:03+01:00
supervisor review,9a6b4bf8da1e7c1029872b15c072c67e,supervisor review,start,2022-11-04 07:30:03+01:00
wait 7 days,e0b888ef4249b47ab0c200d0143ad743,wait 7 days,complete,2022-11-11 07:30:03+01:00
"send ""approval in progress"" email",ffdc5c3e56c671746ad369755bd806fd,"send ""approval in progress"" email",start,2022-11-11 07:30:03+01:00
"send ""approval in progress"" email",ffdc5c3e56c671746ad369755bd806fd,"send ""approval in progress"" email",complete,2022-11-11 07:30:06+01:00
wait 23 days,8682bb71880c4e467f49263dd84d6a94,wait 23 days,start,2022-11-11 07:30:06+01:00
supervisor review,9a6b4bf8da1e7c1029872b15c072c67e,supervisor review,complete,2022-11-16 02:42:03+01:00
send rejection notice by email,379b52b9d0cbac751bc9ccb6b7d60965,send rejection notice by email,start,2022-11-16 02:42:03+01:00
send rejection notice by email,379b52b9d0cbac751bc9ccb6b7d60965,send rejection notice by email,complete,2022-11-16 02:42:06+01:00
