concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,b15b265833d80405690c28227c09464e,receive expense report,start,2022-12-10 07:30:00+01:00
receive expense report,b15b265833d80405690c28227c09464e,receive expense report,complete,2022-12-10 07:30:03+01:00
create account,8bf457d9447725c6e9a33e9dc01cd76e,create account,start,2022-12-10 07:30:03+01:00
wait 7 days,1a497944774701007c207fbea5e5c912,wait 7 days,start,2022-12-10 07:30:03+01:00
create account,8bf457d9447725c6e9a33e9dc01cd76e,create account,complete,2022-12-10 07:30:06+01:00
supervisor review,47a7c9a6be880523123ad25e721fec6b,supervisor review,start,2022-12-10 07:30:06+01:00
wait 7 days,1a497944774701007c207fbea5e5c912,wait 7 days,complete,2022-12-17 07:30:03+01:00
"send ""approval in progress"" email",f077185b3827293fe56920fecbd04ef8,"send ""approval in progress"" email",start,2022-12-17 07:30:03+01:00
"send ""approval in progress"" email",f077185b3827293fe56920fecbd04ef8,"send ""approval in progress"" email",complete,2022-12-17 07:30:06+01:00
wait 23 days,47686d662f707ff8a32fe92ef7638256,wait 23 days,start,2022-12-17 07:30:06+01:00
supervisor review,47a7c9a6be880523123ad25e721fec6b,supervisor review,complete,2023-01-01 04:30:06+01:00
send reimbursement to deposit bank account,549ec73b9cace6458c740ef231629291,send reimbursement to deposit bank account,start,2023-01-01 04:30:06+01:00
send reimbursement to deposit bank account,549ec73b9cace6458c740ef231629291,send reimbursement to deposit bank account,complete,2023-01-01 23:20:30+01:00
