concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
receive expense report,228fab75471dea3d672347594a765a71,receive expense report,start,2022-11-30 07:30:00+01:00
receive expense report,228fab75471dea3d672347594a765a71,receive expense report,complete,2022-11-30 07:30:03+01:00
create account,6dd44fccc47496aee91c1d8f273a3efe,create account,start,2022-11-30 07:30:03+01:00
wait 7 days,744688a0154ab631f188f50d451eed1b,wait 7 days,start,2022-11-30 07:30:03+01:00
create account,6dd44fccc47496aee91c1d8f273a3efe,create account,complete,2022-11-30 07:30:06+01:00
supervisor review,c846e6f33052ae8b90ce04f144f9df40,supervisor review,start,2022-11-30 07:30:06+01:00
wait 7 days,744688a0154ab631f188f50d451eed1b,wait 7 days,complete,2022-12-07 07:30:03+01:00
"send ""approval in progress"" email",48f185c008606c788499895b2f5010e0,"send ""approval in progress"" email",start,2022-12-07 07:30:03+01:00
"send ""approval in progress"" email",48f185c008606c788499895b2f5010e0,"send ""approval in progress"" email",complete,2022-12-07 07:30:06+01:00
wait 23 days,88c225f6a31a5de301f1c18ca45368a2,wait 23 days,start,2022-12-07 07:30:06+01:00
wait 23 days,88c225f6a31a5de301f1c18ca45368a2,wait 23 days,complete,2022-12-14 07:30:06+01:00
send cancellation notice,44c7ee074a9bd0e24fd6b0cc1a9aac6e,send cancellation notice,start,2022-12-14 07:30:06+01:00
send cancellation notice,44c7ee074a9bd0e24fd6b0cc1a9aac6e,send cancellation notice,complete,2022-12-14 07:30:09+01:00
advice employee to re-submit the expense report,0bf52921547b0a262edb6b82b747f5ba,advice employee to re-submit the expense report,start,2022-12-14 07:30:09+01:00
advice employee to re-submit the expense report,0bf52921547b0a262edb6b82b747f5ba,advice employee to re-submit the expense report,complete,2022-12-14 07:30:12+01:00
