concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
,d70c742ecea6b4a8510c928806e8f739,,complete,None
,2afbdab2ea9b98c815448892f240d1a4,,complete,None
,c50350a40877d79b40e8c642c9a0d518,,start,None
,39689407b006aa7f41c32a90656ed134,,complete,None
,119f4324a153098042f53d78b1f92254,,start,None
,cab0e77ca778d199887d71db38482e2e,,complete,None
,e5943d77d626d8efcda79617d6eeb071,,start,None
,68af55a2b03ddc62eb66bbb696ad500f,,complete,None
,d47eb86861383e7611e2df08ca8bd1c4,,complete,None
,df1b8367056d806393490c9c19505f87,,start,None
,17939a0682821ad3e52f9a2bc20c3448,,start,None
,c50350a40877d79b40e8c642c9a0d518,,complete,None
,df1b8367056d806393490c9c19505f87,,complete,None
,17939a0682821ad3e52f9a2bc20c3448,,complete,None
,119f4324a153098042f53d78b1f92254,,complete,None
,e5943d77d626d8efcda79617d6eeb071,,complete,None
,05ed2cf4be3995859d8689946b96dd22,,complete,None
,5a7552e519a750e7caaa698f1ebe0038,,complete,None
,adee3ca13c58274c531ea1ecfdf85f2b,,start,None
,1db3ad762330db4223364807456f3316,,complete,None
,389ac9b087801bae73368dcf56612187,,complete,None
,d25df10fa7c5a16e9327fb4587c953a2,,start,None
,cdfd2f8f36de94ea34727d6bccd9567a,,complete,None
,606a3d7d345ee27623b5aa09c438e1a1,,start,None
,1c792a60c9652d50ac4413992f85f37f,,start,None
,2c027f603765b781cd093f209c7d310f,,start,None
,adee3ca13c58274c531ea1ecfdf85f2b,,complete,None
,d25df10fa7c5a16e9327fb4587c953a2,,complete,None
,1c792a60c9652d50ac4413992f85f37f,,complete,None
,606a3d7d345ee27623b5aa09c438e1a1,,complete,None
,2c027f603765b781cd093f209c7d310f,,complete,None
,9dbcd57c570c145b6c9e859315cf880b,,complete,None
,67f384c90fb2d13ad4637c923531035e,,start,None
,c1af28b8b1261ab40316639e893b5ebc,,complete,None
,6b9c62abd962dd603f85fda42bdfc12f,,complete,None
,e27aa24b9be82432e3bc0583afae96cb,,complete,None
,c7c5d9711076c100cf60088c231b3ed3,,start,None
,d114efd520d25e2795c0b70534a44c30,,start,None
,e34d38c49a1a79d84196c1f6b404a807,,start,None
,e7bf32521e982210d7f651c1d4e76894,,complete,None
,07fa9f57ea806be3e71819b6a03003f6,,start,None
,67f384c90fb2d13ad4637c923531035e,,complete,None
,d114efd520d25e2795c0b70534a44c30,,complete,None
,c7c5d9711076c100cf60088c231b3ed3,,complete,None
,07fa9f57ea806be3e71819b6a03003f6,,complete,None
,e34d38c49a1a79d84196c1f6b404a807,,complete,None
,876f19f4197665099a6520a525f93ec5,,complete,None
,63f99aa8e665260c38038ca3f96cf203,,complete,None
,07588021a4efe08f30e9c4010ba3b9ea,,complete,None
,0dfd955b1f11927055a807caacb80149,,complete,None
,f7711a0e60e7e9bae1c5cd603a62d007,,complete,None
,9899f80bdf76fc31d389bd3c85b5bc7e,,start,None
,259a482a9a13b05055edf78ad3ffcead,,start,None
,154b681f8ba9a3279535c6ada6c65517,,start,None
,2cd49a88b57a5f205952c05fdcc1d497,,start,None
,16c0a1583a7a47d41849fc4c6db80790,,start,None
,9899f80bdf76fc31d389bd3c85b5bc7e,,complete,None
,154b681f8ba9a3279535c6ada6c65517,,complete,None
,2cd49a88b57a5f205952c05fdcc1d497,,complete,None
,259a482a9a13b05055edf78ad3ffcead,,complete,None
,16c0a1583a7a47d41849fc4c6db80790,,complete,None
,36faea1fef808f65ea24fa2f361ed655,,complete,None
,ea0c0eb232e0863cd3c74f91f07627d5,,start,None
,1731179011aa687343f40637998ecd65,,complete,None
,36ea9be58cce1b42a37b7b0be6fe5825,,start,None
,c3a358c494bd7294abcfebb601d5591b,,complete,None
,2be4050ae9abb5dc153907a07d57d900,,start,None
,46c13a26b01f010888ea2bd0d8f72496,,complete,None
,5c2597f06c8ab789b582ac87e9793c23,,start,None
,8704011be7c7108721545900a9cdbc3f,,complete,None
,404517c525d0a2f114d1bdf27e681477,,start,None
,ea0c0eb232e0863cd3c74f91f07627d5,,complete,None
,2be4050ae9abb5dc153907a07d57d900,,complete,None
,5c2597f06c8ab789b582ac87e9793c23,,complete,None
,36ea9be58cce1b42a37b7b0be6fe5825,,complete,None
,404517c525d0a2f114d1bdf27e681477,,complete,None
,5d9703f8cde6410e1c7977701f2f46a5,,complete,None
,9acd1bee6fe8f316bcc0ab128bb39716,,start,None
,486dea6c4222c959921d194353264443,,complete,None
,f78181e328b392197e5c3801877efc6f,,complete,None
,88b81bcfc0be9797a74518a7e4343cf3,,start,None
,cae8d0207602e9c3e0f91c9a2f7f8390,,start,None
,9abf5bb2a4937011ab3c82b37f29ded3,,complete,None
,eedf8f8cd59d238baf304d4aa2baa118,,complete,None
,b049390e1a973b4b72ac2595183b63a8,,start,None
,ad93e1aa9b8112dc9efcf3b53d0b999c,,start,None
,9acd1bee6fe8f316bcc0ab128bb39716,,complete,None
,88b81bcfc0be9797a74518a7e4343cf3,,complete,None
,cae8d0207602e9c3e0f91c9a2f7f8390,,complete,None
,b049390e1a973b4b72ac2595183b63a8,,complete,None
,ad93e1aa9b8112dc9efcf3b53d0b999c,,complete,None
,6e33133ddd684cb6a92abfe0a1507027,,complete,None
,ab49ea88a6c40e4999dc6a5a9c145781,,start,None
,1783d4443383e24503ccc1d858dbf522,,complete,None
,b53eaa9473683ab80b7b9d0c5bbae81c,,complete,None
,5daa8183fe24dcc5c7d5d0d75aaee0df,,start,None
,ace951410ed1e4c74b49488d95683d8c,,complete,None
,9f382ee96a3293b44643acba938ad418,,start,None
,88b2fcb0fcb2dd9dce0bf6e31ca23030,,complete,None
,14e89ae38cf8154716f5ccc5700e765f,,start,None
,bc070917d889f26c0b4cb60a9dbcbc44,,start,None
,ab49ea88a6c40e4999dc6a5a9c145781,,complete,None
,bc070917d889f26c0b4cb60a9dbcbc44,,complete,None
,9f382ee96a3293b44643acba938ad418,,complete,None
,5daa8183fe24dcc5c7d5d0d75aaee0df,,complete,None
,14e89ae38cf8154716f5ccc5700e765f,,complete,None
,c440739da75880b996be257aab228d79,,complete,None
,78e2ae06f7379d842ca8603563e96b92,,complete,None
,afc1be10d24d7d6a028f1785455fca1e,,complete,None
,746e81e138f56cd41243c9e5850c1423,,complete,None
,55f7c35b660f82636e6f7041b4a12653,,complete,None
,86e7143ac8f060d9db0fb982c4f01736,,start,None
,9de4955beed087382c4c2ede249b6107,,start,None
,ec00c69ac4a7af09f86e103799dece5d,,start,None
,ae980de3bb92c72c7405c31a4ef72022,,start,None
,dd171eb8d1c89d6cdf06327efe9cc2a0,,start,None
,9de4955beed087382c4c2ede249b6107,,complete,None
,ec00c69ac4a7af09f86e103799dece5d,,complete,None
,86e7143ac8f060d9db0fb982c4f01736,,complete,None
,ae980de3bb92c72c7405c31a4ef72022,,complete,None
,dd171eb8d1c89d6cdf06327efe9cc2a0,,complete,None
,01bfd33d62f6f09e57199f21df211e54,,complete,None
,de63879dbe738ff7578969710562f061,,complete,None
,288542249f51dfb2e246ba7602be4e06,,complete,None
,c24f8c4f421f02df7cc0456d75893a7c,,start,None
,c88fbdd8378d94548ad9f4232fe4f411,,complete,None
,9df30ae71ae0db8d8083cce4f41fcfc0,,start,None
