concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
,72e826c45dfe96a77a6abd136edd1d57,,complete,None
,c7dabe9b06ac125fc90a1377efb2dcc5,,complete,None
,b2f517e524342b3d78b0d8198fbf5779,,complete,None
,f126812f38e974fd326afa3af322245b,,start,None
,692315e3808ddc0544d013a58d251c55,,start,None
,3ea2edcdbfdf6920002ae713637c5282,,complete,None
,62602e82ace2e0992bc5bf89ba3b6adf,,start,None
,b28a218fc3002c41b5b9b8d5eb47799b,,complete,None
,97cc726d4c2275c581483c5fe2be3679,,complete,None
,f72c8343f49777fe473d1b4dca65a534,,start,None
,14975d568962c4bd28f4cb59c5518422,,start,None
,f126812f38e974fd326afa3af322245b,,complete,None
,692315e3808ddc0544d013a58d251c55,,complete,None
,f72c8343f49777fe473d1b4dca65a534,,complete,None
,14975d568962c4bd28f4cb59c5518422,,complete,None
,62602e82ace2e0992bc5bf89ba3b6adf,,complete,None
,c14ab011ae442c83c6b5ccca8f00ade0,,complete,None
,1178f156980ff30185f214cc5fabef86,,complete,None
,90261673747f0329411aaf545cee0425,,start,None
,e856c4ae0c7405787c6ca8631261be79,,complete,None
,c9102362001211d0e2dc59d552e28aa2,,start,None
,7ee4e376b9d6511a0f8ed537f7298367,,complete,None
,bd7328017ed18a2beb317a63d9364f14,,complete,None
,070fc63a717bc80dc040616201652f2a,,start,None
,a7e8b66f255edb10852cd48e1e6656ae,,start,None
,2a7e59efcc53a6ede73d19a8c84d90ab,,start,None
,a7e8b66f255edb10852cd48e1e6656ae,,complete,None
,070fc63a717bc80dc040616201652f2a,,complete,None
,c9102362001211d0e2dc59d552e28aa2,,complete,None
,2a7e59efcc53a6ede73d19a8c84d90ab,,complete,None
,90261673747f0329411aaf545cee0425,,complete,None
,7eb2a7a546c4b59c7e63d87687ef63d9,,complete,None
,37eee391140977658f7dbdc9cc812847,,start,None
,2ccfe6dda903c4ec41a93d102790e6c4,,complete,None
,11c4ebdc82199c638772204e29e7c265,,complete,None
,8f2e6709be2d1331ee3fec57938b0b36,,complete,None
,ca9edb7138219e511c8740c23ff8fe18,,complete,None
,12fc50d8defdf2dfecac7a82ff95c089,,start,None
,50476d34ada037f3bbac3c565a0f62e9,,start,None
,3d21d1a2047604b8bdd4f71c03e8bde0,,start,None
,c94aa8a532f057c054d0d06dae519ed7,,start,None
,c94aa8a532f057c054d0d06dae519ed7,,complete,None
,37eee391140977658f7dbdc9cc812847,,complete,None
,50476d34ada037f3bbac3c565a0f62e9,,complete,None
,12fc50d8defdf2dfecac7a82ff95c089,,complete,None
,3d21d1a2047604b8bdd4f71c03e8bde0,,complete,None
,fff9d6c6780e7a835dfcc7ba20f2f5d4,,complete,None
,086de7a91d8280b5b69af352cc265fa2,,complete,None
,eac3ab6cdda5207b7f5479efd96934f9,,start,None
,4ca2abd54f8c7683f1eb259105cab85b,,complete,None
,10b1607aa11163a1b69c99a7e0e0adc9,,complete,None
,09e1c9c14560528b72fa4a0727ccdd7f,,start,None
,1420f8a1e8ef6710d99d2d1febac4a28,,start,None
,1e539843d8901360e389c2da944a584a,,complete,None
,057ecd55877720d17e7170eb0ea3f1ee,,start,None
,331821376ad3881244c130a5336b9c71,,start,None
,331821376ad3881244c130a5336b9c71,,complete,None
,1420f8a1e8ef6710d99d2d1febac4a28,,complete,None
,eac3ab6cdda5207b7f5479efd96934f9,,complete,None
,09e1c9c14560528b72fa4a0727ccdd7f,,complete,None
,057ecd55877720d17e7170eb0ea3f1ee,,complete,None
,acdcdd9f805aff88e773ccbbefa382c2,,complete,None
,856bb22d29ff2fb3517ea75ac419365b,,complete,None
,e6c6ed31cdbc0ffc96d099dd6068fb60,,complete,None
,6cfda7edb0d059cbba2bf07e8f03442c,,start,None
,06b0d1eb6081204758e12a3ca3b10bb6,,complete,None
,f5c6ff1d80d486bcaf0efef13e8fb316,,complete,None
,1ba3235286f811b2c1bf73f8824e198f,,start,None
,f44ab86cd349ff7a44b6984078c3871f,,start,None
,5254e151e756a2639e33e480eb14f2bd,,start,None
,9a2179c81c54ef90485057a784e3149f,,start,None
,1ba3235286f811b2c1bf73f8824e198f,,complete,None
,f44ab86cd349ff7a44b6984078c3871f,,complete,None
,5254e151e756a2639e33e480eb14f2bd,,complete,None
,6cfda7edb0d059cbba2bf07e8f03442c,,complete,None
,9a2179c81c54ef90485057a784e3149f,,complete,None
,29f2f616fa6261a0af0345309f87683c,,complete,None
,44d0fb58a9e10992b9ddb0656214470e,,complete,None
,e65c6aa5994bdc2a16b393ad4ada199c,,complete,None
,ca65789618679615a5ef1769e8f52764,,complete,None
,5f43e1bb67799a5e68fb25a7606b1563,,start,None
,6d42372f0396e970aa34421f09a300d7,,start,None
,e04973ed751b1b8a5b80789795329c41,,complete,None
,a47e0a3458827f9bac5808f3daf9e0ed,,start,None
,11116e54c7db7ebba25d0bdff52abbac,,start,None
,5659c1da4817865c083350b8e7f1d665,,start,None
,5f43e1bb67799a5e68fb25a7606b1563,,complete,None
,5659c1da4817865c083350b8e7f1d665,,complete,None
,a47e0a3458827f9bac5808f3daf9e0ed,,complete,None
,6d42372f0396e970aa34421f09a300d7,,complete,None
,11116e54c7db7ebba25d0bdff52abbac,,complete,None
,9b81f41c4ef4b59962c21351b8d0a22d,,complete,None
,1aa5b79743375e85a5777b490b6a46de,,complete,None
,6b09aff22660080c3527534bf1d79fbd,,complete,None
,8964d0f04f54373692b79346561b9701,,start,None
,5f147104396c8de5940d095080396af1,,complete,None
,ccbd87cbe6b72736c2296cdc4f124c77,,start,None
,1daa99799bbf0a815ddc2e315993a79b,,complete,None
,280b874aad726cb7d063541ad0963d2b,,start,None
