cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
bcb8413939356d0d047beed8d60d252d,,complete,None
a331f428f93863abf86e83bdd538dca3,,complete,None
6d5220353a59c060abbb84f374dba3f6,,complete,None
4a3c675bad6017cc8c5d7a4ed7b12b87,,start,None
ede6f7194edf3f02d06cfe6c451b5614,,complete,None
98e3b22aa15b89a57dd6c159088889e4,,start,None
6db693d1298bb0f3ac97e93da2f0b809,,start,None
034439f0363afaeec0d3fb7da9279c19,,complete,None
b6c5046f42380a070268061c39557746,,complete,None
0340dc5369ad92b48ea133b69f4e0bef,,start,None
4db028678b8e5099fe158c838f88d3b3,,start,None
6db693d1298bb0f3ac97e93da2f0b809,,complete,None
4a3c675bad6017cc8c5d7a4ed7b12b87,,complete,None
4db028678b8e5099fe158c838f88d3b3,,complete,None
98e3b22aa15b89a57dd6c159088889e4,,complete,None
0340dc5369ad92b48ea133b69f4e0bef,,complete,None
ea3c2421cbec1f4efbe5d8eaa11f4341,,complete,None
f051a68fda1076db75937a3264085705,,complete,None
342e664c6d26cf2e7390ffa87737bdf4,,start,None
7f7536f933cc296833c7e01e31485007,,start,None
8751aa3c6d955ef7c30b4a386182c117,,complete,None
9e4e09339871e7cb04b9a6731cc122c3,,complete,None
f14ae55628124e12b86186d26ff6d66e,,start,None
31928e6e538ecb286085c9b0da6f3def,,complete,None
90eb488b468b68f4df8b63227f36cff3,,start,None
3144e8de018d408d92ed590a04a8fc43,,start,None
342e664c6d26cf2e7390ffa87737bdf4,,complete,None
7f7536f933cc296833c7e01e31485007,,complete,None
f14ae55628124e12b86186d26ff6d66e,,complete,None
3144e8de018d408d92ed590a04a8fc43,,complete,None
90eb488b468b68f4df8b63227f36cff3,,complete,None
32e848f435684e43fb04f0e30d847e3d,,complete,None
c68d5223f108235156977e535f12bca2,,complete,None
0c420b1d44c863223b797414905de2b3,,start,None
db0b43205018737b8d41de3bb7672062,,complete,None
a759c56c5940c8443ff5ac44b50ecffd,,complete,None
bf94f145ab47992c60215737ffd73f3c,,complete,None
61e053230eac9ff062acdd56aede3449,,start,None
432b1e053995cf47b9bd2910564c543d,,start,None
7ecc2141a43bb47efb69aef15c9d7c5a,,start,None
d099c5567ff15d09bd823f06ef6efe03,,start,None
61e053230eac9ff062acdd56aede3449,,complete,None
0c420b1d44c863223b797414905de2b3,,complete,None
d099c5567ff15d09bd823f06ef6efe03,,complete,None
7ecc2141a43bb47efb69aef15c9d7c5a,,complete,None
432b1e053995cf47b9bd2910564c543d,,complete,None
74967f02d56ae9285b513b2b51330c33,,complete,None
0e9f5de7fbe70e654fd114bbda3cde63,,complete,None
f6ee85403b5d7827c2b5dc3040a38614,,complete,None
7042ca153bd8add4c82d12c845b2ac45,,complete,None
af9906b91fc24d5dc0689b41ed9a0309,,complete,None
e828af35160433cfbbf36ac3bcf4c5c4,,start,None
f3ee6eeab0287f4131c7d346efa4a8fd,,start,None
f069d3e66df90ad04d431a669a96ff36,,start,None
0c906d9940ed0e173e3e3290f4ea987d,,start,None
381e76bf51f7dec3c91856b82b43ecb1,,start,None
e828af35160433cfbbf36ac3bcf4c5c4,,complete,None
f3ee6eeab0287f4131c7d346efa4a8fd,,complete,None
0c906d9940ed0e173e3e3290f4ea987d,,complete,None
f069d3e66df90ad04d431a669a96ff36,,complete,None
381e76bf51f7dec3c91856b82b43ecb1,,complete,None
fee855812924a6730f2ccd5362cd887f,,complete,None
714aff14abfe1e1f5e984825b34178cd,,complete,None
93c65708d6ebc80cddcf5b8ce02905d5,,complete,None
e2a5855c14c2cb3f3822a78c90e9007d,,start,None
584c27fd8750ce0add3030b09bdbd375,,complete,None
597a177064e4313e7feb2d287f014a34,,complete,None
516d87193ecb83254308f3ab19c202ad,,start,None
4a0dae6cb4a370e2ee365aa1610b23b9,,start,None
a288c62ecd55118aaf743cd0b263d09f,,start,None
3f7bdba1cfcf53a627c78b042ce1a8bf,,start,None
e2a5855c14c2cb3f3822a78c90e9007d,,complete,None
4a0dae6cb4a370e2ee365aa1610b23b9,,complete,None
a288c62ecd55118aaf743cd0b263d09f,,complete,None
3f7bdba1cfcf53a627c78b042ce1a8bf,,complete,None
516d87193ecb83254308f3ab19c202ad,,complete,None
47b1646740b86d65ba67507ac4f18a94,,complete,None
920707590a8786a11bc5318da6c99f58,,complete,None
ebbdc5187c26bb79a8d56e91fd46c932,,start,None
0fef1d798c8b8f29c78b04fc1e65ab14,,complete,None
f533fab7c06be433d9906bab46806b1e,,start,None
0b742005bf5377ca63044277208a25e1,,complete,None
06742962590bb9a7a3e35f2dab98934c,,start,None
7f720e74d249fa5115fd9e6f088f9802,,complete,None
a891d89b2ea8388bccd483a3df1c8d66,,start,None
e9e4d56c092f5e697b44379136b46882,,start,None
ebbdc5187c26bb79a8d56e91fd46c932,,complete,None
e9e4d56c092f5e697b44379136b46882,,complete,None
a891d89b2ea8388bccd483a3df1c8d66,,complete,None
f533fab7c06be433d9906bab46806b1e,,complete,None
06742962590bb9a7a3e35f2dab98934c,,complete,None
1eb6e920fa3b86f2980f98542be1ae15,,complete,None
ac2d7771b94fd499dca320d98e3a78bf,,complete,None
0c2e9f469ecce2c4c5128195dfd9cb49,,complete,None
57f0c23a9c8b62d67a2b1aebc4e69833,,start,None
815ea9301f7e5731da77e858e4b44c90,,start,None
f857b503a2c57d30287347fe4c4a4694,,complete,None
e98f0f8e68ce8ed36227bbb30255fdcf,,complete,None
25eaf557234f760c3345cc789701ebc0,,start,None
20d154c84290a2744220f71e8e2259e1,,start,None
51caf6a58481b1d77cd04ce0bf3f23cb,,start,None
25eaf557234f760c3345cc789701ebc0,,complete,None
57f0c23a9c8b62d67a2b1aebc4e69833,,complete,None
20d154c84290a2744220f71e8e2259e1,,complete,None
51caf6a58481b1d77cd04ce0bf3f23cb,,complete,None
815ea9301f7e5731da77e858e4b44c90,,complete,None
c654ad658a17165760f0fb522be80430,,complete,None
111393e032f665bf311277fe23847838,,complete,None
e14e78406b9e338dcc743c600feca0bf,,complete,None
61b6870790916ac6fd9d420cb6a12b39,,start,None
faa9047ad96ecb335665a0839b91c4ee,,complete,None
961ea27d6da5e921cad8e1fff7a0927e,,complete,None
463d58140bb74a641a4ee3bb7360095e,,start,None
a82c95d33c7655a42fc3c66b9a50428f,,start,None
7341f3f3c28408c8b06e216fd81a09a8,,start,None
ebc44b480e4b20469e330024aae9ff72,,start,None
463d58140bb74a641a4ee3bb7360095e,,complete,None
61b6870790916ac6fd9d420cb6a12b39,,complete,None
7341f3f3c28408c8b06e216fd81a09a8,,complete,None
ebc44b480e4b20469e330024aae9ff72,,complete,None
a82c95d33c7655a42fc3c66b9a50428f,,complete,None
baff7a177eed82951f57c55f83fe8e3a,,complete,None
6c273cca4acf3ae3d68621566edcb7ef,,start,None
06d73e9928a3db6ece8dbaee7d0826cf,,complete,None
281201ec14545866eec5c568346a95bc,,complete,None
2f2bd4fb9e2ad0a2dc80e390b7008770,,complete,None
85bfd3a42e9b3ca53fb9a3535a02cda2,,complete,None
5a144984eb16094094520a4e7319d222,,start,None
af463e25f1b7b843192da2dc1c93c374,,start,None
ce6376c45b405f4506e535f6efdf82d2,,start,None
a182ed1e32c8519b842d7a4e01278827,,start,None
6c273cca4acf3ae3d68621566edcb7ef,,complete,None
5a144984eb16094094520a4e7319d222,,complete,None
af463e25f1b7b843192da2dc1c93c374,,complete,None
a182ed1e32c8519b842d7a4e01278827,,complete,None
ce6376c45b405f4506e535f6efdf82d2,,complete,None
c01b1e4cd0e69d21e2988b3a68914401,,complete,None
48603659c62262b4b9a2ea802274eab4,,complete,None
bb7bf6f97d97c7600bf0bb4dce148a39,,complete,None
7026df0133b781b88044bbe38f241dda,,complete,None
899039b6c84104e19142273cefc39ed4,,start,None
4c93741f6b3964e70a6d86992efcdb9c,,start,None
a7f8843ab576eb948dde2961dbe05f90,,start,None
503b924708de9a41289408863e4e4a9b,,complete,None
8b20680d5fe46026ff450c1b5419eb74,,start,None
87643b04c6cbab46dc7da4282181b872,,start,None
a7f8843ab576eb948dde2961dbe05f90,,complete,None
8b20680d5fe46026ff450c1b5419eb74,,complete,None
899039b6c84104e19142273cefc39ed4,,complete,None
87643b04c6cbab46dc7da4282181b872,,complete,None
4c93741f6b3964e70a6d86992efcdb9c,,complete,None
