concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
,dde53dbd9bfa684aa9800f4a7b807c6c,,complete,None
,c5c9a21ffe186902834f10f8d7cb7b81,,complete,None
,8b3757fa7e56db22b307d045428fb364,,complete,None
,c3a7c620c340a2ef4866571d7bda7bd2,,start,None
,b44acc280c1199968b2aed5281e6a330,,complete,None
,c6dde10487e9b696a7b95d1bc6166637,,complete,None
,2814f0cd5552e7713ad00020a7b8d882,,complete,None
,c171c304f3f0b6a3a68bc76cd407c46c,,start,None
,69ada7fa829e8b5b8dc7e6ca7b5d9edc,,start,None
,c0e7084528545d2c892df8c9b337916e,,start,None
,4a9decd1446f86258a7c70f4d7b66c1b,,start,None
,c171c304f3f0b6a3a68bc76cd407c46c,,complete,None
,4a9decd1446f86258a7c70f4d7b66c1b,,complete,None
,c0e7084528545d2c892df8c9b337916e,,complete,None
,c3a7c620c340a2ef4866571d7bda7bd2,,complete,None
,69ada7fa829e8b5b8dc7e6ca7b5d9edc,,complete,None
,dda998c1b8acafe6724c86437a628b31,,complete,None
,1d1d2798f14888ee8c11258cc878d7f3,,start,None
,4a52fbfd72ac4bc35d41833e28bca8aa,,complete,None
,b1757a1da40e9bac9d4ca794d3f132d9,,complete,None
,768e68a5ff3da1dc5962601ac7403f1a,,start,None
,1333eba4df59954cf61b203f44e34720,,complete,None
,56926d5ed6c2eadc9148c66f3db472c1,,start,None
,d386a1e435ba9dc20421045fd7be4a5c,,start,None
,d633bb95958018284f09c56b2569bbb9,,complete,None
,84eecc1c5837bcfa04c00af8a95c02aa,,start,None
,1d1d2798f14888ee8c11258cc878d7f3,,complete,None
,768e68a5ff3da1dc5962601ac7403f1a,,complete,None
,d386a1e435ba9dc20421045fd7be4a5c,,complete,None
,56926d5ed6c2eadc9148c66f3db472c1,,complete,None
,84eecc1c5837bcfa04c00af8a95c02aa,,complete,None
,4aa22280395a0c090a54bc9ad27bb75b,,complete,None
,5a0034253f1f505a4d0c9151b614a3a2,,start,None
,8f83e67d1629f05b0418c5f5263f6855,,complete,None
,ab7f84eeda14067a7b00950f93d10fa8,,complete,None
,4c33148858a09ce5305167ad0274cdd4,,complete,None
,c6102c9122490affbdc9355034f9fe3e,,start,None
,6aa77348a03b3299627374f2c82d55e0,,start,None
,dd4b95ba05b830fb9d8d570b67d76277,,complete,None
,d0d85dc03a3ad0527eb4aa6ec6e2fc66,,start,None
,b621739ef344eea27fa5409d4d4c5a47,,start,None
,6aa77348a03b3299627374f2c82d55e0,,complete,None
,d0d85dc03a3ad0527eb4aa6ec6e2fc66,,complete,None
,c6102c9122490affbdc9355034f9fe3e,,complete,None
,b621739ef344eea27fa5409d4d4c5a47,,complete,None
,5a0034253f1f505a4d0c9151b614a3a2,,complete,None
,8721ff892af7f8f0bba33135f721e2ed,,complete,None
,b687f75f7cc0e46d6c36493bdd0b3092,,complete,None
,debc344f4f69910ea9b681b909761ff0,,complete,None
,7c7e7e0daa0b48dc8561e7e2f9eddfca,,complete,None
,ca8f6ff16e47acd0f8005cc58bf61c67,,start,None
,50770224af47e0d3c02540fade0340b8,,start,None
,8d07ba382d9a11e64d7430d645821c5e,,complete,None
,cccdc24707fb74eb18818219e5429cb9,,start,None
,6a40dabb3cabbc2bdb30ebd225332520,,start,None
,d54f94016ebcae94a7b5e586deedec8d,,start,None
,cccdc24707fb74eb18818219e5429cb9,,complete,None
,50770224af47e0d3c02540fade0340b8,,complete,None
,6a40dabb3cabbc2bdb30ebd225332520,,complete,None
,ca8f6ff16e47acd0f8005cc58bf61c67,,complete,None
,d54f94016ebcae94a7b5e586deedec8d,,complete,None
,502c2c125621c6e3c9e761f2c4da52bc,,complete,None
,13f451faf0e2bd612ed0ad326d1e2e13,,complete,None
,307a593327737b641c19b31801e42e60,,complete,None
,71c99eddf1f4b15241a509dc16cd7fbe,,complete,None
,a4da2965363fa40f14cf03e856426e84,,start,None
,367d9320d008603400c590e03a140429,,complete,None
,7f9a0a4fe9f8f397b2b245aa5a89837d,,start,None
,8b166c37b340ca8eef543628eb4778ee,,start,None
,2c6ea300320da71c7ba0620065cd2d51,,start,None
,d25db0476ac1b9a1e6cd3f17c18f0d4f,,start,None
,7f9a0a4fe9f8f397b2b245aa5a89837d,,complete,None
,d25db0476ac1b9a1e6cd3f17c18f0d4f,,complete,None
,8b166c37b340ca8eef543628eb4778ee,,complete,None
,a4da2965363fa40f14cf03e856426e84,,complete,None
,2c6ea300320da71c7ba0620065cd2d51,,complete,None
,e122727b6f1451e9b98bf0d4ab0526ea,,complete,None
,9881549ad9d87f5fe2e908bf33eae61a,,complete,None
,e6c2be5bb8b4a1dfe9bd1e54a586e7f3,,complete,None
,3828c96a0c3cadcc79f1c22a1a6ef00d,,start,None
,79d045ccd87a2b2ada4b38c8d8f4593e,,start,None
,38fc503e236f8e853d5a808e6e85b1e2,,complete,None
,42b06802d69403056de2f06a8a7df752,,start,None
,1f9b13ec696cb04a3eb16263ac8aed0b,,start,None
,096ba61f4de86b5587843167c228977b,,complete,None
,2a4d7a8f9378255fded472b102f71ad4,,start,None
,3828c96a0c3cadcc79f1c22a1a6ef00d,,complete,None
,79d045ccd87a2b2ada4b38c8d8f4593e,,complete,None
,42b06802d69403056de2f06a8a7df752,,complete,None
,1f9b13ec696cb04a3eb16263ac8aed0b,,complete,None
,2a4d7a8f9378255fded472b102f71ad4,,complete,None
,881893247a823a6f54ab72df637472de,,complete,None
,a8c68a5a8d2636a3f9547c23469d0d88,,complete,None
,17d0a6d911abc61192d4619b52036108,,start,None
,8c5ab5680a75f8827a5a7dca6e73f636,,complete,None
