process_description,QTCR_CODE,trace_id,activity_name,comment
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,055cdf0d-773d-4291-816b-fa35c4c22efd,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,055cdf0d-773d-4291-816b-fa35c4c22efd,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,b9f84284-88f0-4a0d-ac52-ac161b6f95e8,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,b9f84284-88f0-4a0d-ac52-ac161b6f95e8,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,7e36d8e5-0822-495b-90e1-cc2da7d15743,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,7e36d8e5-0822-495b-90e1-cc2da7d15743,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,24eb74b1-b0bd-40e1-87ef-1a923b3ffc55,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,24eb74b1-b0bd-40e1-87ef-1a923b3ffc55,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC9,5ab7a78e-023c-46f6-bc11-1ae0b1492c99,send invoice,From violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,a4a12556-e4cb-4fcb-8eaf-30dff6332340,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,a4a12556-e4cb-4fcb-8eaf-30dff6332340,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,8525b962-5312-43ab-ba5f-0206fab8b67b,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,8525b962-5312-43ab-ba5f-0206fab8b67b,suspend service,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC13,60a7caed-25df-46ce-bedb-32625522641a,charge late fee,To violated
Billing_Process_of_an_Internet_Service_Provider_(ISP),QTRC14,60a7caed-25df-46ce-bedb-32625522641a,suspend service,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC16,c08e2ea7-b76f-47b5-94a3-3b683df71a56,"send ""approval in progress"" email",To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,c08e2ea7-b76f-47b5-94a3-3b683df71a56,advice employee to re-submit the expense report,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC16,325b3aee-a444-477b-8999-e0e05bd397b8,"send ""approval in progress"" email",To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,325b3aee-a444-477b-8999-e0e05bd397b8,advice employee to re-submit the expense report,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,8dc88734-e3fb-4774-bc71-1783dac4c6ff,advice employee to re-submit the expense report,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC16,af1c4d20-8232-4141-9cc7-9a76eb3a8af2,"send ""approval in progress"" email",To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,af1c4d20-8232-4141-9cc7-9a76eb3a8af2,advice employee to re-submit the expense report,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,36183d0f-5ca3-4cee-bc70-0bcd030fc903,advice employee to re-submit the expense report,To violated
Steps_to_follow_after_receiving_Expense_Report,QTRC17,48b2d71e-d46b-498c-949d-88ff6fc591fd,advice employee to re-submit the expense report,To violated
